Date and time: Tue Jun 18 15:13:11 2024

alg i

SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
TYPE0
27 ,    5 ,     i ,    0 ,     1 ,     11 ,    15 ,    3         ,
27 ,    45 ,     i ,    0 ,     1 ,     520 ,    564 ,    35         ,
27 ,    85 ,     i ,    0 ,     1 ,     1913 ,    1997 ,    113         ,
27 ,    125 ,     i ,    0 ,     1 ,     3952 ,    4076 ,    226         ,
27 ,    165 ,     i ,    0 ,     1 ,     6938 ,    7102 ,    384         ,
27 ,    205 ,     i ,    0 ,     1 ,     10709 ,    10913 ,    589         ,
27 ,    245 ,     i ,    0 ,     1 ,     15547 ,    15791 ,    844         ,
27 ,    285 ,     i ,    0 ,     1 ,     20253 ,    20537 ,    1097         ,
27 ,    325 ,     i ,    0 ,     1 ,     27447 ,    27771 ,    1480         ,
27 ,    365 ,     i ,    0 ,     1 ,     34906 ,    35270 ,    1983         ,
27 ,    405 ,     i ,    0 ,     1 ,     43483 ,    43887 ,    2323         ,
27 ,    445 ,     i ,    0 ,     1 ,     52112 ,    52556 ,    2780         ,
27 ,    485 ,     i ,    0 ,     1 ,     62568 ,    63052 ,    3439         ,
27 ,    525 ,     i ,    0 ,     1 ,     71588 ,    72112 ,    3809         ,
27 ,    565 ,     i ,    0 ,     1 ,     80602 ,    81166 ,    5837         ,
27 ,    605 ,     i ,    0 ,     1 ,     93671 ,    94275 ,    4969         ,
27 ,    645 ,     i ,    0 ,     1 ,     105874 ,    106518 ,    5722         ,
27 ,    685 ,     i ,    0 ,     1 ,     119009 ,    119693 ,    6526         ,
27 ,    725 ,     i ,    0 ,     1 ,     133268 ,    133992 ,    8674         ,
27 ,    765 ,     i ,    0 ,     1 ,     147817 ,    148581 ,    12179         ,
27 ,    805 ,     i ,    0 ,     1 ,     165016 ,    165820 ,    8809         ,
27 ,    845 ,     i ,    0 ,     1 ,     183655 ,    184499 ,    12272         ,
27 ,    885 ,     i ,    0 ,     1 ,     201034 ,    201918 ,    13761         ,
27 ,    925 ,     i ,    0 ,     1 ,     217185 ,    218109 ,    11553         ,
27 ,    965 ,     i ,    0 ,     1 ,     240046 ,    241010 ,    13238         ,
27 ,    1005 ,     i ,    0 ,     1 ,     260632 ,    261636 ,    16451         ,
27 ,    1045 ,     i ,    0 ,     1 ,     279820 ,    280864 ,    14836         ,
27 ,    1085 ,     i ,    0 ,     1 ,     296563 ,    297647 ,    16663         ,
27 ,    1125 ,     i ,    0 ,     1 ,     317535 ,    318659 ,    17337         ,
27 ,    1165 ,     i ,    0 ,     1 ,     338945 ,    340109 ,    28657         ,
27 ,    1205 ,     i ,    0 ,     1 ,     363211 ,    364415 ,    26896         ,
