SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     b ,    0 ,     1 ,     16 ,    21 ,    5         ,
27 ,    45 ,     b ,    0 ,     1 ,     1465 ,    1428 ,    96         ,
27 ,    85 ,     b ,    0 ,     1 ,     5398 ,    5487 ,    312         ,
27 ,    125 ,     b ,    0 ,     1 ,     11577 ,    11484 ,    813         ,
27 ,    165 ,     b ,    0 ,     1 ,     20303 ,    20322 ,    1187         ,
27 ,    205 ,     b ,    0 ,     1 ,     31414 ,    31515 ,    1839         ,
27 ,    245 ,     b ,    0 ,     1 ,     45192 ,    45909 ,    2690         ,
27 ,    285 ,     b ,    0 ,     1 ,     60438 ,    59907 ,    4783         ,
27 ,    325 ,     b ,    0 ,     1 ,     79772 ,    81369 ,    4580         ,
27 ,    365 ,     b ,    0 ,     1 ,     100971 ,    103626 ,    5559         ,
27 ,    405 ,     b ,    0 ,     1 ,     124888 ,    129237 ,    6868         ,
27 ,    445 ,     b ,    0 ,     1 ,     150457 ,    155004 ,    8604         ,
27 ,    485 ,     b ,    0 ,     1 ,     179453 ,    186252 ,    10392         ,
27 ,    525 ,     b ,    0 ,     1 ,     208613 ,    213192 ,    11839         ,
27 ,    565 ,     b ,    0 ,     1 ,     239367 ,    240114 ,    15051         ,
27 ,    605 ,     b ,    0 ,     1 ,     275776 ,    279201 ,    19994         ,
27 ,    645 ,     b ,    0 ,     1 ,     312919 ,    315690 ,    17638         ,
27 ,    685 ,     b ,    0 ,     1 ,     352594 ,    354975 ,    23072         ,
27 ,    725 ,     b ,    0 ,     1 ,     394993 ,    397632 ,    22637         ,
27 ,    765 ,     b ,    0 ,     1 ,     439282 ,    441159 ,    28113         ,
27 ,    805 ,     b ,    0 ,     1 ,     487821 ,    492636 ,    29020         ,
27 ,    845 ,     b ,    0 ,     1 ,     539400 ,    548433 ,    33979         ,
27 ,    885 ,     b ,    0 ,     1 ,     591319 ,    600450 ,    35143         ,
27 ,    925 ,     b ,    0 ,     1 ,     643610 ,    648783 ,    43111         ,
27 ,    965 ,     b ,    0 ,     1 ,     704211 ,    717246 ,    44072         ,
27 ,    1005 ,     b ,    0 ,     1 ,     764137 ,    778884 ,    48062         ,
27 ,    1045 ,     b ,    0 ,     1 ,     824265 ,    836328 ,    52584         ,
