SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     bk ,    0 ,     0 ,     5 ,    0 ,    3         ,
27 ,    45 ,     bk ,    0 ,     0 ,     45 ,    0 ,    17         ,
27 ,    85 ,     bk ,    0 ,     0 ,     85 ,    0 ,    25         ,
27 ,    125 ,     bk ,    0 ,     0 ,     125 ,    0 ,    141         ,
27 ,    165 ,     bk ,    0 ,     0 ,     165 ,    0 ,    125         ,
27 ,    205 ,     bk ,    0 ,     0 ,     205 ,    0 ,    344         ,
27 ,    245 ,     bk ,    0 ,     0 ,     245 ,    0 ,    518         ,
27 ,    285 ,     bk ,    0 ,     0 ,     285 ,    0 ,    342         ,
27 ,    325 ,     bk ,    0 ,     0 ,     325 ,    0 ,    359         ,
27 ,    365 ,     bk ,    0 ,     0 ,     365 ,    0 ,    360         ,
27 ,    405 ,     bk ,    0 ,     0 ,     405 ,    0 ,    354         ,
27 ,    445 ,     bk ,    0 ,     0 ,     445 ,    0 ,    389         ,
27 ,    485 ,     bk ,    0 ,     0 ,     485 ,    0 ,    391         ,
27 ,    525 ,     bk ,    0 ,     0 ,     525 ,    0 ,    417         ,
27 ,    565 ,     bk ,    0 ,     0 ,     565 ,    0 ,    414         ,
27 ,    605 ,     bk ,    0 ,     0 ,     605 ,    0 ,    414         ,
27 ,    645 ,     bk ,    0 ,     0 ,     645 ,    0 ,    413         ,
27 ,    685 ,     bk ,    0 ,     0 ,     685 ,    0 ,    471         ,
27 ,    725 ,     bk ,    0 ,     0 ,     725 ,    0 ,    450         ,
27 ,    765 ,     bk ,    0 ,     0 ,     765 ,    0 ,    435         ,
27 ,    805 ,     bk ,    0 ,     0 ,     805 ,    0 ,    471         ,
27 ,    845 ,     bk ,    0 ,     0 ,     845 ,    0 ,    506         ,
27 ,    885 ,     bk ,    0 ,     0 ,     885 ,    0 ,    463         ,
27 ,    925 ,     bk ,    0 ,     0 ,     925 ,    0 ,    2716         ,
27 ,    965 ,     bk ,    0 ,     0 ,     965 ,    0 ,    739         ,
27 ,    1005 ,     bk ,    0 ,     0 ,     1005 ,    0 ,    561         ,
27 ,    1045 ,     bk ,    0 ,     0 ,     1045 ,    0 ,    529         ,
27 ,    1085 ,     bk ,    0 ,     0 ,     1085 ,    0 ,    525         ,
27 ,    1125 ,     bk ,    0 ,     0 ,     1125 ,    0 ,    518         ,
27 ,    1165 ,     bk ,    0 ,     0 ,     1165 ,    0 ,    581         ,
27 ,    1205 ,     bk ,    0 ,     0 ,     1205 ,    0 ,    564         ,
27 ,    1245 ,     bk ,    0 ,     0 ,     1245 ,    0 ,    542         ,
27 ,    1285 ,     bk ,    0 ,     0 ,     1285 ,    0 ,    616         ,
27 ,    1325 ,     bk ,    0 ,     0 ,     1325 ,    0 ,    794         ,
27 ,    1365 ,     bk ,    0 ,     0 ,     1365 ,    0 ,    582         ,
27 ,    1405 ,     bk ,    0 ,     0 ,     1405 ,    0 ,    589         ,
27 ,    1445 ,     bk ,    0 ,     0 ,     1445 ,    0 ,    630         ,
27 ,    1485 ,     bk ,    0 ,     0 ,     1485 ,    0 ,    622         ,
27 ,    1525 ,     bk ,    0 ,     0 ,     1525 ,    0 ,    634         ,
27 ,    1565 ,     bk ,    0 ,     0 ,     1565 ,    0 ,    614         ,
27 ,    1605 ,     bk ,    0 ,     0 ,     1605 ,    0 ,    671         ,
27 ,    1645 ,     bk ,    0 ,     0 ,     1645 ,    0 ,    654         ,
27 ,    1685 ,     bk ,    0 ,     0 ,     1685 ,    0 ,    662         ,
27 ,    1725 ,     bk ,    0 ,     0 ,     1725 ,    0 ,    706         ,
27 ,    1765 ,     bk ,    0 ,     0 ,     1765 ,    0 ,    692         ,
