SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     c ,    0 ,     1 ,     5 ,    0 ,    3         ,
27 ,    45 ,     c ,    0 ,     1 ,     45 ,    0 ,    9         ,
27 ,    85 ,     c ,    0 ,     1 ,     85 ,    0 ,    15         ,
27 ,    125 ,     c ,    0 ,     1 ,     125 ,    0 ,    23         ,
27 ,    165 ,     c ,    0 ,     1 ,     165 ,    0 ,    30         ,
27 ,    205 ,     c ,    0 ,     1 ,     205 ,    0 ,    38         ,
27 ,    245 ,     c ,    0 ,     1 ,     245 ,    0 ,    43         ,
27 ,    285 ,     c ,    0 ,     1 ,     285 ,    0 ,    50         ,
27 ,    325 ,     c ,    0 ,     1 ,     325 ,    0 ,    56         ,
27 ,    365 ,     c ,    0 ,     1 ,     365 ,    0 ,    62         ,
27 ,    405 ,     c ,    0 ,     1 ,     405 ,    0 ,    70         ,
27 ,    445 ,     c ,    0 ,     1 ,     445 ,    0 ,    78         ,
27 ,    485 ,     c ,    0 ,     1 ,     485 ,    0 ,    83         ,
27 ,    525 ,     c ,    0 ,     1 ,     525 ,    0 ,    94         ,
27 ,    565 ,     c ,    0 ,     1 ,     565 ,    0 ,    96         ,
27 ,    605 ,     c ,    0 ,     1 ,     605 ,    0 ,    104         ,
27 ,    645 ,     c ,    0 ,     1 ,     645 ,    0 ,    110         ,
27 ,    685 ,     c ,    0 ,     1 ,     685 ,    0 ,    117         ,
27 ,    725 ,     c ,    0 ,     1 ,     725 ,    0 ,    125         ,
27 ,    765 ,     c ,    0 ,     1 ,     765 ,    0 ,    132         ,
27 ,    805 ,     c ,    0 ,     1 ,     805 ,    0 ,    135         ,
27 ,    845 ,     c ,    0 ,     1 ,     845 ,    0 ,    147         ,
27 ,    885 ,     c ,    0 ,     1 ,     885 ,    0 ,    153         ,
27 ,    925 ,     c ,    0 ,     1 ,     925 ,    0 ,    157         ,
27 ,    965 ,     c ,    0 ,     1 ,     965 ,    0 ,    166         ,
27 ,    1005 ,     c ,    0 ,     1 ,     1005 ,    0 ,    172         ,
27 ,    1045 ,     c ,    0 ,     1 ,     1045 ,    0 ,    174         ,
27 ,    1085 ,     c ,    0 ,     1 ,     1085 ,    0 ,    187         ,
27 ,    1125 ,     c ,    0 ,     1 ,     1125 ,    0 ,    202         ,
27 ,    1165 ,     c ,    0 ,     1 ,     1165 ,    0 ,    199         ,
27 ,    1205 ,     c ,    0 ,     1 ,     1205 ,    0 ,    210         ,
27 ,    1245 ,     c ,    0 ,     1 ,     1245 ,    0 ,    212         ,
27 ,    1285 ,     c ,    0 ,     1 ,     1285 ,    0 ,    215         ,
27 ,    1325 ,     c ,    0 ,     1 ,     1325 ,    0 ,    227         ,
27 ,    1365 ,     c ,    0 ,     1 ,     1365 ,    0 ,    237         ,
27 ,    1405 ,     c ,    0 ,     1 ,     1405 ,    0 ,    235         ,
27 ,    1445 ,     c ,    0 ,     1 ,     1445 ,    0 ,    248         ,
27 ,    1485 ,     c ,    0 ,     1 ,     1485 ,    0 ,    256         ,
27 ,    1525 ,     c ,    0 ,     1 ,     1525 ,    0 ,    272         ,
27 ,    1565 ,     c ,    0 ,     1 ,     1565 ,    0 ,    260         ,
27 ,    1605 ,     c ,    0 ,     1 ,     1605 ,    0 ,    271         ,
27 ,    1645 ,     c ,    0 ,     1 ,     1645 ,    0 ,    278         ,
27 ,    1685 ,     c ,    0 ,     1 ,     1685 ,    0 ,    288         ,
27 ,    1725 ,     c ,    0 ,     1 ,     1725 ,    0 ,    293         ,
27 ,    1765 ,     c ,    0 ,     1 ,     1765 ,    0 ,    292         ,
27 ,    1805 ,     c ,    0 ,     1 ,     1805 ,    0 ,    305         ,
27 ,    1845 ,     c ,    0 ,     1 ,     1845 ,    0 ,    313         ,
27 ,    1885 ,     c ,    0 ,     1 ,     1885 ,    0 ,    320         ,
27 ,    1925 ,     c ,    0 ,     1 ,     1925 ,    0 ,    326         ,
27 ,    1965 ,     c ,    0 ,     1 ,     1965 ,    0 ,    358         ,
27 ,    2005 ,     c ,    0 ,     1 ,     2005 ,    0 ,    344         ,
27 ,    2045 ,     c ,    0 ,     1 ,     2045 ,    0 ,    353         ,
27 ,    2085 ,     c ,    0 ,     1 ,     2085 ,    0 ,    348         ,
27 ,    2125 ,     c ,    0 ,     1 ,     2125 ,    0 ,    351         ,
27 ,    2165 ,     c ,    0 ,     1 ,     2165 ,    0 ,    365         ,
27 ,    2205 ,     c ,    0 ,     1 ,     2205 ,    0 ,    374         ,
27 ,    2245 ,     c ,    0 ,     1 ,     2245 ,    0 ,    382         ,
27 ,    2285 ,     c ,    0 ,     1 ,     2285 ,    0 ,    386         ,
27 ,    2325 ,     c ,    0 ,     1 ,     2325 ,    0 ,    395         ,
27 ,    2365 ,     c ,    0 ,     1 ,     2365 ,    0 ,    399         ,
27 ,    2405 ,     c ,    0 ,     1 ,     2405 ,    0 ,    405         ,
27 ,    2445 ,     c ,    0 ,     1 ,     2445 ,    0 ,    411         ,
27 ,    2485 ,     c ,    0 ,     1 ,     2485 ,    0 ,    418         ,
27 ,    2525 ,     c ,    0 ,     1 ,     2525 ,    0 ,    430         ,
27 ,    2565 ,     c ,    0 ,     1 ,     2565 ,    0 ,    430         ,
27 ,    2605 ,     c ,    0 ,     1 ,     2605 ,    0 ,    433         ,
27 ,    2645 ,     c ,    0 ,     1 ,     2645 ,    0 ,    441         ,
27 ,    2685 ,     c ,    0 ,     1 ,     2685 ,    0 ,    456         ,
27 ,    2725 ,     c ,    0 ,     1 ,     2725 ,    0 ,    453         ,
27 ,    2765 ,     c ,    0 ,     1 ,     2765 ,    0 ,    465         ,
27 ,    2805 ,     c ,    0 ,     1 ,     2805 ,    0 ,    477         ,
27 ,    2845 ,     c ,    0 ,     1 ,     2845 ,    0 ,    484         ,
27 ,    2885 ,     c ,    0 ,     1 ,     2885 ,    0 ,    491         ,
27 ,    2925 ,     c ,    0 ,     1 ,     2925 ,    0 ,    622         ,
27 ,    2965 ,     c ,    0 ,     1 ,     2965 ,    0 ,    508         ,
27 ,    3005 ,     c ,    0 ,     1 ,     3005 ,    0 ,    500         ,
27 ,    3045 ,     c ,    0 ,     1 ,     3045 ,    0 ,    513         ,
27 ,    3085 ,     c ,    0 ,     1 ,     3085 ,    0 ,    518         ,
27 ,    3125 ,     c ,    0 ,     1 ,     3125 ,    0 ,    533         ,
27 ,    3165 ,     c ,    0 ,     1 ,     3165 ,    0 ,    534         ,
27 ,    3205 ,     c ,    0 ,     1 ,     3205 ,    0 ,    541         ,
27 ,    3245 ,     c ,    0 ,     1 ,     3245 ,    0 ,    559         ,
27 ,    3285 ,     c ,    0 ,     1 ,     3285 ,    0 ,    562         ,
27 ,    3325 ,     c ,    0 ,     1 ,     3325 ,    0 ,    564         ,
27 ,    3365 ,     c ,    0 ,     1 ,     3365 ,    0 ,    570         ,
27 ,    3405 ,     c ,    0 ,     1 ,     3405 ,    0 ,    699         ,
27 ,    3445 ,     c ,    0 ,     1 ,     3445 ,    0 ,    579         ,
27 ,    3485 ,     c ,    0 ,     1 ,     3485 ,    0 ,    590         ,
27 ,    3525 ,     c ,    0 ,     1 ,     3525 ,    0 ,    596         ,
27 ,    3565 ,     c ,    0 ,     1 ,     3565 ,    0 ,    604         ,
27 ,    3605 ,     c ,    0 ,     1 ,     3605 ,    0 ,    603         ,
27 ,    3645 ,     c ,    0 ,     1 ,     3645 ,    0 ,    625         ,
27 ,    3685 ,     c ,    0 ,     1 ,     3685 ,    0 ,    629         ,
27 ,    3725 ,     c ,    0 ,     1 ,     3725 ,    0 ,    633         ,
27 ,    3765 ,     c ,    0 ,     1 ,     3765 ,    0 ,    764         ,
27 ,    3805 ,     c ,    0 ,     1 ,     3805 ,    0 ,    644         ,
27 ,    3845 ,     c ,    0 ,     1 ,     3845 ,    0 ,    647         ,
27 ,    3885 ,     c ,    0 ,     1 ,     3885 ,    0 ,    660         ,
27 ,    3925 ,     c ,    0 ,     1 ,     3925 ,    0 ,    668         ,
27 ,    3965 ,     c ,    0 ,     1 ,     3965 ,    0 ,    671         ,
27 ,    5 ,     c ,    1 ,     1 ,     5 ,    0 ,    2         ,
27 ,    45 ,     c ,    1 ,     1 ,     45 ,    0 ,    6         ,
27 ,    85 ,     c ,    1 ,     1 ,     85 ,    0 ,    9         ,
27 ,    125 ,     c ,    1 ,     1 ,     125 ,    0 ,    12         ,
27 ,    165 ,     c ,    1 ,     1 ,     165 ,    0 ,    17         ,
27 ,    205 ,     c ,    1 ,     1 ,     205 ,    0 ,    20         ,
