SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     h ,    0 ,     1 ,     11 ,    18 ,    3         ,
27 ,    45 ,     h ,    0 ,     1 ,     266 ,    450 ,    33         ,
27 ,    85 ,     h ,    0 ,     1 ,     712 ,    1141 ,    85         ,
27 ,    125 ,     h ,    0 ,     1 ,     1072 ,    1703 ,    231         ,
27 ,    165 ,     h ,    0 ,     1 ,     1723 ,    2717 ,    196         ,
27 ,    205 ,     h ,    0 ,     1 ,     2106 ,    3341 ,    240         ,
27 ,    245 ,     h ,    0 ,     1 ,     2584 ,    4060 ,    301         ,
27 ,    285 ,     h ,    0 ,     1 ,     3348 ,    5348 ,    376         ,
27 ,    325 ,     h ,    0 ,     1 ,     4210 ,    6489 ,    461         ,
27 ,    365 ,     h ,    0 ,     1 ,     4428 ,    6989 ,    497         ,
27 ,    405 ,     h ,    0 ,     1 ,     5090 ,    7930 ,    573         ,
27 ,    445 ,     h ,    0 ,     1 ,     5688 ,    8810 ,    657         ,
27 ,    485 ,     h ,    0 ,     1 ,     6217 ,    9618 ,    729         ,
27 ,    525 ,     h ,    0 ,     1 ,     8596 ,    12800 ,    895         ,
27 ,    565 ,     h ,    0 ,     1 ,     8429 ,    12954 ,    2456         ,
27 ,    605 ,     h ,    0 ,     1 ,     8738 ,    13584 ,    1081         ,
27 ,    645 ,     h ,    0 ,     1 ,     10398 ,    15562 ,    1096         ,
27 ,    685 ,     h ,    0 ,     1 ,     10099 ,    15585 ,    1301         ,
27 ,    725 ,     h ,    0 ,     1 ,     10183 ,    15989 ,    1170         ,
27 ,    765 ,     h ,    0 ,     1 ,     11013 ,    17141 ,    1269         ,
27 ,    805 ,     h ,    0 ,     1 ,     12468 ,    18913 ,    1398         ,
27 ,    845 ,     h ,    0 ,     1 ,     13302 ,    20068 ,    1606         ,
27 ,    885 ,     h ,    0 ,     1 ,     12931 ,    20018 ,    1499         ,
27 ,    925 ,     h ,    0 ,     1 ,     14283 ,    21690 ,    1726         ,
27 ,    965 ,     h ,    0 ,     1 ,     15288 ,    23014 ,    1663         ,
27 ,    1005 ,     h ,    0 ,     1 ,     16200 ,    24248 ,    1777         ,
27 ,    1045 ,     h ,    0 ,     1 ,     18734 ,    28143 ,    1970         ,
27 ,    1085 ,     h ,    0 ,     1 ,     17919 ,    27690 ,    2114         ,
27 ,    1125 ,     h ,    0 ,     1 ,     18816 ,    28946 ,    2096         ,
27 ,    1165 ,     h ,    0 ,     1 ,     19764 ,    30254 ,    2298         ,
27 ,    1205 ,     h ,    0 ,     1 ,     20480 ,    31331 ,    2287         ,
27 ,    1245 ,     h ,    0 ,     1 ,     19891 ,    31103 ,    2340         ,
27 ,    1285 ,     h ,    0 ,     1 ,     26917 ,    38486 ,    2800         ,
27 ,    1325 ,     h ,    0 ,     1 ,     22406 ,    34337 ,    2470         ,
27 ,    1365 ,     h ,    0 ,     1 ,     22902 ,    35193 ,    2627         ,
27 ,    1405 ,     h ,    0 ,     1 ,     23522 ,    36175 ,    2594         ,
27 ,    1445 ,     h ,    0 ,     1 ,     23810 ,    36821 ,    2633         ,
27 ,    1485 ,     h ,    0 ,     1 ,     26960 ,    40332 ,    2984         ,
27 ,    1525 ,     h ,    0 ,     1 ,     25295 ,    39028 ,    2839         ,
27 ,    1565 ,     h ,    0 ,     1 ,     31131 ,    45222 ,    3235         ,
27 ,    1605 ,     h ,    0 ,     1 ,     29590 ,    44040 ,    3280         ,
27 ,    1645 ,     h ,    0 ,     1 ,     29837 ,    44649 ,    3221         ,
27 ,    1685 ,     h ,    0 ,     1 ,     29578 ,    44749 ,    4890         ,
27 ,    1725 ,     h ,    0 ,     1 ,     30087 ,    45620 ,    3516         ,
27 ,    1765 ,     h ,    0 ,     1 ,     31313 ,    47205 ,    3636         ,
27 ,    1805 ,     h ,    0 ,     1 ,     37312 ,    53563 ,    4035         ,
27 ,    1845 ,     h ,    0 ,     1 ,     33170 ,    49782 ,    4336         ,
27 ,    1885 ,     h ,    0 ,     1 ,     32619 ,    49592 ,    4386         ,
27 ,    1925 ,     h ,    0 ,     1 ,     37020 ,    54351 ,    4131         ,
27 ,    1965 ,     h ,    0 ,     1 ,     35678 ,    53371 ,    3975         ,
27 ,    2005 ,     h ,    0 ,     1 ,     36878 ,    54931 ,    4607         ,
27 ,    2045 ,     h ,    0 ,     1 ,     37744 ,    56159 ,    4432         ,
27 ,    2085 ,     h ,    0 ,     1 ,     44361 ,    65215 ,    6225         ,
27 ,    2125 ,     h ,    0 ,     1 ,     41294 ,    62549 ,    4484         ,
27 ,    2165 ,     h ,    0 ,     1 ,     41187 ,    62843 ,    4465         ,
27 ,    2205 ,     h ,    0 ,     1 ,     41418 ,    63474 ,    4805         ,
27 ,    2245 ,     h ,    0 ,     1 ,     43128 ,    65583 ,    5931         ,
27 ,    2285 ,     h ,    0 ,     1 ,     42876 ,    65733 ,    4802         ,
27 ,    2325 ,     h ,    0 ,     1 ,     46514 ,    69769 ,    5196         ,
27 ,    2365 ,     h ,    0 ,     1 ,     46913 ,    70570 ,    5107         ,
27 ,    2405 ,     h ,    0 ,     1 ,     46030 ,    70086 ,    6827         ,
27 ,    2445 ,     h ,    0 ,     1 ,     49391 ,    73847 ,    5594         ,
27 ,    2485 ,     h ,    0 ,     1 ,     47582 ,    72439 ,    5230         ,
27 ,    2525 ,     h ,    0 ,     1 ,     47120 ,    72378 ,    5465         ,
27 ,    2565 ,     h ,    0 ,     1 ,     68832 ,    94486 ,    8532         ,
27 ,    2605 ,     h ,    0 ,     1 ,     54513 ,    80569 ,    5958         ,
27 ,    2645 ,     h ,    0 ,     1 ,     51747 ,    78203 ,    5545         ,
27 ,    2685 ,     h ,    0 ,     1 ,     51161 ,    78019 ,    5751         ,
27 ,    2725 ,     h ,    0 ,     1 ,     53334 ,    80590 ,    10085         ,
27 ,    2765 ,     h ,    0 ,     1 ,     55785 ,    83442 ,    6257         ,
27 ,    2805 ,     h ,    0 ,     1 ,     54513 ,    82571 ,    5818         ,
27 ,    2845 ,     h ,    0 ,     1 ,     59943 ,    88400 ,    6462         ,
27 ,    2885 ,     h ,    0 ,     1 ,     57651 ,    86507 ,    6764         ,
27 ,    2925 ,     h ,    0 ,     1 ,     55939 ,    85197 ,    7707         ,
27 ,    2965 ,     h ,    0 ,     1 ,     62350 ,    92007 ,    9007         ,
27 ,    3005 ,     h ,    0 ,     1 ,     57130 ,    87189 ,    6608         ,
27 ,    3045 ,     h ,    0 ,     1 ,     58527 ,    88985 ,    6648         ,
27 ,    3085 ,     h ,    0 ,     1 ,     84969 ,    115824 ,    9699         ,
27 ,    3125 ,     h ,    0 ,     1 ,     70473 ,    101729 ,    8936         ,
27 ,    3165 ,     h ,    0 ,     1 ,     65839 ,    97496 ,    9332         ,
27 ,    3205 ,     h ,    0 ,     1 ,     68465 ,    100520 ,    7420         ,
27 ,    3245 ,     h ,    0 ,     1 ,     66632 ,    99089 ,    7481         ,
27 ,    3285 ,     h ,    0 ,     1 ,     69553 ,    102410 ,    8922         ,
27 ,    3325 ,     h ,    0 ,     1 ,     69099 ,    102358 ,    9144         ,
27 ,    3365 ,     h ,    0 ,     1 ,     70914 ,    104570 ,    7609         ,
27 ,    3405 ,     h ,    0 ,     1 ,     73498 ,    107555 ,    7981         ,
27 ,    3445 ,     h ,    0 ,     1 ,     69708 ,    104166 ,    9183         ,
27 ,    3485 ,     h ,    0 ,     1 ,     69127 ,    103985 ,    9434         ,
27 ,    3525 ,     h ,    0 ,     1 ,     74544 ,    109801 ,    8545         ,
27 ,    3565 ,     h ,    0 ,     1 ,     73517 ,    109176 ,    8285         ,
27 ,    3605 ,     h ,    0 ,     1 ,     82879 ,    118935 ,    8959         ,
27 ,    3645 ,     h ,    0 ,     1 ,     76918 ,    113376 ,    9786         ,
