SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     i ,    0 ,     1 ,     11 ,    15 ,    7         ,
27 ,    45 ,     i ,    0 ,     1 ,     520 ,    564 ,    36         ,
27 ,    85 ,     i ,    0 ,     1 ,     1913 ,    1997 ,    113         ,
27 ,    125 ,     i ,    0 ,     1 ,     3952 ,    4076 ,    222         ,
27 ,    165 ,     i ,    0 ,     1 ,     6938 ,    7102 ,    382         ,
27 ,    205 ,     i ,    0 ,     1 ,     10709 ,    10913 ,    579         ,
27 ,    245 ,     i ,    0 ,     1 ,     15547 ,    15791 ,    835         ,
27 ,    285 ,     i ,    0 ,     1 ,     20253 ,    20537 ,    1084         ,
27 ,    325 ,     i ,    0 ,     1 ,     27447 ,    27771 ,    1571         ,
27 ,    365 ,     i ,    0 ,     1 ,     34906 ,    35270 ,    1849         ,
27 ,    405 ,     i ,    0 ,     1 ,     43483 ,    43887 ,    2297         ,
27 ,    445 ,     i ,    0 ,     1 ,     52112 ,    52556 ,    2858         ,
27 ,    485 ,     i ,    0 ,     1 ,     62568 ,    63052 ,    4575         ,
27 ,    525 ,     i ,    0 ,     1 ,     71588 ,    72112 ,    5119         ,
27 ,    565 ,     i ,    0 ,     1 ,     80602 ,    81166 ,    4239         ,
27 ,    605 ,     i ,    0 ,     1 ,     93671 ,    94275 ,    6863         ,
27 ,    645 ,     i ,    0 ,     1 ,     105874 ,    106518 ,    5939         ,
27 ,    685 ,     i ,    0 ,     1 ,     119009 ,    119693 ,    6343         ,
27 ,    725 ,     i ,    0 ,     1 ,     133268 ,    133992 ,    8933         ,
27 ,    765 ,     i ,    0 ,     1 ,     147817 ,    148581 ,    9654         ,
27 ,    805 ,     i ,    0 ,     1 ,     165016 ,    165820 ,    10602         ,
27 ,    845 ,     i ,    0 ,     1 ,     183655 ,    184499 ,    9721         ,
27 ,    885 ,     i ,    0 ,     1 ,     201034 ,    201918 ,    12934         ,
27 ,    925 ,     i ,    0 ,     1 ,     217185 ,    218109 ,    11529         ,
27 ,    965 ,     i ,    0 ,     1 ,     240046 ,    241010 ,    14481         ,
27 ,    1005 ,     i ,    0 ,     1 ,     260632 ,    261636 ,    13733         ,
27 ,    1045 ,     i ,    0 ,     1 ,     279820 ,    280864 ,    14904         ,
