SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     c ,    0 ,     1 ,     5 ,    0 ,    5         ,
27 ,    45 ,     c ,    0 ,     1 ,     45 ,    0 ,    14         ,
27 ,    85 ,     c ,    0 ,     1 ,     85 ,    0 ,    21         ,
27 ,    125 ,     c ,    0 ,     1 ,     125 ,    0 ,    29         ,
27 ,    165 ,     c ,    0 ,     1 ,     165 ,    0 ,    38         ,
27 ,    205 ,     c ,    0 ,     1 ,     205 ,    0 ,    46         ,
27 ,    245 ,     c ,    0 ,     1 ,     245 ,    0 ,    56         ,
27 ,    285 ,     c ,    0 ,     1 ,     285 ,    0 ,    65         ,
27 ,    325 ,     c ,    0 ,     1 ,     325 ,    0 ,    107         ,
27 ,    365 ,     c ,    0 ,     1 ,     365 ,    0 ,    81         ,
27 ,    405 ,     c ,    0 ,     1 ,     405 ,    0 ,    87         ,
27 ,    445 ,     c ,    0 ,     1 ,     445 ,    0 ,    96         ,
27 ,    485 ,     c ,    0 ,     1 ,     485 ,    0 ,    103         ,
27 ,    525 ,     c ,    0 ,     1 ,     525 ,    0 ,    115         ,
27 ,    565 ,     c ,    0 ,     1 ,     565 ,    0 ,    122         ,
27 ,    605 ,     c ,    0 ,     1 ,     605 ,    0 ,    130         ,
27 ,    645 ,     c ,    0 ,     1 ,     645 ,    0 ,    136         ,
27 ,    685 ,     c ,    0 ,     1 ,     685 ,    0 ,    149         ,
27 ,    725 ,     c ,    0 ,     1 ,     725 ,    0 ,    158         ,
27 ,    765 ,     c ,    0 ,     1 ,     765 ,    0 ,    163         ,
27 ,    805 ,     c ,    0 ,     1 ,     805 ,    0 ,    181         ,
27 ,    845 ,     c ,    0 ,     1 ,     845 ,    0 ,    185         ,
27 ,    885 ,     c ,    0 ,     1 ,     885 ,    0 ,    193         ,
27 ,    925 ,     c ,    0 ,     1 ,     925 ,    0 ,    199         ,
27 ,    965 ,     c ,    0 ,     1 ,     965 ,    0 ,    211         ,
27 ,    1005 ,     c ,    0 ,     1 ,     1005 ,    0 ,    225         ,
27 ,    1045 ,     c ,    0 ,     1 ,     1045 ,    0 ,    230         ,
27 ,    1085 ,     c ,    0 ,     1 ,     1085 ,    0 ,    241         ,
27 ,    1125 ,     c ,    0 ,     1 ,     1125 ,    0 ,    244         ,
27 ,    1165 ,     c ,    0 ,     1 ,     1165 ,    0 ,    258         ,
27 ,    1205 ,     c ,    0 ,     1 ,     1205 ,    0 ,    262         ,
27 ,    1245 ,     c ,    0 ,     1 ,     1245 ,    0 ,    268         ,
27 ,    1285 ,     c ,    0 ,     1 ,     1285 ,    0 ,    274         ,
27 ,    1325 ,     c ,    0 ,     1 ,     1325 ,    0 ,    288         ,
27 ,    1365 ,     c ,    0 ,     1 ,     1365 ,    0 ,    299         ,
27 ,    1405 ,     c ,    0 ,     1 ,     1405 ,    0 ,    298         ,
27 ,    1445 ,     c ,    0 ,     1 ,     1445 ,    0 ,    311         ,
27 ,    1485 ,     c ,    0 ,     1 ,     1485 ,    0 ,    320         ,
27 ,    1525 ,     c ,    0 ,     1 ,     1525 ,    0 ,    325         ,
27 ,    1565 ,     c ,    0 ,     1 ,     1565 ,    0 ,    340         ,
27 ,    1605 ,     c ,    0 ,     1 ,     1605 ,    0 ,    341         ,
27 ,    1645 ,     c ,    0 ,     1 ,     1645 ,    0 ,    353         ,
27 ,    1685 ,     c ,    0 ,     1 ,     1685 ,    0 ,    523         ,
27 ,    1725 ,     c ,    0 ,     1 ,     1725 ,    0 ,    366         ,
27 ,    1765 ,     c ,    0 ,     1 ,     1765 ,    0 ,    378         ,
27 ,    1805 ,     c ,    0 ,     1 ,     1805 ,    0 ,    386         ,
27 ,    1845 ,     c ,    0 ,     1 ,     1845 ,    0 ,    394         ,
27 ,    1885 ,     c ,    0 ,     1 ,     1885 ,    0 ,    404         ,
27 ,    1925 ,     c ,    0 ,     1 ,     1925 ,    0 ,    420         ,
27 ,    1965 ,     c ,    0 ,     1 ,     1965 ,    0 ,    421         ,
27 ,    2005 ,     c ,    0 ,     1 ,     2005 ,    0 ,    428         ,
27 ,    2045 ,     c ,    0 ,     1 ,     2045 ,    0 ,    439         ,
27 ,    2085 ,     c ,    0 ,     1 ,     2085 ,    0 ,    440         ,
27 ,    2125 ,     c ,    0 ,     1 ,     2125 ,    0 ,    455         ,
27 ,    2165 ,     c ,    0 ,     1 ,     2165 ,    0 ,    452         ,
27 ,    2205 ,     c ,    0 ,     1 ,     2205 ,    0 ,    484         ,
27 ,    2245 ,     c ,    0 ,     1 ,     2245 ,    0 ,    473         ,
27 ,    2285 ,     c ,    0 ,     1 ,     2285 ,    0 ,    488         ,
27 ,    2325 ,     c ,    0 ,     1 ,     2325 ,    0 ,    498         ,
27 ,    2365 ,     c ,    0 ,     1 ,     2365 ,    0 ,    501         ,
27 ,    2405 ,     c ,    0 ,     1 ,     2405 ,    0 ,    508         ,
27 ,    2445 ,     c ,    0 ,     1 ,     2445 ,    0 ,    525         ,
27 ,    2485 ,     c ,    0 ,     1 ,     2485 ,    0 ,    527         ,
27 ,    2525 ,     c ,    0 ,     1 ,     2525 ,    0 ,    533         ,
27 ,    2565 ,     c ,    0 ,     1 ,     2565 ,    0 ,    546         ,
27 ,    2605 ,     c ,    0 ,     1 ,     2605 ,    0 ,    559         ,
27 ,    2645 ,     c ,    0 ,     1 ,     2645 ,    0 ,    566         ,
27 ,    2685 ,     c ,    0 ,     1 ,     2685 ,    0 ,    568         ,
27 ,    2725 ,     c ,    0 ,     1 ,     2725 ,    0 ,    574         ,
27 ,    2765 ,     c ,    0 ,     1 ,     2765 ,    0 ,    576         ,
27 ,    2805 ,     c ,    0 ,     1 ,     2805 ,    0 ,    604         ,
27 ,    2845 ,     c ,    0 ,     1 ,     2845 ,    0 ,    606         ,
27 ,    2885 ,     c ,    0 ,     1 ,     2885 ,    0 ,    607         ,
27 ,    2925 ,     c ,    0 ,     1 ,     2925 ,    0 ,    617         ,
27 ,    2965 ,     c ,    0 ,     1 ,     2965 ,    0 ,    637         ,
27 ,    3005 ,     c ,    0 ,     1 ,     3005 ,    0 ,    644         ,
27 ,    3045 ,     c ,    0 ,     1 ,     3045 ,    0 ,    647         ,
27 ,    3085 ,     c ,    0 ,     1 ,     3085 ,    0 ,    698         ,
27 ,    3125 ,     c ,    0 ,     1 ,     3125 ,    0 ,    1235         ,
27 ,    3165 ,     c ,    0 ,     1 ,     3165 ,    0 ,    723         ,
27 ,    3205 ,     c ,    0 ,     1 ,     3205 ,    0 ,    742         ,
27 ,    3245 ,     c ,    0 ,     1 ,     3245 ,    0 ,    722         ,
27 ,    3285 ,     c ,    0 ,     1 ,     3285 ,    0 ,    711         ,
27 ,    3325 ,     c ,    0 ,     1 ,     3325 ,    0 ,    725         ,
27 ,    3365 ,     c ,    0 ,     1 ,     3365 ,    0 ,    721         ,
27 ,    3405 ,     c ,    0 ,     1 ,     3405 ,    0 ,    875         ,
27 ,    3445 ,     c ,    0 ,     1 ,     3445 ,    0 ,    737         ,
27 ,    3485 ,     c ,    0 ,     1 ,     3485 ,    0 ,    740         ,
27 ,    3525 ,     c ,    0 ,     1 ,     3525 ,    0 ,    753         ,
27 ,    3565 ,     c ,    0 ,     1 ,     3565 ,    0 ,    781         ,
27 ,    3605 ,     c ,    0 ,     1 ,     3605 ,    0 ,    774         ,
27 ,    3645 ,     c ,    0 ,     1 ,     3645 ,    0 ,    780         ,
27 ,    3685 ,     c ,    0 ,     1 ,     3685 ,    0 ,    798         ,
27 ,    3725 ,     c ,    0 ,     1 ,     3725 ,    0 ,    797         ,
27 ,    3765 ,     c ,    0 ,     1 ,     3765 ,    0 ,    809         ,
27 ,    3805 ,     c ,    0 ,     1 ,     3805 ,    0 ,    943         ,
27 ,    3845 ,     c ,    0 ,     1 ,     3845 ,    0 ,    833         ,
27 ,    3885 ,     c ,    0 ,     1 ,     3885 ,    0 ,    838         ,
27 ,    3925 ,     c ,    0 ,     1 ,     3925 ,    0 ,    844         ,
27 ,    3965 ,     c ,    0 ,     1 ,     3965 ,    0 ,    855         ,
27 ,    4005 ,     c ,    0 ,     1 ,     4005 ,    0 ,    857         ,
27 ,    4045 ,     c ,    0 ,     1 ,     4045 ,    0 ,    862         ,
27 ,    4085 ,     c ,    0 ,     1 ,     4085 ,    0 ,    1044         ,
27 ,    4125 ,     c ,    0 ,     1 ,     4125 ,    0 ,    877         ,
27 ,    4165 ,     c ,    0 ,     1 ,     4165 ,    0 ,    916         ,
27 ,    4205 ,     c ,    0 ,     1 ,     4205 ,    0 ,    903         ,
27 ,    4245 ,     c ,    0 ,     1 ,     4245 ,    0 ,    899         ,
27 ,    4285 ,     c ,    0 ,     1 ,     4285 ,    0 ,    920         ,
27 ,    4325 ,     c ,    0 ,     1 ,     4325 ,    0 ,    921         ,
27 ,    4365 ,     c ,    0 ,     1 ,     4365 ,    0 ,    924         ,
27 ,    4405 ,     c ,    0 ,     1 ,     4405 ,    0 ,    928         ,
27 ,    4445 ,     c ,    0 ,     1 ,     4445 ,    0 ,    948         ,
27 ,    4485 ,     c ,    0 ,     1 ,     4485 ,    0 ,    962         ,
27 ,    4525 ,     c ,    0 ,     1 ,     4525 ,    0 ,    971         ,
27 ,    4565 ,     c ,    0 ,     1 ,     4565 ,    0 ,    978         ,
27 ,    4605 ,     c ,    0 ,     1 ,     4605 ,    0 ,    965         ,
27 ,    4645 ,     c ,    0 ,     1 ,     4645 ,    0 ,    965         ,
27 ,    4685 ,     c ,    0 ,     1 ,     4685 ,    0 ,    968         ,
27 ,    4725 ,     c ,    0 ,     1 ,     4725 ,    0 ,    975         ,
27 ,    4765 ,     c ,    0 ,     1 ,     4765 ,    0 ,    1012         ,
27 ,    4805 ,     c ,    0 ,     1 ,     4805 ,    0 ,    1033         ,
27 ,    4845 ,     c ,    0 ,     1 ,     4845 ,    0 ,    996         ,
27 ,    4885 ,     c ,    0 ,     1 ,     4885 ,    0 ,    1008         ,
27 ,    4925 ,     c ,    0 ,     1 ,     4925 ,    0 ,    1034         ,
27 ,    4965 ,     c ,    0 ,     1 ,     4965 ,    0 ,    1020         ,
27 ,    5 ,     c ,    1 ,     1 ,     5 ,    0 ,    4         ,
27 ,    45 ,     c ,    1 ,     1 ,     45 ,    0 ,    7         ,
27 ,    85 ,     c ,    1 ,     1 ,     85 ,    0 ,    13         ,
27 ,    125 ,     c ,    1 ,     1 ,     125 ,    0 ,    17         ,
27 ,    165 ,     c ,    1 ,     1 ,     165 ,    0 ,    21         ,
27 ,    205 ,     c ,    1 ,     1 ,     205 ,    0 ,    26         ,
27 ,    245 ,     c ,    1 ,     1 ,     245 ,    0 ,    31         ,
27 ,    285 ,     c ,    1 ,     1 ,     285 ,    0 ,    37         ,
27 ,    325 ,     c ,    1 ,     1 ,     325 ,    0 ,    41         ,
27 ,    365 ,     c ,    1 ,     1 ,     365 ,    0 ,    46         ,
27 ,    405 ,     c ,    1 ,     1 ,     405 ,    0 ,    52         ,
27 ,    445 ,     c ,    1 ,     1 ,     445 ,    0 ,    56         ,
27 ,    485 ,     c ,    1 ,     1 ,     485 ,    0 ,    62         ,
27 ,    525 ,     c ,    1 ,     1 ,     525 ,    0 ,    67         ,
27 ,    565 ,     c ,    1 ,     1 ,     565 ,    0 ,    72         ,
27 ,    605 ,     c ,    1 ,     1 ,     605 ,    0 ,    76         ,
27 ,    645 ,     c ,    1 ,     1 ,     645 ,    0 ,    82         ,
27 ,    685 ,     c ,    1 ,     1 ,     685 ,    0 ,    87         ,
27 ,    725 ,     c ,    1 ,     1 ,     725 ,    0 ,    92         ,
27 ,    765 ,     c ,    1 ,     1 ,     765 ,    0 ,    98         ,
27 ,    805 ,     c ,    1 ,     1 ,     805 ,    0 ,    104         ,
27 ,    845 ,     c ,    1 ,     1 ,     845 ,    0 ,    113         ,
27 ,    885 ,     c ,    1 ,     1 ,     885 ,    0 ,    157         ,
27 ,    925 ,     c ,    1 ,     1 ,     925 ,    0 ,    121         ,
27 ,    965 ,     c ,    1 ,     1 ,     965 ,    0 ,    175         ,
27 ,    1005 ,     c ,    1 ,     1 ,     1005 ,    0 ,    191         ,
27 ,    1045 ,     c ,    1 ,     1 ,     1045 ,    0 ,    139         ,
27 ,    1085 ,     c ,    1 ,     1 ,     1085 ,    0 ,    140         ,
27 ,    1125 ,     c ,    1 ,     1 ,     1125 ,    0 ,    168         ,
27 ,    1165 ,     c ,    1 ,     1 ,     1165 ,    0 ,    224         ,
27 ,    1205 ,     c ,    1 ,     1 ,     1205 ,    0 ,    157         ,
27 ,    1245 ,     c ,    1 ,     1 ,     1245 ,    0 ,    215         ,
27 ,    1285 ,     c ,    1 ,     1 ,     1285 ,    0 ,    168         ,
27 ,    1325 ,     c ,    1 ,     1 ,     1325 ,    0 ,    173         ,
27 ,    1365 ,     c ,    1 ,     1 ,     1365 ,    0 ,    176         ,
