SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     b ,    0 ,     1 ,     17 ,    21 ,    4         ,
27 ,    45 ,     b ,    0 ,     1 ,     1466 ,    1428 ,    91         ,
27 ,    85 ,     b ,    0 ,     1 ,     5399 ,    5487 ,    302         ,
27 ,    125 ,     b ,    0 ,     1 ,     11578 ,    11484 ,    735         ,
27 ,    165 ,     b ,    0 ,     1 ,     20304 ,    20322 ,    1101         ,
27 ,    205 ,     b ,    0 ,     1 ,     31415 ,    31515 ,    1699         ,
27 ,    245 ,     b ,    0 ,     1 ,     45193 ,    45909 ,    2428         ,
27 ,    285 ,     b ,    0 ,     1 ,     60439 ,    59907 ,    3336         ,
27 ,    325 ,     b ,    0 ,     1 ,     79773 ,    81369 ,    4278         ,
27 ,    365 ,     b ,    0 ,     1 ,     100972 ,    103626 ,    5482         ,
27 ,    405 ,     b ,    0 ,     1 ,     124889 ,    129237 ,    6764         ,
27 ,    445 ,     b ,    0 ,     1 ,     150458 ,    155004 ,    8026         ,
27 ,    485 ,     b ,    0 ,     1 ,     179454 ,    186252 ,    9670         ,
27 ,    525 ,     b ,    0 ,     1 ,     208614 ,    213192 ,    11238         ,
27 ,    565 ,     b ,    0 ,     1 ,     239368 ,    240114 ,    12901         ,
27 ,    605 ,     b ,    0 ,     1 ,     275777 ,    279201 ,    15087         ,
27 ,    645 ,     b ,    0 ,     1 ,     312920 ,    315690 ,    16926         ,
27 ,    685 ,     b ,    0 ,     1 ,     352595 ,    354975 ,    19104         ,
27 ,    725 ,     b ,    0 ,     1 ,     394994 ,    397632 ,    21502         ,
27 ,    765 ,     b ,    0 ,     1 ,     439283 ,    441159 ,    24209         ,
27 ,    805 ,     b ,    0 ,     1 ,     487822 ,    492636 ,    26756         ,
27 ,    845 ,     b ,    0 ,     1 ,     539401 ,    548433 ,    29750         ,
27 ,    885 ,     b ,    0 ,     1 ,     591320 ,    600450 ,    32558         ,
27 ,    925 ,     b ,    0 ,     1 ,     643611 ,    648783 ,    37803         ,
27 ,    965 ,     b ,    0 ,     1 ,     704212 ,    717246 ,    38795         ,
27 ,    1005 ,     b ,    0 ,     1 ,     764138 ,    778884 ,    42348         ,
27 ,    1045 ,     b ,    0 ,     1 ,     824266 ,    836328 ,    45800         ,
27 ,    1085 ,     b ,    0 ,     1 ,     883549 ,    886437 ,    49142         ,
27 ,    1125 ,     b ,    0 ,     1 ,     948661 ,    949233 ,    52911         ,
27 ,    1165 ,     b ,    0 ,     1 ,     1015811 ,    1013343 ,    57081         ,
27 ,    1205 ,     b ,    0 ,     1 ,     1087417 ,    1086021 ,    61020         ,
27 ,    1245 ,     b ,    0 ,     1 ,     1162931 ,    1165623 ,    65312         ,
27 ,    1285 ,     b ,    0 ,     1 ,     1238384 ,    1240242 ,    69621         ,
27 ,    1325 ,     b ,    0 ,     1 ,     1318552 ,    1324206 ,    74563         ,
27 ,    1365 ,     b ,    0 ,     1 ,     1402017 ,    1413261 ,    79042         ,
27 ,    1405 ,     b ,    0 ,     1 ,     1481319 ,    1485027 ,    86118         ,
27 ,    1445 ,     b ,    0 ,     1 ,     1562991 ,    1559103 ,    113162         ,
27 ,    1485 ,     b ,    0 ,     1 ,     1651660 ,    1649370 ,    95425         ,
27 ,    1525 ,     b ,    0 ,     1 ,     1740505 ,    1735365 ,    101366         ,
27 ,    1565 ,     b ,    0 ,     1 ,     1838435 ,    1843815 ,    106519         ,
27 ,    1605 ,     b ,    0 ,     1 ,     1933407 ,    1938591 ,    112623         ,
27 ,    1645 ,     b ,    0 ,     1 ,     2034661 ,    2047413 ,    116459         ,
27 ,    1685 ,     b ,    0 ,     1 ,     2133512 ,    2144226 ,    125123         ,
27 ,    1725 ,     b ,    0 ,     1 ,     2234206 ,    2241768 ,    130848         ,
27 ,    1765 ,     b ,    0 ,     1 ,     2337771 ,    2343123 ,    136409         ,
27 ,    1805 ,     b ,    0 ,     1 ,     2444285 ,    2448525 ,    144013         ,
27 ,    1845 ,     b ,    0 ,     1 ,     2555727 ,    2563911 ,    149015         ,
27 ,    1885 ,     b ,    0 ,     1 ,     2671623 ,    2687859 ,    155477         ,
27 ,    1925 ,     b ,    0 ,     1 ,     2785642 ,    2801376 ,    163067         ,
