SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     bk ,    0 ,     0 ,     5 ,    0 ,    3         ,
27 ,    45 ,     bk ,    0 ,     0 ,     45 ,    0 ,    16         ,
27 ,    85 ,     bk ,    0 ,     0 ,     85 ,    0 ,    23         ,
27 ,    125 ,     bk ,    0 ,     0 ,     125 ,    0 ,    33         ,
27 ,    165 ,     bk ,    0 ,     0 ,     165 ,    0 ,    46         ,
27 ,    205 ,     bk ,    0 ,     0 ,     205 ,    0 ,    510         ,
27 ,    245 ,     bk ,    0 ,     0 ,     245 ,    0 ,    3260         ,
27 ,    285 ,     bk ,    0 ,     0 ,     285 ,    0 ,    3429         ,
27 ,    325 ,     bk ,    0 ,     0 ,     325 ,    0 ,    3177         ,
27 ,    365 ,     bk ,    0 ,     0 ,     365 ,    0 ,    3396         ,
27 ,    405 ,     bk ,    0 ,     0 ,     405 ,    0 ,    3398         ,
27 ,    445 ,     bk ,    0 ,     0 ,     445 ,    0 ,    3293         ,
27 ,    485 ,     bk ,    0 ,     0 ,     485 ,    0 ,    3286         ,
27 ,    525 ,     bk ,    0 ,     0 ,     525 ,    0 ,    3630         ,
27 ,    565 ,     bk ,    0 ,     0 ,     565 ,    0 ,    3264         ,
27 ,    605 ,     bk ,    0 ,     0 ,     605 ,    0 ,    3314         ,
27 ,    645 ,     bk ,    0 ,     0 ,     645 ,    0 ,    3347         ,
27 ,    685 ,     bk ,    0 ,     0 ,     685 ,    0 ,    3105         ,
27 ,    725 ,     bk ,    0 ,     0 ,     725 ,    0 ,    3433         ,
27 ,    765 ,     bk ,    0 ,     0 ,     765 ,    0 ,    3364         ,
27 ,    805 ,     bk ,    0 ,     0 ,     805 ,    0 ,    4919         ,
27 ,    845 ,     bk ,    0 ,     0 ,     845 ,    0 ,    3374         ,
27 ,    885 ,     bk ,    0 ,     0 ,     885 ,    0 ,    3483         ,
27 ,    925 ,     bk ,    0 ,     0 ,     925 ,    0 ,    3428         ,
27 ,    965 ,     bk ,    0 ,     0 ,     965 ,    0 ,    3526         ,
27 ,    1005 ,     bk ,    0 ,     0 ,     1005 ,    0 ,    3377         ,
27 ,    1045 ,     bk ,    0 ,     0 ,     1045 ,    0 ,    3274         ,
27 ,    1085 ,     bk ,    0 ,     0 ,     1085 ,    0 ,    3604         ,
27 ,    1125 ,     bk ,    0 ,     0 ,     1125 ,    0 ,    3563         ,
27 ,    1165 ,     bk ,    0 ,     0 ,     1165 ,    0 ,    3266         ,
27 ,    1205 ,     bk ,    0 ,     0 ,     1205 ,    0 ,    3444         ,
27 ,    1245 ,     bk ,    0 ,     0 ,     1245 ,    0 ,    3462         ,
27 ,    1285 ,     bk ,    0 ,     0 ,     1285 ,    0 ,    3363         ,
27 ,    1325 ,     bk ,    0 ,     0 ,     1325 ,    0 ,    3458         ,
27 ,    1365 ,     bk ,    0 ,     0 ,     1365 ,    0 ,    3613         ,
27 ,    1405 ,     bk ,    0 ,     0 ,     1405 ,    0 ,    3268         ,
27 ,    1445 ,     bk ,    0 ,     0 ,     1445 ,    0 ,    3679         ,
27 ,    1485 ,     bk ,    0 ,     0 ,     1485 ,    0 ,    3600         ,
27 ,    1525 ,     bk ,    0 ,     0 ,     1525 ,    0 ,    3325         ,
27 ,    1565 ,     bk ,    0 ,     0 ,     1565 ,    0 ,    3658         ,
27 ,    1605 ,     bk ,    0 ,     0 ,     1605 ,    0 ,    3643         ,
27 ,    1645 ,     bk ,    0 ,     0 ,     1645 ,    0 ,    3421         ,
27 ,    1685 ,     bk ,    0 ,     0 ,     1685 ,    0 ,    5716         ,
27 ,    1725 ,     bk ,    0 ,     0 ,     1725 ,    0 ,    3545         ,
27 ,    1765 ,     bk ,    0 ,     0 ,     1765 ,    0 ,    3419         ,
27 ,    1805 ,     bk ,    0 ,     0 ,     1805 ,    0 ,    3586         ,
27 ,    1845 ,     bk ,    0 ,     0 ,     1845 ,    0 ,    3694         ,
27 ,    1885 ,     bk ,    0 ,     0 ,     1885 ,    0 ,    3451         ,
27 ,    1925 ,     bk ,    0 ,     0 ,     1925 ,    0 ,    3594         ,
27 ,    1965 ,     bk ,    0 ,     0 ,     1965 ,    0 ,    3757         ,
27 ,    2005 ,     bk ,    0 ,     0 ,     2005 ,    0 ,    3433         ,
27 ,    2045 ,     bk ,    0 ,     0 ,     2045 ,    0 ,    3820         ,
27 ,    2085 ,     bk ,    0 ,     0 ,     2085 ,    0 ,    3737         ,
27 ,    2125 ,     bk ,    0 ,     0 ,     2125 ,    0 ,    3565         ,
27 ,    2165 ,     bk ,    0 ,     0 ,     2165 ,    0 ,    3661         ,
27 ,    2205 ,     bk ,    0 ,     0 ,     2205 ,    0 ,    3697         ,
27 ,    2245 ,     bk ,    0 ,     0 ,     2245 ,    0 ,    3424         ,
27 ,    2285 ,     bk ,    0 ,     0 ,     2285 ,    0 ,    3788         ,
27 ,    2325 ,     bk ,    0 ,     0 ,     2325 ,    0 ,    3821         ,
27 ,    2365 ,     bk ,    0 ,     0 ,     2365 ,    0 ,    3610         ,
27 ,    2405 ,     bk ,    0 ,     0 ,     2405 ,    0 ,    3902         ,
27 ,    2445 ,     bk ,    0 ,     0 ,     2445 ,    0 ,    3827         ,
27 ,    2485 ,     bk ,    0 ,     0 ,     2485 ,    0 ,    3690         ,
27 ,    2525 ,     bk ,    0 ,     0 ,     2525 ,    0 ,    3880         ,
27 ,    2565 ,     bk ,    0 ,     0 ,     2565 ,    0 ,    3866         ,
27 ,    2605 ,     bk ,    0 ,     0 ,     2605 ,    0 ,    3685         ,
27 ,    2645 ,     bk ,    0 ,     0 ,     2645 ,    0 ,    3860         ,
27 ,    2685 ,     bk ,    0 ,     0 ,     2685 ,    0 ,    3966         ,
27 ,    2725 ,     bk ,    0 ,     0 ,     2725 ,    0 ,    3693         ,
27 ,    2765 ,     bk ,    0 ,     0 ,     2765 ,    0 ,    3912         ,
27 ,    2805 ,     bk ,    0 ,     0 ,     2805 ,    0 ,    3956         ,
27 ,    2845 ,     bk ,    0 ,     0 ,     2845 ,    0 ,    3767         ,
27 ,    2885 ,     bk ,    0 ,     0 ,     2885 ,    0 ,    3954         ,
27 ,    2925 ,     bk ,    0 ,     0 ,     2925 ,    0 ,    3876         ,
27 ,    2965 ,     bk ,    0 ,     0 ,     2965 ,    0 ,    3698         ,
27 ,    3005 ,     bk ,    0 ,     0 ,     3005 ,    0 ,    3966         ,
27 ,    3045 ,     bk ,    0 ,     0 ,     3045 ,    0 ,    3914         ,
27 ,    3085 ,     bk ,    0 ,     0 ,     3085 ,    0 ,    3708         ,
27 ,    3125 ,     bk ,    0 ,     0 ,     3125 ,    0 ,    4115         ,
27 ,    3165 ,     bk ,    0 ,     0 ,     3165 ,    0 ,    3866         ,
27 ,    3205 ,     bk ,    0 ,     0 ,     3205 ,    0 ,    4070         ,
27 ,    3245 ,     bk ,    0 ,     0 ,     3245 ,    0 ,    4152         ,
27 ,    3285 ,     bk ,    0 ,     0 ,     3285 ,    0 ,    3933         ,
27 ,    3325 ,     bk ,    0 ,     0 ,     3325 ,    0 ,    4110         ,
27 ,    3365 ,     bk ,    0 ,     0 ,     3365 ,    0 ,    4143         ,
27 ,    3405 ,     bk ,    0 ,     0 ,     3405 ,    0 ,    3869         ,
27 ,    3445 ,     bk ,    0 ,     0 ,     3445 ,    0 ,    4208         ,
27 ,    3485 ,     bk ,    0 ,     0 ,     3485 ,    0 ,    4104         ,
27 ,    3525 ,     bk ,    0 ,     0 ,     3525 ,    0 ,    3876         ,
27 ,    3565 ,     bk ,    0 ,     0 ,     3565 ,    0 ,    4079         ,
27 ,    3605 ,     bk ,    0 ,     0 ,     3605 ,    0 ,    4321         ,
27 ,    3645 ,     bk ,    0 ,     0 ,     3645 ,    0 ,    3853         ,
27 ,    3685 ,     bk ,    0 ,     0 ,     3685 ,    0 ,    4188         ,
27 ,    3725 ,     bk ,    0 ,     0 ,     3725 ,    0 ,    4442         ,
27 ,    3765 ,     bk ,    0 ,     0 ,     3765 ,    0 ,    4006         ,
27 ,    3805 ,     bk ,    0 ,     0 ,     3805 ,    0 ,    4344         ,
27 ,    3845 ,     bk ,    0 ,     0 ,     3845 ,    0 ,    4240         ,
27 ,    3885 ,     bk ,    0 ,     0 ,     3885 ,    0 ,    3924         ,
27 ,    3925 ,     bk ,    0 ,     0 ,     3925 ,    0 ,    4364         ,
27 ,    3965 ,     bk ,    0 ,     0 ,     3965 ,    0 ,    4249         ,
27 ,    4005 ,     bk ,    0 ,     0 ,     4005 ,    0 ,    3872         ,
27 ,    4045 ,     bk ,    0 ,     0 ,     4045 ,    0 ,    4271         ,
27 ,    4085 ,     bk ,    0 ,     0 ,     4085 ,    0 ,    4347         ,
27 ,    4125 ,     bk ,    0 ,     0 ,     4125 ,    0 ,    3977         ,
27 ,    4165 ,     bk ,    0 ,     0 ,     4165 ,    0 ,    4326         ,
27 ,    4205 ,     bk ,    0 ,     0 ,     4205 ,    0 ,    4407         ,
27 ,    4245 ,     bk ,    0 ,     0 ,     4245 ,    0 ,    4104         ,
27 ,    4285 ,     bk ,    0 ,     0 ,     4285 ,    0 ,    4240         ,
27 ,    4325 ,     bk ,    0 ,     0 ,     4325 ,    0 ,    4254         ,
27 ,    4365 ,     bk ,    0 ,     0 ,     4365 ,    0 ,    4272         ,
27 ,    4405 ,     bk ,    0 ,     0 ,     4405 ,    0 ,    4364         ,
27 ,    4445 ,     bk ,    0 ,     0 ,     4445 ,    0 ,    4266         ,
27 ,    4485 ,     bk ,    0 ,     0 ,     4485 ,    0 ,    4737         ,
27 ,    4525 ,     bk ,    0 ,     0 ,     4525 ,    0 ,    4418         ,
27 ,    4565 ,     bk ,    0 ,     0 ,     4565 ,    0 ,    4401         ,
27 ,    4605 ,     bk ,    0 ,     0 ,     4605 ,    0 ,    4233         ,
27 ,    4645 ,     bk ,    0 ,     0 ,     4645 ,    0 ,    4509         ,
27 ,    4685 ,     bk ,    0 ,     0 ,     4685 ,    0 ,    4363         ,
27 ,    4725 ,     bk ,    0 ,     0 ,     4725 ,    0 ,    4169         ,
27 ,    4765 ,     bk ,    0 ,     0 ,     4765 ,    0 ,    4578         ,
27 ,    4805 ,     bk ,    0 ,     0 ,     4805 ,    0 ,    4500         ,
27 ,    4845 ,     bk ,    0 ,     0 ,     4845 ,    0 ,    4119         ,
27 ,    4885 ,     bk ,    0 ,     0 ,     4885 ,    0 ,    4425         ,
27 ,    4925 ,     bk ,    0 ,     0 ,     4925 ,    0 ,    4520         ,
27 ,    4965 ,     bk ,    0 ,     0 ,     4965 ,    0 ,    4307         ,
27 ,    5 ,     bk ,    1 ,     0 ,     5 ,    0 ,    3         ,
27 ,    45 ,     bk ,    1 ,     0 ,     45 ,    0 ,    9         ,
27 ,    85 ,     bk ,    1 ,     0 ,     85 ,    0 ,    16         ,
27 ,    125 ,     bk ,    1 ,     0 ,     125 ,    0 ,    21         ,
27 ,    165 ,     bk ,    1 ,     0 ,     165 ,    0 ,    28         ,
27 ,    205 ,     bk ,    1 ,     0 ,     205 ,    0 ,    40         ,
27 ,    245 ,     bk ,    1 ,     0 ,     245 ,    0 ,    39         ,
27 ,    285 ,     bk ,    1 ,     0 ,     285 ,    0 ,    56         ,
27 ,    325 ,     bk ,    1 ,     0 ,     325 ,    0 ,    50         ,
27 ,    365 ,     bk ,    1 ,     0 ,     365 ,    0 ,    65         ,
27 ,    405 ,     bk ,    1 ,     0 ,     405 ,    0 ,    72         ,
27 ,    445 ,     bk ,    1 ,     0 ,     445 ,    0 ,    78         ,
27 ,    485 ,     bk ,    1 ,     0 ,     485 ,    0 ,    85         ,
27 ,    525 ,     bk ,    1 ,     0 ,     525 ,    0 ,    92         ,
27 ,    565 ,     bk ,    1 ,     0 ,     565 ,    0 ,    98         ,
27 ,    605 ,     bk ,    1 ,     0 ,     605 ,    0 ,    104         ,
27 ,    645 ,     bk ,    1 ,     0 ,     645 ,    0 ,    113         ,
27 ,    685 ,     bk ,    1 ,     0 ,     685 ,    0 ,    124         ,
27 ,    725 ,     bk ,    1 ,     0 ,     725 ,    0 ,    130         ,
27 ,    765 ,     bk ,    1 ,     0 ,     765 ,    0 ,    131         ,
27 ,    805 ,     bk ,    1 ,     0 ,     805 ,    0 ,    140         ,
27 ,    845 ,     bk ,    1 ,     0 ,     845 ,    0 ,    149         ,
27 ,    885 ,     bk ,    1 ,     0 ,     885 ,    0 ,    154         ,
27 ,    925 ,     bk ,    1 ,     0 ,     925 ,    0 ,    161         ,
27 ,    965 ,     bk ,    1 ,     0 ,     965 ,    0 ,    168         ,
27 ,    1005 ,     bk ,    1 ,     0 ,     1005 ,    0 ,    176         ,
27 ,    1045 ,     bk ,    1 ,     0 ,     1045 ,    0 ,    188         ,
27 ,    1085 ,     bk ,    1 ,     0 ,     1085 ,    0 ,    197         ,
27 ,    1125 ,     bk ,    1 ,     0 ,     1125 ,    0 ,    203         ,
27 ,    1165 ,     bk ,    1 ,     0 ,     1165 ,    0 ,    204         ,
27 ,    1205 ,     bk ,    1 ,     0 ,     1205 ,    0 ,    217         ,
27 ,    1245 ,     bk ,    1 ,     0 ,     1245 ,    0 ,    219         ,
27 ,    1285 ,     bk ,    1 ,     0 ,     1285 ,    0 ,    224         ,
27 ,    1325 ,     bk ,    1 ,     0 ,     1325 ,    0 ,    234         ,
27 ,    1365 ,     bk ,    1 ,     0 ,     1365 ,    0 ,    242         ,
27 ,    1405 ,     bk ,    1 ,     0 ,     1405 ,    0 ,    245         ,
27 ,    1445 ,     bk ,    1 ,     0 ,     1445 ,    0 ,    255         ,
27 ,    1485 ,     bk ,    1 ,     0 ,     1485 ,    0 ,    269         ,
27 ,    1525 ,     bk ,    1 ,     0 ,     1525 ,    0 ,    266         ,
27 ,    1565 ,     bk ,    1 ,     0 ,     1565 ,    0 ,    276         ,
27 ,    1605 ,     bk ,    1 ,     0 ,     1605 ,    0 ,    288         ,
27 ,    1645 ,     bk ,    1 ,     0 ,     1645 ,    0 ,    294         ,
27 ,    1685 ,     bk ,    1 ,     0 ,     1685 ,    0 ,    297         ,
27 ,    1725 ,     bk ,    1 ,     0 ,     1725 ,    0 ,    303         ,
27 ,    1765 ,     bk ,    1 ,     0 ,     1765 ,    0 ,    311         ,
27 ,    1805 ,     bk ,    1 ,     0 ,     1805 ,    0 ,    319         ,
27 ,    1845 ,     bk ,    1 ,     0 ,     1845 ,    0 ,    327         ,
27 ,    1885 ,     bk ,    1 ,     0 ,     1885 ,    0 ,    335         ,
27 ,    1925 ,     bk ,    1 ,     0 ,     1925 ,    0 ,    343         ,
27 ,    1965 ,     bk ,    1 ,     0 ,     1965 ,    0 ,    348         ,
27 ,    2005 ,     bk ,    1 ,     0 ,     2005 ,    0 ,    353         ,
27 ,    2045 ,     bk ,    1 ,     0 ,     2045 ,    0 ,    362         ,
27 ,    2085 ,     bk ,    1 ,     0 ,     2085 ,    0 ,    371         ,
27 ,    2125 ,     bk ,    1 ,     0 ,     2125 ,    0 ,    375         ,
27 ,    2165 ,     bk ,    1 ,     0 ,     2165 ,    0 ,    391         ,
27 ,    2205 ,     bk ,    1 ,     0 ,     2205 ,    0 ,    405         ,
27 ,    2245 ,     bk ,    1 ,     0 ,     2245 ,    0 ,    401         ,
27 ,    2285 ,     bk ,    1 ,     0 ,     2285 ,    0 ,    416         ,
27 ,    2325 ,     bk ,    1 ,     0 ,     2325 ,    0 ,    419         ,
27 ,    2365 ,     bk ,    1 ,     0 ,     2365 ,    0 ,    421         ,
27 ,    2405 ,     bk ,    1 ,     0 ,     2405 ,    0 ,    440         ,
27 ,    2445 ,     bk ,    1 ,     0 ,     2445 ,    0 ,    441         ,
27 ,    2485 ,     bk ,    1 ,     0 ,     2485 ,    0 ,    443         ,
27 ,    2525 ,     bk ,    1 ,     0 ,     2525 ,    0 ,    457         ,
27 ,    2565 ,     bk ,    1 ,     0 ,     2565 ,    0 ,    464         ,
27 ,    2605 ,     bk ,    1 ,     0 ,     2605 ,    0 ,    480         ,
27 ,    2645 ,     bk ,    1 ,     0 ,     2645 ,    0 ,    475         ,
27 ,    2685 ,     bk ,    1 ,     0 ,     2685 ,    0 ,    481         ,
27 ,    2725 ,     bk ,    1 ,     0 ,     2725 ,    0 ,    491         ,
27 ,    2765 ,     bk ,    1 ,     0 ,     2765 ,    0 ,    500         ,
27 ,    2805 ,     bk ,    1 ,     0 ,     2805 ,    0 ,    515         ,
27 ,    2845 ,     bk ,    1 ,     0 ,     2845 ,    0 ,    516         ,
27 ,    2885 ,     bk ,    1 ,     0 ,     2885 ,    0 ,    518         ,
27 ,    2925 ,     bk ,    1 ,     0 ,     2925 ,    0 ,    539         ,
