SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     h ,    0 ,     1 ,     11 ,    18 ,    4         ,
27 ,    45 ,     h ,    0 ,     1 ,     266 ,    450 ,    31         ,
27 ,    85 ,     h ,    0 ,     1 ,     712 ,    1141 ,    85         ,
27 ,    125 ,     h ,    0 ,     1 ,     1072 ,    1703 ,    128         ,
27 ,    165 ,     h ,    0 ,     1 ,     1723 ,    2717 ,    195         ,
27 ,    205 ,     h ,    0 ,     1 ,     2106 ,    3341 ,    240         ,
27 ,    245 ,     h ,    0 ,     1 ,     2584 ,    4060 ,    303         ,
27 ,    285 ,     h ,    0 ,     1 ,     3348 ,    5348 ,    382         ,
27 ,    325 ,     h ,    0 ,     1 ,     4210 ,    6489 ,    463         ,
27 ,    365 ,     h ,    0 ,     1 ,     4428 ,    6989 ,    503         ,
27 ,    405 ,     h ,    0 ,     1 ,     5090 ,    7930 ,    577         ,
27 ,    445 ,     h ,    0 ,     1 ,     5688 ,    8810 ,    659         ,
27 ,    485 ,     h ,    0 ,     1 ,     6217 ,    9618 ,    734         ,
27 ,    525 ,     h ,    0 ,     1 ,     8596 ,    12800 ,    1011         ,
27 ,    565 ,     h ,    0 ,     1 ,     8429 ,    12954 ,    1055         ,
27 ,    605 ,     h ,    0 ,     1 ,     8738 ,    13584 ,    975         ,
27 ,    645 ,     h ,    0 ,     1 ,     10398 ,    15562 ,    1107         ,
27 ,    685 ,     h ,    0 ,     1 ,     10099 ,    15585 ,    1156         ,
27 ,    725 ,     h ,    0 ,     1 ,     10183 ,    15989 ,    1271         ,
27 ,    765 ,     h ,    0 ,     1 ,     11013 ,    17141 ,    1269         ,
27 ,    805 ,     h ,    0 ,     1 ,     12468 ,    18913 ,    1381         ,
27 ,    845 ,     h ,    0 ,     1 ,     13302 ,    20068 ,    1459         ,
27 ,    885 ,     h ,    0 ,     1 ,     12931 ,    20018 ,    1461         ,
27 ,    925 ,     h ,    0 ,     1 ,     14283 ,    21690 ,    1594         ,
27 ,    965 ,     h ,    0 ,     1 ,     15288 ,    23014 ,    1856         ,
27 ,    1005 ,     h ,    0 ,     1 ,     16200 ,    24248 ,    1795         ,
27 ,    1045 ,     h ,    0 ,     1 ,     18734 ,    28143 ,    1995         ,
27 ,    1085 ,     h ,    0 ,     1 ,     17919 ,    27690 ,    1967         ,
27 ,    1125 ,     h ,    0 ,     1 ,     18816 ,    28946 ,    2793         ,
27 ,    1165 ,     h ,    0 ,     1 ,     19764 ,    30254 ,    2168         ,
27 ,    1205 ,     h ,    0 ,     1 ,     20480 ,    31331 ,    2262         ,
27 ,    1245 ,     h ,    0 ,     1 ,     19891 ,    31103 ,    2231         ,
27 ,    1285 ,     h ,    0 ,     1 ,     26917 ,    38486 ,    4594         ,
27 ,    1325 ,     h ,    0 ,     1 ,     22406 ,    34337 ,    2497         ,
27 ,    1365 ,     h ,    0 ,     1 ,     22902 ,    35193 ,    2540         ,
27 ,    1405 ,     h ,    0 ,     1 ,     23522 ,    36175 ,    2819         ,
27 ,    1445 ,     h ,    0 ,     1 ,     23810 ,    36821 ,    2653         ,
27 ,    1485 ,     h ,    0 ,     1 ,     26960 ,    40332 ,    2893         ,
27 ,    1525 ,     h ,    0 ,     1 ,     25295 ,    39028 ,    3062         ,
27 ,    1565 ,     h ,    0 ,     1 ,     31131 ,    45222 ,    3230         ,
27 ,    1605 ,     h ,    0 ,     1 ,     29590 ,    44040 ,    3202         ,
27 ,    1645 ,     h ,    0 ,     1 ,     29837 ,    44649 ,    3251         ,
27 ,    1685 ,     h ,    0 ,     1 ,     29578 ,    44749 ,    3228         ,
27 ,    1725 ,     h ,    0 ,     1 ,     30087 ,    45620 ,    3468         ,
27 ,    1765 ,     h ,    0 ,     1 ,     31313 ,    47205 ,    3464         ,
27 ,    1805 ,     h ,    0 ,     1 ,     37312 ,    53563 ,    3867         ,
27 ,    1845 ,     h ,    0 ,     1 ,     33170 ,    49782 ,    3764         ,
27 ,    1885 ,     h ,    0 ,     1 ,     32619 ,    49592 ,    3647         ,
27 ,    1925 ,     h ,    0 ,     1 ,     37020 ,    54351 ,    4058         ,
27 ,    1965 ,     h ,    0 ,     1 ,     35678 ,    53371 ,    3898         ,
27 ,    2005 ,     h ,    0 ,     1 ,     36878 ,    54931 ,    4552         ,
27 ,    2045 ,     h ,    0 ,     1 ,     37744 ,    56159 ,    4711         ,
27 ,    2085 ,     h ,    0 ,     1 ,     44361 ,    65215 ,    6563         ,
27 ,    2125 ,     h ,    0 ,     1 ,     41294 ,    62549 ,    5299         ,
27 ,    2165 ,     h ,    0 ,     1 ,     41187 ,    62843 ,    5796         ,
27 ,    2205 ,     h ,    0 ,     1 ,     41418 ,    63474 ,    6691         ,
27 ,    2245 ,     h ,    0 ,     1 ,     43128 ,    65583 ,    4655         ,
27 ,    2285 ,     h ,    0 ,     1 ,     42876 ,    65733 ,    7146         ,
27 ,    2325 ,     h ,    0 ,     1 ,     46514 ,    69769 ,    4935         ,
27 ,    2365 ,     h ,    0 ,     1 ,     46913 ,    70570 ,    5043         ,
27 ,    2405 ,     h ,    0 ,     1 ,     46030 ,    70086 ,    5147         ,
27 ,    2445 ,     h ,    0 ,     1 ,     49391 ,    73847 ,    7137         ,
27 ,    2485 ,     h ,    0 ,     1 ,     47582 ,    72439 ,    5357         ,
27 ,    2525 ,     h ,    0 ,     1 ,     47120 ,    72378 ,    5816         ,
27 ,    2565 ,     h ,    0 ,     1 ,     68832 ,    94486 ,    26532         ,
27 ,    2605 ,     h ,    0 ,     1 ,     54513 ,    80569 ,    6110         ,
27 ,    2645 ,     h ,    0 ,     1 ,     51747 ,    78203 ,    30919         ,
27 ,    2685 ,     h ,    0 ,     1 ,     51161 ,    78019 ,    21430         ,
27 ,    2725 ,     h ,    0 ,     1 ,     53334 ,    80590 ,    7548         ,
27 ,    2765 ,     h ,    0 ,     1 ,     55785 ,    83442 ,    10172         ,
27 ,    2805 ,     h ,    0 ,     1 ,     54513 ,    82571 ,    7765         ,
27 ,    2845 ,     h ,    0 ,     1 ,     59943 ,    88400 ,    8257         ,
27 ,    2885 ,     h ,    0 ,     1 ,     57651 ,    86507 ,    8533         ,
27 ,    2925 ,     h ,    0 ,     1 ,     55939 ,    85197 ,    6189         ,
27 ,    2965 ,     h ,    0 ,     1 ,     62350 ,    92007 ,    6614         ,
27 ,    3005 ,     h ,    0 ,     1 ,     57130 ,    87189 ,    6475         ,
27 ,    3045 ,     h ,    0 ,     1 ,     58527 ,    88985 ,    6509         ,
27 ,    3085 ,     h ,    0 ,     1 ,     84969 ,    115824 ,    8506         ,
27 ,    3125 ,     h ,    0 ,     1 ,     70473 ,    101729 ,    7427         ,
27 ,    3165 ,     h ,    0 ,     1 ,     65839 ,    97496 ,    7171         ,
27 ,    3205 ,     h ,    0 ,     1 ,     68465 ,    100520 ,    9876         ,
27 ,    3245 ,     h ,    0 ,     1 ,     66632 ,    99089 ,    7323         ,
27 ,    3285 ,     h ,    0 ,     1 ,     69553 ,    102410 ,    7532         ,
27 ,    3325 ,     h ,    0 ,     1 ,     69099 ,    102358 ,    23580         ,
27 ,    3365 ,     h ,    0 ,     1 ,     70914 ,    104570 ,    7676         ,
27 ,    3405 ,     h ,    0 ,     1 ,     73498 ,    107555 ,    7911         ,
27 ,    3445 ,     h ,    0 ,     1 ,     69708 ,    104166 ,    61578         ,
27 ,    3485 ,     h ,    0 ,     1 ,     69127 ,    103985 ,    7571         ,
27 ,    3525 ,     h ,    0 ,     1 ,     74544 ,    109801 ,    25963         ,
27 ,    3565 ,     h ,    0 ,     1 ,     73517 ,    109176 ,    8571         ,
27 ,    3605 ,     h ,    0 ,     1 ,     82879 ,    118935 ,    27876         ,
27 ,    3645 ,     h ,    0 ,     1 ,     76918 ,    113376 ,    35052         ,
27 ,    3685 ,     h ,    0 ,     1 ,     78792 ,    115649 ,    8600         ,
27 ,    3725 ,     h ,    0 ,     1 ,     76804 ,    114061 ,    28274         ,
27 ,    3765 ,     h ,    0 ,     1 ,     75651 ,    113309 ,    8447         ,
27 ,    3805 ,     h ,    0 ,     1 ,     75898 ,    113957 ,    26746         ,
27 ,    3845 ,     h ,    0 ,     1 ,     91342 ,    129798 ,    9550         ,
27 ,    3885 ,     h ,    0 ,     1 ,     83790 ,    122648 ,    27474         ,
27 ,    3925 ,     h ,    0 ,     1 ,     82736 ,    121994 ,    9368         ,
27 ,    3965 ,     h ,    0 ,     1 ,     78913 ,    118573 ,    9027         ,
27 ,    4005 ,     h ,    0 ,     1 ,     88078 ,    128136 ,    9470         ,
27 ,    4045 ,     h ,    0 ,     1 ,     87826 ,    128285 ,    9573         ,
27 ,    4085 ,     h ,    0 ,     1 ,     85937 ,    126797 ,    27708         ,
27 ,    4125 ,     h ,    0 ,     1 ,     119563 ,    164943 ,    11934         ,
27 ,    4165 ,     h ,    0 ,     1 ,     100466 ,    146285 ,    11037         ,
27 ,    4205 ,     h ,    0 ,     1 ,     97592 ,    143853 ,    16627         ,
27 ,    4245 ,     h ,    0 ,     1 ,     98043 ,    144743 ,    10979         ,
27 ,    4285 ,     h ,    0 ,     1 ,     92483 ,    139625 ,    10977         ,
27 ,    4325 ,     h ,    0 ,     1 ,     100243 ,    147824 ,    21308         ,
27 ,    4365 ,     h ,    0 ,     1 ,     106041 ,    154061 ,    12521         ,
27 ,    4405 ,     h ,    0 ,     1 ,     95417 ,    143878 ,    12074         ,
27 ,    4445 ,     h ,    0 ,     1 ,     100239 ,    149141 ,    10780         ,
27 ,    4485 ,     h ,    0 ,     1 ,     100831 ,    150171 ,    11055         ,
27 ,    4525 ,     h ,    0 ,     1 ,     99333 ,    149115 ,    31521         ,
27 ,    4565 ,     h ,    0 ,     1 ,     97692 ,    147914 ,    10760         ,
27 ,    4605 ,     h ,    0 ,     1 ,     100814 ,    151478 ,    11296         ,
27 ,    4645 ,     h ,    0 ,     1 ,     107441 ,    158541 ,    29279         ,
27 ,    4685 ,     h ,    0 ,     1 ,     105309 ,    156850 ,    49512         ,
27 ,    4725 ,     h ,    0 ,     1 ,     106862 ,    158844 ,    28619         ,
27 ,    4765 ,     h ,    0 ,     1 ,     103921 ,    156343 ,    30548         ,
27 ,    4805 ,     h ,    0 ,     1 ,     111289 ,    164150 ,    12414         ,
27 ,    4845 ,     h ,    0 ,     1 ,     105954 ,    159257 ,    33374         ,
27 ,    4885 ,     h ,    0 ,     1 ,     115968 ,    169709 ,    12427         ,
27 ,    4925 ,     h ,    0 ,     1 ,     107710 ,    161893 ,    27545         ,
27 ,    4965 ,     h ,    0 ,     1 ,     107635 ,    162257 ,    11774         ,
27 ,    5 ,     h ,    1 ,     1 ,     7 ,    14 ,    2         ,
27 ,    45 ,     h ,    1 ,     1 ,     184 ,    368 ,    15         ,
27 ,    85 ,     h ,    1 ,     1 ,     429 ,    858 ,    34         ,
27 ,    125 ,     h ,    1 ,     1 ,     631 ,    1262 ,    50         ,
27 ,    165 ,     h ,    1 ,     1 ,     994 ,    1988 ,    78         ,
