SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     i ,    0 ,     1 ,     11 ,    15 ,    5         ,
27 ,    45 ,     i ,    0 ,     1 ,     520 ,    564 ,    35         ,
27 ,    85 ,     i ,    0 ,     1 ,     1913 ,    1997 ,    8358         ,
27 ,    125 ,     i ,    0 ,     1 ,     3952 ,    4076 ,    218         ,
27 ,    165 ,     i ,    0 ,     1 ,     6938 ,    7102 ,    374         ,
27 ,    205 ,     i ,    0 ,     1 ,     10709 ,    10913 ,    684         ,
27 ,    245 ,     i ,    0 ,     1 ,     15547 ,    15791 ,    821         ,
27 ,    285 ,     i ,    0 ,     1 ,     20253 ,    20537 ,    1069         ,
27 ,    325 ,     i ,    0 ,     1 ,     27447 ,    27771 ,    1434         ,
27 ,    365 ,     i ,    0 ,     1 ,     34906 ,    35270 ,    3743         ,
27 ,    405 ,     i ,    0 ,     1 ,     43483 ,    43887 ,    10805         ,
27 ,    445 ,     i ,    0 ,     1 ,     52112 ,    52556 ,    4451         ,
27 ,    485 ,     i ,    0 ,     1 ,     62568 ,    63052 ,    3244         ,
27 ,    525 ,     i ,    0 ,     1 ,     71588 ,    72112 ,    3707         ,
27 ,    565 ,     i ,    0 ,     1 ,     80602 ,    81166 ,    10540         ,
27 ,    605 ,     i ,    0 ,     1 ,     93671 ,    94275 ,    13207         ,
27 ,    645 ,     i ,    0 ,     1 ,     105874 ,    106518 ,    5464         ,
27 ,    685 ,     i ,    0 ,     1 ,     119009 ,    119693 ,    6235         ,
27 ,    725 ,     i ,    0 ,     1 ,     133268 ,    133992 ,    6956         ,
27 ,    765 ,     i ,    0 ,     1 ,     147817 ,    148581 ,    7697         ,
27 ,    805 ,     i ,    0 ,     1 ,     165016 ,    165820 ,    11094         ,
27 ,    845 ,     i ,    0 ,     1 ,     183655 ,    184499 ,    9530         ,
27 ,    885 ,     i ,    0 ,     1 ,     201034 ,    201918 ,    10634         ,
27 ,    925 ,     i ,    0 ,     1 ,     217185 ,    218109 ,    11240         ,
27 ,    965 ,     i ,    0 ,     1 ,     240046 ,    241010 ,    12735         ,
27 ,    1005 ,     i ,    0 ,     1 ,     260632 ,    261636 ,    14176         ,
27 ,    1045 ,     i ,    0 ,     1 ,     279820 ,    280864 ,    15266         ,
27 ,    1085 ,     i ,    0 ,     1 ,     296563 ,    297647 ,    17072         ,
27 ,    1125 ,     i ,    0 ,     1 ,     317535 ,    318659 ,    16405         ,
27 ,    1165 ,     i ,    0 ,     1 ,     338945 ,    340109 ,    19615         ,
27 ,    1205 ,     i ,    0 ,     1 ,     363211 ,    364415 ,    20885         ,
27 ,    1245 ,     i ,    0 ,     1 ,     389785 ,    391029 ,    20325         ,
27 ,    1285 ,     i ,    0 ,     1 ,     414698 ,    415982 ,    22599         ,
27 ,    1325 ,     i ,    0 ,     1 ,     442726 ,    444050 ,    25878         ,
27 ,    1365 ,     i ,    0 ,     1 ,     472451 ,    473815 ,    24393         ,
27 ,    1405 ,     i ,    0 ,     1 ,     496413 ,    497817 ,    25708         ,
27 ,    1445 ,     i ,    0 ,     1 ,     521145 ,    522589 ,    27407         ,
27 ,    1485 ,     i ,    0 ,     1 ,     551274 ,    552758 ,    28820         ,
27 ,    1525 ,     i ,    0 ,     1 ,     579979 ,    581503 ,    30067         ,
27 ,    1565 ,     i ,    0 ,     1 ,     616169 ,    617733 ,    51621         ,
27 ,    1605 ,     i ,    0 ,     1 ,     647801 ,    649405 ,    48822         ,
27 ,    1645 ,     i ,    0 ,     1 ,     684115 ,    685759 ,    37175         ,
27 ,    1685 ,     i ,    0 ,     1 ,     716426 ,    718110 ,    36941         ,
27 ,    1725 ,     i ,    0 ,     1 ,     748980 ,    750704 ,    41808         ,
27 ,    1765 ,     i ,    0 ,     1 ,     782805 ,    784569 ,    44172         ,
27 ,    1805 ,     i ,    0 ,     1 ,     817979 ,    819783 ,    140841         ,
27 ,    1845 ,     i ,    0 ,     1 ,     856481 ,    858325 ,    67451         ,
27 ,    1885 ,     i ,    0 ,     1 ,     897837 ,    899721 ,    148083         ,
27 ,    1925 ,     i ,    0 ,     1 ,     935716 ,    937640 ,    52353         ,
27 ,    1965 ,     i ,    0 ,     1 ,     972811 ,    974775 ,    118222         ,
27 ,    2005 ,     i ,    0 ,     1 ,     1014443 ,    1016447 ,    53541         ,
27 ,    2045 ,     i ,    0 ,     1 ,     1059456 ,    1061500 ,    65207         ,
27 ,    2085 ,     i ,    0 ,     1 ,     1095829 ,    1097913 ,    63163         ,
27 ,    2125 ,     i ,    0 ,     1 ,     1132995 ,    1135119 ,    63065         ,
27 ,    2165 ,     i ,    0 ,     1 ,     1172639 ,    1174803 ,    82351         ,
27 ,    2205 ,     i ,    0 ,     1 ,     1214886 ,    1217090 ,    67923         ,
27 ,    2245 ,     i ,    0 ,     1 ,     1252463 ,    1254707 ,    66421         ,
27 ,    2285 ,     i ,    0 ,     1 ,     1292827 ,    1295111 ,    71135         ,
27 ,    2325 ,     i ,    0 ,     1 ,     1338434 ,    1340758 ,    88195         ,
27 ,    2365 ,     i ,    0 ,     1 ,     1384315 ,    1386679 ,    71254         ,
27 ,    2405 ,     i ,    0 ,     1 ,     1434656 ,    1437060 ,    78180         ,
27 ,    2445 ,     i ,    0 ,     1 ,     1482910 ,    1485354 ,    80746         ,
27 ,    2485 ,     i ,    0 ,     1 ,     1535798 ,    1538282 ,    83241         ,
27 ,    2525 ,     i ,    0 ,     1 ,     1589623 ,    1592147 ,    87195         ,
27 ,    2565 ,     i ,    0 ,     1 ,     1641176 ,    1643740 ,    114122         ,
27 ,    2605 ,     i ,    0 ,     1 ,     1693439 ,    1696043 ,    88861         ,
27 ,    2645 ,     i ,    0 ,     1 ,     1747983 ,    1750627 ,    93294         ,
27 ,    2685 ,     i ,    0 ,     1 ,     1799144 ,    1801828 ,    95343         ,
27 ,    2725 ,     i ,    0 ,     1 ,     1852344 ,    1855068 ,    97305         ,
27 ,    2765 ,     i ,    0 ,     1 ,     1901627 ,    1904391 ,    98119         ,
27 ,    2805 ,     i ,    0 ,     1 ,     1951753 ,    1954557 ,    100338         ,
27 ,    2845 ,     i ,    0 ,     1 ,     2010060 ,    2012904 ,    135181         ,
27 ,    2885 ,     i ,    0 ,     1 ,     2064463 ,    2067347 ,    129581         ,
27 ,    2925 ,     i ,    0 ,     1 ,     2124426 ,    2127350 ,    114629         ,
27 ,    2965 ,     i ,    0 ,     1 ,     2191397 ,    2194361 ,    118422         ,
27 ,    3005 ,     i ,    0 ,     1 ,     2253090 ,    2256094 ,    119172         ,
27 ,    3045 ,     i ,    0 ,     1 ,     2301722 ,    2304766 ,    118662         ,
27 ,    3085 ,     i ,    0 ,     1 ,     2354455 ,    2357539 ,    121302         ,
27 ,    3125 ,     i ,    0 ,     1 ,     2410655 ,    2413779 ,    124160         ,
27 ,    3165 ,     i ,    0 ,     1 ,     2474771 ,    2477935 ,    127407         ,
27 ,    3205 ,     i ,    0 ,     1 ,     2541813 ,    2545017 ,    158457         ,
27 ,    3245 ,     i ,    0 ,     1 ,     2604137 ,    2607381 ,    135066         ,
27 ,    3285 ,     i ,    0 ,     1 ,     2669651 ,    2672935 ,    139646         ,
27 ,    3325 ,     i ,    0 ,     1 ,     2722616 ,    2725940 ,    140085         ,
27 ,    3365 ,     i ,    0 ,     1 ,     2783570 ,    2786934 ,    145758         ,
27 ,    3405 ,     i ,    0 ,     1 ,     2846675 ,    2850079 ,    148690         ,
27 ,    3445 ,     i ,    0 ,     1 ,     2912944 ,    2916388 ,    154355         ,
27 ,    3485 ,     i ,    0 ,     1 ,     2981773 ,    2985257 ,    161319         ,
27 ,    3525 ,     i ,    0 ,     1 ,     3048084 ,    3051608 ,    177968         ,
27 ,    3565 ,     i ,    0 ,     1 ,     3112860 ,    3116424 ,    171502         ,
27 ,    3605 ,     i ,    0 ,     1 ,     3193692 ,    3197296 ,    174693         ,
27 ,    3645 ,     i ,    0 ,     1 ,     3274373 ,    3278017 ,    171388         ,
27 ,    3685 ,     i ,    0 ,     1 ,     3350263 ,    3353947 ,    186567         ,
27 ,    3725 ,     i ,    0 ,     1 ,     3422811 ,    3426535 ,    225221         ,
27 ,    3765 ,     i ,    0 ,     1 ,     3494983 ,    3498747 ,    184207         ,
27 ,    3805 ,     i ,    0 ,     1 ,     3564385 ,    3568189 ,    205332         ,
27 ,    3845 ,     i ,    0 ,     1 ,     3627429 ,    3631273 ,    225104         ,
27 ,    3885 ,     i ,    0 ,     1 ,     3696063 ,    3699947 ,    201222         ,
27 ,    3925 ,     i ,    0 ,     1 ,     3773686 ,    3777610 ,    195669         ,
27 ,    3965 ,     i ,    0 ,     1 ,     3862732 ,    3866696 ,    198742         ,
27 ,    4005 ,     i ,    0 ,     1 ,     3930605 ,    3934609 ,    202712         ,
27 ,    4045 ,     i ,    0 ,     1 ,     4018546 ,    4022590 ,    206744         ,
27 ,    4085 ,     i ,    0 ,     1 ,     4102957 ,    4107041 ,    211140         ,
27 ,    4125 ,     i ,    0 ,     1 ,     4196545 ,    4200669 ,    215857         ,
27 ,    4165 ,     i ,    0 ,     1 ,     4307069 ,    4311233 ,    221583         ,
27 ,    4205 ,     i ,    0 ,     1 ,     4390575 ,    4394779 ,    225729         ,
27 ,    4245 ,     i ,    0 ,     1 ,     4463358 ,    4467602 ,    229438         ,
27 ,    4285 ,     i ,    0 ,     1 ,     4562019 ,    4566303 ,    235553         ,
27 ,    4325 ,     i ,    0 ,     1 ,     4642296 ,    4646620 ,    239009         ,
27 ,    4365 ,     i ,    0 ,     1 ,     4741780 ,    4746144 ,    243930         ,
27 ,    4405 ,     i ,    0 ,     1 ,     4831307 ,    4835711 ,    264041         ,
27 ,    4445 ,     i ,    0 ,     1 ,     4923702 ,    4928146 ,    273665         ,
27 ,    4485 ,     i ,    0 ,     1 ,     5000812 ,    5005296 ,    324777         ,
27 ,    4525 ,     i ,    0 ,     1 ,     5096850 ,    5101374 ,    389548         ,
27 ,    4565 ,     i ,    0 ,     1 ,     5184342 ,    5188906 ,    456357         ,
27 ,    4605 ,     i ,    0 ,     1 ,     5282819 ,    5287423 ,    975853         ,
27 ,    4645 ,     i ,    0 ,     1 ,     5374909 ,    5379553 ,    885728         ,
27 ,    4685 ,     i ,    0 ,     1 ,     5458643 ,    5463327 ,    310002         ,
27 ,    4725 ,     i ,    0 ,     1 ,     5558476 ,    5563200 ,    379039         ,
27 ,    4765 ,     i ,    0 ,     1 ,     5654717 ,    5659481 ,    375069         ,
27 ,    4805 ,     i ,    0 ,     1 ,     5756878 ,    5761682 ,    404016         ,
27 ,    4845 ,     i ,    0 ,     1 ,     5843853 ,    5848697 ,    437243         ,
27 ,    4885 ,     i ,    0 ,     1 ,     5947287 ,    5952171 ,    348537         ,
27 ,    4925 ,     i ,    0 ,     1 ,     6053858 ,    6058782 ,    444542         ,
27 ,    4965 ,     i ,    0 ,     1 ,     6144812 ,    6149776 ,    421391         ,
27 ,    5 ,     i ,    1 ,     1 ,     4 ,    8 ,    2         ,
27 ,    45 ,     i ,    1 ,     1 ,     44 ,    88 ,    4         ,
27 ,    85 ,     i ,    1 ,     1 ,     84 ,    168 ,    7         ,
27 ,    125 ,     i ,    1 ,     1 ,     124 ,    248 ,    10         ,
27 ,    165 ,     i ,    1 ,     1 ,     164 ,    328 ,    14         ,
27 ,    205 ,     i ,    1 ,     1 ,     204 ,    408 ,    16         ,
27 ,    245 ,     i ,    1 ,     1 ,     244 ,    488 ,    20         ,
27 ,    285 ,     i ,    1 ,     1 ,     284 ,    568 ,    24         ,
27 ,    325 ,     i ,    1 ,     1 ,     324 ,    648 ,    26         ,
27 ,    365 ,     i ,    1 ,     1 ,     364 ,    728 ,    31         ,
27 ,    405 ,     i ,    1 ,     1 ,     404 ,    808 ,    33         ,
27 ,    445 ,     i ,    1 ,     1 ,     444 ,    888 ,    35         ,
27 ,    485 ,     i ,    1 ,     1 ,     484 ,    968 ,    40         ,
27 ,    525 ,     i ,    1 ,     1 ,     524 ,    1048 ,    44         ,
27 ,    565 ,     i ,    1 ,     1 ,     564 ,    1128 ,    46         ,
27 ,    605 ,     i ,    1 ,     1 ,     604 ,    1208 ,    49         ,
27 ,    645 ,     i ,    1 ,     1 ,     644 ,    1288 ,    52         ,
27 ,    685 ,     i ,    1 ,     1 ,     684 ,    1368 ,    55         ,
27 ,    725 ,     i ,    1 ,     1 ,     724 ,    1448 ,    61         ,
27 ,    765 ,     i ,    1 ,     1 ,     764 ,    1528 ,    61         ,
27 ,    805 ,     i ,    1 ,     1 ,     804 ,    1608 ,    64         ,
27 ,    845 ,     i ,    1 ,     1 ,     844 ,    1688 ,    69         ,
27 ,    885 ,     i ,    1 ,     1 ,     884 ,    1768 ,    264         ,
27 ,    925 ,     i ,    1 ,     1 ,     924 ,    1848 ,    74         ,
27 ,    965 ,     i ,    1 ,     1 ,     964 ,    1928 ,    78         ,
27 ,    1005 ,     i ,    1 ,     1 ,     1004 ,    2008 ,    81         ,
27 ,    1045 ,     i ,    1 ,     1 ,     1044 ,    2088 ,    84         ,
27 ,    1085 ,     i ,    1 ,     1 ,     1084 ,    2168 ,    88         ,
27 ,    1125 ,     i ,    1 ,     1 ,     1124 ,    2248 ,    90         ,
27 ,    1165 ,     i ,    1 ,     1 ,     1164 ,    2328 ,    93         ,
27 ,    1205 ,     i ,    1 ,     1 ,     1204 ,    2408 ,    95         ,
27 ,    1245 ,     i ,    1 ,     1 ,     1244 ,    2488 ,    100         ,
27 ,    1285 ,     i ,    1 ,     1 ,     1284 ,    2568 ,    100         ,
27 ,    1325 ,     i ,    1 ,     1 ,     1324 ,    2648 ,    105         ,
27 ,    1365 ,     i ,    1 ,     1 ,     1364 ,    2728 ,    271         ,
27 ,    1405 ,     i ,    1 ,     1 ,     1404 ,    2808 ,    110         ,
27 ,    1445 ,     i ,    1 ,     1 ,     1444 ,    2888 ,    111         ,
27 ,    1485 ,     i ,    1 ,     1 ,     1484 ,    2968 ,    118         ,
27 ,    1525 ,     i ,    1 ,     1 ,     1524 ,    3048 ,    119         ,
27 ,    1565 ,     i ,    1 ,     1 ,     1564 ,    3128 ,    122         ,
27 ,    1605 ,     i ,    1 ,     1 ,     1604 ,    3208 ,    127         ,
27 ,    1645 ,     i ,    1 ,     1 ,     1644 ,    3288 ,    127         ,
27 ,    1685 ,     i ,    1 ,     1 ,     1684 ,    3368 ,    132         ,
27 ,    1725 ,     i ,    1 ,     1 ,     1724 ,    3448 ,    137         ,
27 ,    1765 ,     i ,    1 ,     1 ,     1764 ,    3528 ,    278         ,
27 ,    1805 ,     i ,    1 ,     1 ,     1804 ,    3608 ,    144         ,
27 ,    1845 ,     i ,    1 ,     1 ,     1844 ,    3688 ,    149         ,
27 ,    1885 ,     i ,    1 ,     1 ,     1884 ,    3768 ,    153         ,
27 ,    1925 ,     i ,    1 ,     1 ,     1924 ,    3848 ,    156         ,
27 ,    1965 ,     i ,    1 ,     1 ,     1964 ,    3928 ,    157         ,
27 ,    2005 ,     i ,    1 ,     1 ,     2004 ,    4008 ,    162         ,
27 ,    2045 ,     i ,    1 ,     1 ,     2044 ,    4088 ,    163         ,
27 ,    2085 ,     i ,    1 ,     1 ,     2084 ,    4168 ,    306         ,
27 ,    2125 ,     i ,    1 ,     1 ,     2124 ,    4248 ,    168         ,
27 ,    2165 ,     i ,    1 ,     1 ,     2164 ,    4328 ,    168         ,
27 ,    2205 ,     i ,    1 ,     1 ,     2204 ,    4408 ,    173         ,
27 ,    2245 ,     i ,    1 ,     1 ,     2244 ,    4488 ,    176         ,
27 ,    2285 ,     i ,    1 ,     1 ,     2284 ,    4568 ,    178         ,
27 ,    2325 ,     i ,    1 ,     1 ,     2324 ,    4648 ,    182         ,
27 ,    2365 ,     i ,    1 ,     1 ,     2364 ,    4728 ,    183         ,
27 ,    2405 ,     i ,    1 ,     1 ,     2404 ,    4808 ,    188         ,
27 ,    2445 ,     i ,    1 ,     1 ,     2444 ,    4888 ,    188         ,
27 ,    2485 ,     i ,    1 ,     1 ,     2484 ,    4968 ,    195         ,
27 ,    2525 ,     i ,    1 ,     1 ,     2524 ,    5048 ,    197         ,
27 ,    2565 ,     i ,    1 ,     1 ,     2564 ,    5128 ,    206         ,
27 ,    2605 ,     i ,    1 ,     1 ,     2604 ,    5208 ,    204         ,
27 ,    2645 ,     i ,    1 ,     1 ,     2644 ,    5288 ,    206         ,
27 ,    2685 ,     i ,    1 ,     1 ,     2684 ,    5368 ,    211         ,
27 ,    2725 ,     i ,    1 ,     1 ,     2724 ,    5448 ,    214         ,
27 ,    2765 ,     i ,    1 ,     1 ,     2764 ,    5528 ,    219         ,
27 ,    2805 ,     i ,    1 ,     1 ,     2804 ,    5608 ,    218         ,
27 ,    2845 ,     i ,    1 ,     1 ,     2844 ,    5688 ,    224         ,
27 ,    2885 ,     i ,    1 ,     1 ,     2884 ,    5768 ,    226         ,
27 ,    2925 ,     i ,    1 ,     1 ,     2924 ,    5848 ,    228         ,
27 ,    2965 ,     i ,    1 ,     1 ,     2964 ,    5928 ,    233         ,
27 ,    3005 ,     i ,    1 ,     1 ,     3004 ,    6008 ,    234         ,
27 ,    3045 ,     i ,    1 ,     1 ,     3044 ,    6088 ,    238         ,
27 ,    3085 ,     i ,    1 ,     1 ,     3084 ,    6168 ,    242         ,
