SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q ,    0 ,     8 ,     4 ,    15 ,    7         ,
27 ,    45 ,     q ,    0 ,     78 ,     190 ,    204 ,    42         ,
27 ,    85 ,     q ,    0 ,     142 ,     360 ,    468 ,    73         ,
27 ,    125 ,     q ,    0 ,     218 ,     581 ,    744 ,    113         ,
27 ,    165 ,     q ,    0 ,     278 ,     701 ,    1053 ,    152         ,
27 ,    205 ,     q ,    0 ,     354 ,     1355 ,    1281 ,    205         ,
27 ,    245 ,     q ,    0 ,     416 ,     1465 ,    1605 ,    244         ,
27 ,    285 ,     q ,    0 ,     488 ,     1420 ,    1959 ,    283         ,
27 ,    325 ,     q ,    0 ,     576 ,     1669 ,    2301 ,    334         ,
27 ,    365 ,     q ,    0 ,     618 ,     2027 ,    2589 ,    377         ,
27 ,    405 ,     q ,    0 ,     688 ,     2469 ,    2970 ,    421         ,
27 ,    445 ,     q ,    0 ,     768 ,     2402 ,    3318 ,    469         ,
27 ,    485 ,     q ,    0 ,     850 ,     2939 ,    3606 ,    504         ,
27 ,    525 ,     q ,    0 ,     908 ,     3118 ,    3894 ,    707         ,
27 ,    565 ,     q ,    0 ,     952 ,     3328 ,    4284 ,    608         ,
27 ,    605 ,     q ,    0 ,     1042 ,     3365 ,    4665 ,    652         ,
27 ,    645 ,     q ,    0 ,     1116 ,     5411 ,    4902 ,    723         ,
27 ,    685 ,     q ,    0 ,     1168 ,     4264 ,    5289 ,    758         ,
27 ,    725 ,     q ,    0 ,     1242 ,     5050 ,    5526 ,    799         ,
27 ,    765 ,     q ,    0 ,     1292 ,     5075 ,    5910 ,    851         ,
27 ,    805 ,     q ,    0 ,     1404 ,     5938 ,    6297 ,    973         ,
27 ,    845 ,     q ,    0 ,     1460 ,     5082 ,    6810 ,    947         ,
27 ,    885 ,     q ,    0 ,     1534 ,     6316 ,    6999 ,    1003         ,
27 ,    925 ,     q ,    0 ,     1592 ,     5995 ,    7419 ,    1055         ,
27 ,    965 ,     q ,    0 ,     1670 ,     7362 ,    7830 ,    1130         ,
27 ,    1005 ,     q ,    0 ,     1740 ,     8694 ,    8013 ,    3359         ,
27 ,    1045 ,     q ,    0 ,     1768 ,     6518 ,    8565 ,    1172         ,
27 ,    1085 ,     q ,    0 ,     1838 ,     8918 ,    8700 ,    1255         ,
27 ,    1125 ,     q ,    0 ,     1920 ,     9015 ,    9024 ,    1321         ,
27 ,    1165 ,     q ,    0 ,     2022 ,     8238 ,    9591 ,    1515         ,
27 ,    1205 ,     q ,    0 ,     2072 ,     7603 ,    9912 ,    1391         ,
27 ,    1245 ,     q ,    0 ,     2164 ,     10317 ,    10089 ,    1487         ,
27 ,    1285 ,     q ,    0 ,     2208 ,     9785 ,    10530 ,    1511         ,
27 ,    1325 ,     q ,    0 ,     2298 ,     9896 ,    10998 ,    1663         ,
27 ,    1365 ,     q ,    0 ,     2348 ,     10518 ,    11412 ,    1618         ,
27 ,    1405 ,     q ,    0 ,     2416 ,     10599 ,    11841 ,    1674         ,
27 ,    1445 ,     q ,    0 ,     2482 ,     11759 ,    12258 ,    1729         ,
27 ,    1485 ,     q ,    0 ,     2608 ,     11219 ,    12567 ,    2112         ,
27 ,    1525 ,     q ,    0 ,     2608 ,     11251 ,    12930 ,    1831         ,
27 ,    1565 ,     q ,    0 ,     2704 ,     12342 ,    13266 ,    1876         ,
27 ,    1605 ,     q ,    0 ,     2764 ,     13399 ,    13737 ,    1934         ,
27 ,    1645 ,     q ,    0 ,     2838 ,     12552 ,    14241 ,    1994         ,
27 ,    1685 ,     q ,    0 ,     2928 ,     11483 ,    14691 ,    2035         ,
27 ,    1725 ,     q ,    0 ,     2972 ,     12014 ,    15054 ,    2203         ,
27 ,    1765 ,     q ,    0 ,     3032 ,     14904 ,    15102 ,    2187         ,
27 ,    1805 ,     q ,    0 ,     3158 ,     17763 ,    15195 ,    2231         ,
27 ,    1845 ,     q ,    0 ,     3206 ,     13983 ,    16113 ,    2266         ,
27 ,    1885 ,     q ,    0 ,     3240 ,     16602 ,    16245 ,    2343         ,
27 ,    1925 ,     q ,    0 ,     3344 ,     17290 ,    16329 ,    2368         ,
27 ,    1965 ,     q ,    0 ,     3438 ,     15780 ,    17076 ,    2412         ,
27 ,    2005 ,     q ,    0 ,     3474 ,     15899 ,    17613 ,    2459         ,
27 ,    2045 ,     q ,    0 ,     3496 ,     16362 ,    17970 ,    2536         ,
27 ,    2085 ,     q ,    0 ,     3602 ,     16678 ,    18246 ,    4370         ,
27 ,    2125 ,     q ,    0 ,     3686 ,     18572 ,    18540 ,    2651         ,
27 ,    2165 ,     q ,    0 ,     3722 ,     16217 ,    19224 ,    2675         ,
27 ,    2205 ,     q ,    0 ,     3768 ,     20363 ,    19407 ,    2812         ,
27 ,    2245 ,     q ,    0 ,     3910 ,     19383 ,    19773 ,    2840         ,
27 ,    2285 ,     q ,    0 ,     3920 ,     17599 ,    20442 ,    2973         ,
27 ,    2325 ,     q ,    0 ,     4022 ,     18770 ,    20814 ,    2958         ,
27 ,    2365 ,     q ,    0 ,     4086 ,     20753 ,    20760 ,    3000         ,
27 ,    2405 ,     q ,    0 ,     4158 ,     19520 ,    21603 ,    3163         ,
27 ,    2445 ,     q ,    0 ,     4192 ,     20606 ,    22188 ,    3140         ,
27 ,    2485 ,     q ,    0 ,     4258 ,     20142 ,    22356 ,    4837         ,
27 ,    2525 ,     q ,    0 ,     4352 ,     20724 ,    22587 ,    3158         ,
27 ,    2565 ,     q ,    0 ,     4436 ,     19955 ,    23286 ,    3378         ,
27 ,    2605 ,     q ,    0 ,     4456 ,     22908 ,    23055 ,    3287         ,
27 ,    2645 ,     q ,    0 ,     4578 ,     26743 ,    23331 ,    3486         ,
27 ,    2685 ,     q ,    0 ,     4644 ,     21484 ,    24519 ,    3423         ,
27 ,    2725 ,     q ,    0 ,     4746 ,     23670 ,    24759 ,    3510         ,
27 ,    2765 ,     q ,    0 ,     4810 ,     26153 ,    24783 ,    3679         ,
27 ,    2805 ,     q ,    0 ,     4814 ,     22811 ,    25710 ,    6678         ,
27 ,    2845 ,     q ,    0 ,     4890 ,     24638 ,    25875 ,    3774         ,
27 ,    2885 ,     q ,    0 ,     4998 ,     23454 ,    26541 ,    3686         ,
27 ,    2925 ,     q ,    0 ,     5048 ,     23391 ,    26907 ,    3763         ,
27 ,    2965 ,     q ,    0 ,     5068 ,     25305 ,    27108 ,    3779         ,
27 ,    3005 ,     q ,    0 ,     5174 ,     25321 ,    27735 ,    3849         ,
27 ,    3045 ,     q ,    0 ,     5222 ,     22441 ,    28455 ,    3868         ,
27 ,    3085 ,     q ,    0 ,     5296 ,     26368 ,    28416 ,    4128         ,
27 ,    3125 ,     q ,    0 ,     5438 ,     24686 ,    29088 ,    4035         ,
27 ,    3165 ,     q ,    0 ,     5488 ,     28290 ,    29382 ,    5844         ,
27 ,    3205 ,     q ,    0 ,     5518 ,     25856 ,    29709 ,    4132         ,
27 ,    3245 ,     q ,    0 ,     5564 ,     28715 ,    30249 ,    4402         ,
27 ,    3285 ,     q ,    0 ,     5652 ,     28681 ,    30408 ,    4326         ,
27 ,    3325 ,     q ,    0 ,     5770 ,     31344 ,    30750 ,    4475         ,
