SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     qi ,    0 ,     3 ,     11 ,    14 ,    4         ,
27 ,    45 ,     qi ,    0 ,     4 ,     491 ,    499 ,    34         ,
27 ,    85 ,     qi ,    0 ,     10 ,     973 ,    996 ,    69         ,
27 ,    125 ,     qi ,    0 ,     16 ,     1197 ,    1240 ,    95         ,
27 ,    165 ,     qi ,    0 ,     13 ,     1696 ,    1878 ,    133         ,
27 ,    205 ,     qi ,    0 ,     24 ,     2498 ,    2268 ,    177         ,
27 ,    245 ,     qi ,    0 ,     19 ,     3240 ,    3238 ,    369         ,
27 ,    285 ,     qi ,    0 ,     28 ,     3141 ,    3464 ,    257         ,
27 ,    325 ,     qi ,    0 ,     28 ,     3750 ,    4065 ,    296         ,
27 ,    365 ,     qi ,    0 ,     40 ,     4126 ,    4349 ,    335         ,
27 ,    405 ,     qi ,    0 ,     46 ,     4799 ,    4789 ,    378         ,
27 ,    445 ,     qi ,    0 ,     49 ,     5318 ,    5684 ,    429         ,
27 ,    485 ,     qi ,    0 ,     52 ,     6144 ,    6388 ,    480         ,
27 ,    525 ,     qi ,    0 ,     63 ,     6320 ,    6683 ,    511         ,
27 ,    565 ,     qi ,    0 ,     58 ,     6615 ,    7013 ,    569         ,
27 ,    605 ,     qi ,    0 ,     64 ,     6722 ,    7383 ,    2267         ,
27 ,    645 ,     qi ,    0 ,     79 ,     9395 ,    8252 ,    670         ,
27 ,    685 ,     qi ,    0 ,     82 ,     8303 ,    8751 ,    690         ,
27 ,    725 ,     qi ,    0 ,     90 ,     9572 ,    9471 ,    758         ,
27 ,    765 ,     qi ,    0 ,     82 ,     10016 ,    10245 ,    801         ,
27 ,    805 ,     qi ,    0 ,     100 ,     11320 ,    10991 ,    874         ,
27 ,    845 ,     qi ,    0 ,     97 ,     9755 ,    10759 ,    861         ,
27 ,    885 ,     qi ,    0 ,     127 ,     11264 ,    11058 ,    914         ,
27 ,    925 ,     qi ,    0 ,     91 ,     12166 ,    12789 ,    988         ,
27 ,    965 ,     qi ,    0 ,     118 ,     12719 ,    12164 ,    1015         ,
27 ,    1005 ,     qi ,    0 ,     117 ,     14371 ,    12757 ,    1069         ,
27 ,    1045 ,     qi ,    0 ,     111 ,     12939 ,    14025 ,    1212         ,
27 ,    1085 ,     qi ,    0 ,     111 ,     15972 ,    14420 ,    1188         ,
27 ,    1125 ,     qi ,    0 ,     133 ,     14660 ,    13779 ,    1172         ,
27 ,    1165 ,     qi ,    0 ,     129 ,     15618 ,    15826 ,    1262         ,
27 ,    1205 ,     qi ,    0 ,     126 ,     15430 ,    16697 ,    1322         ,
27 ,    1245 ,     qi ,    0 ,     145 ,     17350 ,    16030 ,    1460         ,
27 ,    1285 ,     qi ,    0 ,     154 ,     18349 ,    17884 ,    1438         ,
27 ,    1325 ,     qi ,    0 ,     151 ,     17395 ,    17239 ,    1415         ,
27 ,    1365 ,     qi ,    0 ,     167 ,     19041 ,    18654 ,    1517         ,
27 ,    1405 ,     qi ,    0 ,     136 ,     19977 ,    19889 ,    3229         ,
27 ,    1445 ,     qi ,    0 ,     168 ,     21306 ,    20420 ,    1672         ,
27 ,    1485 ,     qi ,    0 ,     159 ,     20561 ,    20584 ,    1660         ,
27 ,    1525 ,     qi ,    0 ,     154 ,     20851 ,    21356 ,    1711         ,
27 ,    1565 ,     qi ,    0 ,     174 ,     21999 ,    21599 ,    1736         ,
27 ,    1605 ,     qi ,    0 ,     203 ,     22447 ,    21319 ,    1778         ,
27 ,    1645 ,     qi ,    0 ,     169 ,     23291 ,    23449 ,    1872         ,
27 ,    1685 ,     qi ,    0 ,     178 ,     21380 ,    23042 ,    1972         ,
27 ,    1725 ,     qi ,    0 ,     182 ,     22495 ,    23921 ,    1950         ,
27 ,    1765 ,     qi ,    0 ,     190 ,     26706 ,    25563 ,    2083         ,
27 ,    1805 ,     qi ,    0 ,     216 ,     28332 ,    24187 ,    2073         ,
27 ,    1845 ,     qi ,    0 ,     208 ,     25641 ,    26050 ,    2223         ,
27 ,    1885 ,     qi ,    0 ,     193 ,     28982 ,    26941 ,    2210         ,
27 ,    1925 ,     qi ,    0 ,     201 ,     29446 ,    27280 ,    2228         ,
27 ,    1965 ,     qi ,    0 ,     217 ,     28266 ,    27901 ,    4361         ,
27 ,    2005 ,     qi ,    0 ,     217 ,     27902 ,    27870 ,    2291         ,
27 ,    2045 ,     qi ,    0 ,     244 ,     29151 ,    29159 ,    2518         ,
27 ,    2085 ,     qi ,    0 ,     231 ,     29794 ,    29640 ,    2461         ,
27 ,    2125 ,     qi ,    0 ,     229 ,     32092 ,    30417 ,    2486         ,
27 ,    2165 ,     qi ,    0 ,     246 ,     30026 ,    31030 ,    2900         ,
27 ,    2205 ,     qi ,    0 ,     247 ,     34243 ,    31012 ,    2643         ,
27 ,    2245 ,     qi ,    0 ,     256 ,     33564 ,    32068 ,    2684         ,
27 ,    2285 ,     qi ,    0 ,     237 ,     32349 ,    33163 ,    2814         ,
27 ,    2325 ,     qi ,    0 ,     271 ,     33171 ,    33319 ,    2777         ,
27 ,    2365 ,     qi ,    0 ,     280 ,     35643 ,    33493 ,    2912         ,
27 ,    2405 ,     qi ,    0 ,     258 ,     36080 ,    35629 ,    2929         ,
27 ,    2445 ,     qi ,    0 ,     274 ,     36243 ,    35325 ,    2966         ,
27 ,    2485 ,     qi ,    0 ,     279 ,     35644 ,    35511 ,    2979         ,
27 ,    2525 ,     qi ,    0 ,     268 ,     37368 ,    37047 ,    3004         ,
27 ,    2565 ,     qi ,    0 ,     279 ,     36563 ,    37483 ,    3171         ,
27 ,    2605 ,     qi ,    0 ,     279 ,     39155 ,    37302 ,    3073         ,
27 ,    2645 ,     qi ,    0 ,     300 ,     43575 ,    37965 ,    3475         ,
27 ,    2685 ,     qi ,    0 ,     284 ,     38982 ,    39783 ,    3257         ,
27 ,    2725 ,     qi ,    0 ,     326 ,     40835 ,    39382 ,    3318         ,
27 ,    2765 ,     qi ,    0 ,     305 ,     43286 ,    39426 ,    4946         ,
27 ,    2805 ,     qi ,    0 ,     320 ,     40117 ,    40542 ,    3527         ,
27 ,    2845 ,     qi ,    0 ,     359 ,     40881 ,    39422 ,    3409         ,
27 ,    2885 ,     qi ,    0 ,     322 ,     41337 ,    41753 ,    3481         ,
27 ,    2925 ,     qi ,    0 ,     340 ,     42055 ,    42817 ,    3556         ,
27 ,    2965 ,     qi ,    0 ,     372 ,     42044 ,    41145 ,    3523         ,
27 ,    3005 ,     qi ,    0 ,     345 ,     45118 ,    44558 ,    3663         ,
27 ,    3045 ,     qi ,    0 ,     348 ,     42214 ,    45198 ,    3674         ,
27 ,    3085 ,     qi ,    0 ,     372 ,     44155 ,    43381 ,    7755         ,
27 ,    3125 ,     qi ,    0 ,     345 ,     43843 ,    45548 ,    3934         ,
27 ,    3165 ,     qi ,    0 ,     367 ,     47166 ,    45520 ,    3910         ,
27 ,    3205 ,     qi ,    0 ,     354 ,     45689 ,    46785 ,    4009         ,
27 ,    3245 ,     qi ,    0 ,     391 ,     49663 ,    48426 ,    4059         ,
27 ,    3285 ,     qi ,    0 ,     371 ,     49691 ,    48733 ,    4229         ,
27 ,    3325 ,     qi ,    0 ,     408 ,     51931 ,    48248 ,    4130         ,
27 ,    3365 ,     qi ,    0 ,     415 ,     50996 ,    48486 ,    4146         ,
27 ,    3405 ,     qi ,    0 ,     370 ,     51595 ,    50008 ,    5821         ,
27 ,    3445 ,     qi ,    0 ,     403 ,     48534 ,    48907 ,    4166         ,
27 ,    3485 ,     qi ,    0 ,     403 ,     52240 ,    51542 ,    4648         ,
27 ,    3525 ,     qi ,    0 ,     408 ,     54532 ,    52313 ,    4372         ,
27 ,    3565 ,     qi ,    0 ,     451 ,     53942 ,    50076 ,    4463         ,
27 ,    3605 ,     qi ,    0 ,     422 ,     53938 ,    51968 ,    4461         ,
27 ,    3645 ,     qi ,    0 ,     434 ,     55793 ,    53368 ,    4556         ,
27 ,    3685 ,     qi ,    0 ,     420 ,     50413 ,    53703 ,    6169         ,
27 ,    3725 ,     qi ,    0 ,     417 ,     56497 ,    54288 ,    4548         ,
27 ,    3765 ,     qi ,    0 ,     406 ,     54958 ,    54713 ,    4727         ,
27 ,    3805 ,     qi ,    0 ,     419 ,     59184 ,    57117 ,    4920         ,
27 ,    3845 ,     qi ,    0 ,     445 ,     59263 ,    56650 ,    4820         ,
27 ,    3885 ,     qi ,    0 ,     427 ,     58930 ,    57639 ,    7775         ,
27 ,    3925 ,     qi ,    0 ,     408 ,     57481 ,    57952 ,    4966         ,
27 ,    3965 ,     qi ,    0 ,     473 ,     64634 ,    57473 ,    5000         ,
27 ,    4005 ,     qi ,    0 ,     464 ,     61007 ,    59234 ,    5174         ,
27 ,    4045 ,     qi ,    0 ,     468 ,     60785 ,    59774 ,    5116         ,
27 ,    4085 ,     qi ,    0 ,     456 ,     59515 ,    60464 ,    5099         ,
27 ,    4125 ,     qi ,    0 ,     469 ,     64048 ,    61033 ,    6545         ,
27 ,    4165 ,     qi ,    0 ,     473 ,     62598 ,    62618 ,    5348         ,
27 ,    4205 ,     qi ,    0 ,     497 ,     65416 ,    62937 ,    5392         ,
27 ,    4245 ,     qi ,    0 ,     473 ,     63501 ,    62830 ,    6918         ,
27 ,    4285 ,     qi ,    0 ,     482 ,     65591 ,    63886 ,    5503         ,
27 ,    4325 ,     qi ,    0 ,     504 ,     66164 ,    63529 ,    5567         ,
27 ,    4365 ,     qi ,    0 ,     510 ,     65649 ,    63602 ,    5507         ,
27 ,    4405 ,     qi ,    0 ,     492 ,     74724 ,    65594 ,    7451         ,
27 ,    4445 ,     qi ,    0 ,     484 ,     66765 ,    68468 ,    5774         ,
27 ,    4485 ,     qi ,    0 ,     490 ,     69173 ,    67191 ,    5823         ,
27 ,    4525 ,     qi ,    0 ,     499 ,     72974 ,    69342 ,    5915         ,
