SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     s ,    0 ,     1 ,     10 ,    9 ,    5         ,
27 ,    45 ,     s ,    0 ,     1 ,     990 ,    120 ,    48         ,
27 ,    85 ,     s ,    0 ,     1 ,     3570 ,    237 ,    146         ,
27 ,    125 ,     s ,    0 ,     1 ,     7750 ,    357 ,    298         ,
27 ,    165 ,     s ,    0 ,     1 ,     13530 ,    486 ,    505         ,
27 ,    205 ,     s ,    0 ,     1 ,     20910 ,    597 ,    755         ,
27 ,    245 ,     s ,    0 ,     1 ,     29890 ,    702 ,    1280         ,
27 ,    285 ,     s ,    0 ,     1 ,     40470 ,    834 ,    2324         ,
27 ,    325 ,     s ,    0 ,     1 ,     52650 ,    960 ,    1823         ,
27 ,    365 ,     s ,    0 ,     1 ,     66430 ,    1062 ,    2278         ,
27 ,    405 ,     s ,    0 ,     1 ,     81810 ,    1194 ,    7251         ,
27 ,    445 ,     s ,    0 ,     1 ,     98790 ,    1308 ,    6659         ,
27 ,    485 ,     s ,    0 ,     1 ,     117370 ,    1440 ,    3848         ,
27 ,    525 ,     s ,    0 ,     1 ,     137550 ,    1554 ,    4617         ,
27 ,    565 ,     s ,    0 ,     1 ,     159330 ,    1659 ,    5169         ,
27 ,    605 ,     s ,    0 ,     1 ,     182710 ,    1794 ,    6126         ,
27 ,    645 ,     s ,    0 ,     1 ,     207690 ,    1920 ,    7122         ,
27 ,    685 ,     s ,    0 ,     1 ,     234270 ,    2031 ,    8231         ,
27 ,    725 ,     s ,    0 ,     1 ,     262450 ,    2160 ,    9002         ,
27 ,    765 ,     s ,    0 ,     1 ,     292230 ,    2277 ,    10003         ,
27 ,    805 ,     s ,    0 ,     1 ,     323610 ,    2403 ,    10746         ,
27 ,    845 ,     s ,    0 ,     1 ,     356590 ,    2520 ,    11495         ,
27 ,    885 ,     s ,    0 ,     1 ,     391170 ,    2634 ,    14777         ,
27 ,    925 ,     s ,    0 ,     1 ,     427350 ,    2763 ,    13715         ,
27 ,    965 ,     s ,    0 ,     1 ,     465130 ,    2865 ,    16932         ,
27 ,    1005 ,     s ,    0 ,     1 ,     504510 ,    3006 ,    16698         ,
27 ,    1045 ,     s ,    0 ,     1 ,     545490 ,    3114 ,    34970         ,
27 ,    1085 ,     s ,    0 ,     1 ,     588070 ,    3225 ,    18750         ,
27 ,    1125 ,     s ,    0 ,     1 ,     632250 ,    3351 ,    22844         ,
27 ,    1165 ,     s ,    0 ,     1 ,     678030 ,    3471 ,    24071         ,
27 ,    1205 ,     s ,    0 ,     1 ,     725410 ,    3597 ,    23293         ,
27 ,    1245 ,     s ,    0 ,     1 ,     774390 ,    3702 ,    26204         ,
27 ,    1285 ,     s ,    0 ,     1 ,     824970 ,    3828 ,    31039         ,
27 ,    1325 ,     s ,    0 ,     1 ,     877150 ,    3933 ,    27900         ,
27 ,    1365 ,     s ,    0 ,     1 ,     930930 ,    4083 ,    31807         ,
27 ,    1405 ,     s ,    0 ,     1 ,     986310 ,    4200 ,    33226         ,
27 ,    1445 ,     s ,    0 ,     1 ,     1043290 ,    4323 ,    81937         ,
27 ,    1485 ,     s ,    0 ,     1 ,     1101870 ,    4434 ,    53325         ,
27 ,    1525 ,     s ,    0 ,     1 ,     1162050 ,    4539 ,    91802         ,
27 ,    1565 ,     s ,    0 ,     1 ,     1223830 ,    4680 ,    124016         ,
27 ,    1605 ,     s ,    0 ,     1 ,     1287210 ,    4794 ,    118677         ,
27 ,    1645 ,     s ,    0 ,     1 ,     1352190 ,    4920 ,    44279         ,
27 ,    1685 ,     s ,    0 ,     1 ,     1418770 ,    5037 ,    45132         ,
27 ,    1725 ,     s ,    0 ,     1 ,     1486950 ,    5145 ,    54749         ,
27 ,    1765 ,     s ,    0 ,     1 ,     1556730 ,    5271 ,    51268         ,
27 ,    1805 ,     s ,    0 ,     1 ,     1628110 ,    5391 ,    87426         ,
