SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     b ,    0 ,     1 ,     17 ,    21 ,    7         ,
27 ,    45 ,     b ,    0 ,     1 ,     1466 ,    1428 ,    161         ,
27 ,    85 ,     b ,    0 ,     1 ,     5399 ,    5487 ,    560         ,
27 ,    125 ,     b ,    0 ,     1 ,     11578 ,    11484 ,    1164         ,
27 ,    165 ,     b ,    0 ,     1 ,     20304 ,    20322 ,    2036         ,
27 ,    205 ,     b ,    0 ,     1 ,     31415 ,    31515 ,    3168         ,
27 ,    245 ,     b ,    0 ,     1 ,     45193 ,    45909 ,    4712         ,
27 ,    285 ,     b ,    0 ,     1 ,     60439 ,    59907 ,    6170         ,
27 ,    325 ,     b ,    0 ,     1 ,     79773 ,    81369 ,    8748         ,
27 ,    365 ,     b ,    0 ,     1 ,     100972 ,    103626 ,    10356         ,
27 ,    405 ,     b ,    0 ,     1 ,     124889 ,    129237 ,    12814         ,
27 ,    445 ,     b ,    0 ,     1 ,     150458 ,    155004 ,    15330         ,
27 ,    485 ,     b ,    0 ,     1 ,     179454 ,    186252 ,    18445         ,
27 ,    525 ,     b ,    0 ,     1 ,     208614 ,    213192 ,    21376         ,
27 ,    565 ,     b ,    0 ,     1 ,     239368 ,    240114 ,    24357         ,
27 ,    605 ,     b ,    0 ,     1 ,     275777 ,    279201 ,    28209         ,
27 ,    645 ,     b ,    0 ,     1 ,     312920 ,    315690 ,    32160         ,
27 ,    685 ,     b ,    0 ,     1 ,     352595 ,    354975 ,    36193         ,
27 ,    725 ,     b ,    0 ,     1 ,     394994 ,    397632 ,    40558         ,
27 ,    765 ,     b ,    0 ,     1 ,     439283 ,    441159 ,    47361         ,
27 ,    805 ,     b ,    0 ,     1 ,     487822 ,    492636 ,    50156         ,
27 ,    845 ,     b ,    0 ,     1 ,     539401 ,    548433 ,    57650         ,
27 ,    885 ,     b ,    0 ,     1 ,     591320 ,    600450 ,    63687         ,
27 ,    925 ,     b ,    0 ,     1 ,     643611 ,    648783 ,    66376         ,
27 ,    965 ,     b ,    0 ,     1 ,     704212 ,    717246 ,    75079         ,
27 ,    1005 ,     b ,    0 ,     1 ,     764138 ,    778884 ,    81081         ,
27 ,    1045 ,     b ,    0 ,     1 ,     824266 ,    836328 ,    88007         ,
27 ,    1085 ,     b ,    0 ,     1 ,     883549 ,    886437 ,    93603         ,
27 ,    1125 ,     b ,    0 ,     1 ,     948661 ,    949233 ,    99932         ,
27 ,    1165 ,     b ,    0 ,     1 ,     1015811 ,    1013343 ,    107187         ,
27 ,    1205 ,     b ,    0 ,     1 ,     1087417 ,    1086021 ,    115532         ,
27 ,    1245 ,     b ,    0 ,     1 ,     1162931 ,    1165623 ,    122770         ,
27 ,    1285 ,     b ,    0 ,     1 ,     1238384 ,    1240242 ,    131491         ,
27 ,    1325 ,     b ,    0 ,     1 ,     1318552 ,    1324206 ,    138409         ,
27 ,    1365 ,     b ,    0 ,     1 ,     1402017 ,    1413261 ,    148683         ,
27 ,    1405 ,     b ,    0 ,     1 ,     1481319 ,    1485027 ,    156855         ,
27 ,    1445 ,     b ,    0 ,     1 ,     1562991 ,    1559103 ,    163677         ,
27 ,    1485 ,     b ,    0 ,     1 ,     1651660 ,    1649370 ,    172881         ,
27 ,    1525 ,     b ,    0 ,     1 ,     1740505 ,    1735365 ,    184417         ,
27 ,    1565 ,     b ,    0 ,     1 ,     1838435 ,    1843815 ,    193481         ,
27 ,    1605 ,     b ,    0 ,     1 ,     1933407 ,    1938591 ,    210039         ,
27 ,    1645 ,     b ,    0 ,     1 ,     2034661 ,    2047413 ,    215099         ,
27 ,    1685 ,     b ,    0 ,     1 ,     2133512 ,    2144226 ,    229937         ,
27 ,    1725 ,     b ,    0 ,     1 ,     2234206 ,    2241768 ,    239120         ,
27 ,    1765 ,     b ,    0 ,     1 ,     2337771 ,    2343123 ,    247069         ,
27 ,    1805 ,     b ,    0 ,     1 ,     2444285 ,    2448525 ,    257912         ,
27 ,    1845 ,     b ,    0 ,     1 ,     2555727 ,    2563911 ,    269991         ,
27 ,    1885 ,     b ,    0 ,     1 ,     2671623 ,    2687859 ,    288914         ,
27 ,    1925 ,     b ,    0 ,     1 ,     2785642 ,    2801376 ,    301563         ,
27 ,    1965 ,     b ,    0 ,     1 ,     2900477 ,    2912541 ,    307464         ,
27 ,    2005 ,     b ,    0 ,     1 ,     3021449 ,    3037317 ,    332628         ,
27 ,    2045 ,     b ,    0 ,     1 ,     3147402 ,    3172236 ,    339995         ,
27 ,    2085 ,     b ,    0 ,     1 ,     3266315 ,    3281235 ,    350669         ,
27 ,    2125 ,     b ,    0 ,     1 ,     3387621 ,    3392613 ,    367748         ,
27 ,    2165 ,     b ,    0 ,     1 ,     3513005 ,    3511425 ,    382586         ,
27 ,    2205 ,     b ,    0 ,     1 ,     3642592 ,    3638046 ,    395741         ,
27 ,    2245 ,     b ,    0 ,     1 ,     3769109 ,    3750657 ,    402227         ,
27 ,    2285 ,     b ,    0 ,     1 ,     3900013 ,    3871629 ,    422107         ,
27 ,    2325 ,     b ,    0 ,     1 ,     4037760 ,    4008330 ,    442708         ,
27 ,    2365 ,     b ,    0 ,     1 ,     4177381 ,    4145853 ,    447794         ,
27 ,    2405 ,     b ,    0 ,     1 ,     4323062 ,    4296756 ,    462416         ,
27 ,    2445 ,     b ,    0 ,     1 ,     4468256 ,    4441398 ,    480569         ,
27 ,    2485 ,     b ,    0 ,     1 ,     4619684 ,    4599942 ,    493604         ,
27 ,    2525 ,     b ,    0 ,     1 ,     4773649 ,    4761297 ,    517536         ,
27 ,    2565 ,     b ,    0 ,     1 ,     4926942 ,    4915836 ,    527457         ,
27 ,    2605 ,     b ,    0 ,     1 ,     5082545 ,    5072505 ,    543522         ,
27 ,    2645 ,     b ,    0 ,     1 ,     5242029 ,    5236017 ,    565078         ,
27 ,    2685 ,     b ,    0 ,     1 ,     5399730 ,    5389380 ,    577688         ,
27 ,    2725 ,     b ,    0 ,     1 ,     5561070 ,    5548860 ,    599956         ,
