SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     bk ,    0 ,     0 ,     5 ,    0 ,    4         ,
27 ,    45 ,     bk ,    0 ,     0 ,     45 ,    0 ,    18         ,
27 ,    85 ,     bk ,    0 ,     0 ,     85 ,    0 ,    29         ,
27 ,    125 ,     bk ,    0 ,     0 ,     125 ,    0 ,    40         ,
27 ,    165 ,     bk ,    0 ,     0 ,     165 ,    0 ,    51         ,
27 ,    205 ,     bk ,    0 ,     0 ,     205 ,    0 ,    60         ,
27 ,    245 ,     bk ,    0 ,     0 ,     245 ,    0 ,    71         ,
27 ,    285 ,     bk ,    0 ,     0 ,     285 ,    0 ,    1917         ,
27 ,    325 ,     bk ,    0 ,     0 ,     325 ,    0 ,    3234         ,
27 ,    365 ,     bk ,    0 ,     0 ,     365 ,    0 ,    2965         ,
27 ,    405 ,     bk ,    0 ,     0 ,     405 ,    0 ,    3406         ,
27 ,    445 ,     bk ,    0 ,     0 ,     445 ,    0 ,    3308         ,
27 ,    485 ,     bk ,    0 ,     0 ,     485 ,    0 ,    4857         ,
27 ,    525 ,     bk ,    0 ,     0 ,     525 ,    0 ,    3273         ,
27 ,    565 ,     bk ,    0 ,     0 ,     565 ,    0 ,    3295         ,
27 ,    605 ,     bk ,    0 ,     0 ,     605 ,    0 ,    3403         ,
27 ,    645 ,     bk ,    0 ,     0 ,     645 ,    0 ,    3320         ,
27 ,    685 ,     bk ,    0 ,     0 ,     685 ,    0 ,    3420         ,
27 ,    725 ,     bk ,    0 ,     0 ,     725 ,    0 ,    3279         ,
27 ,    765 ,     bk ,    0 ,     0 ,     765 ,    0 ,    3382         ,
27 ,    805 ,     bk ,    0 ,     0 ,     805 ,    0 ,    3446         ,
27 ,    845 ,     bk ,    0 ,     0 ,     845 ,    0 ,    3171         ,
27 ,    885 ,     bk ,    0 ,     0 ,     885 ,    0 ,    3442         ,
27 ,    925 ,     bk ,    0 ,     0 ,     925 ,    0 ,    3499         ,
27 ,    965 ,     bk ,    0 ,     0 ,     965 ,    0 ,    3211         ,
27 ,    1005 ,     bk ,    0 ,     0 ,     1005 ,    0 ,    3466         ,
27 ,    1045 ,     bk ,    0 ,     0 ,     1045 ,    0 ,    3421         ,
27 ,    1085 ,     bk ,    0 ,     0 ,     1085 ,    0 ,    3226         ,
27 ,    1125 ,     bk ,    0 ,     0 ,     1125 ,    0 ,    3632         ,
27 ,    1165 ,     bk ,    0 ,     0 ,     1165 ,    0 ,    3462         ,
27 ,    1205 ,     bk ,    0 ,     0 ,     1205 ,    0 ,    3385         ,
27 ,    1245 ,     bk ,    0 ,     0 ,     1245 ,    0 ,    3674         ,
27 ,    1285 ,     bk ,    0 ,     0 ,     1285 ,    0 ,    3468         ,
27 ,    1325 ,     bk ,    0 ,     0 ,     1325 ,    0 ,    3354         ,
27 ,    1365 ,     bk ,    0 ,     0 ,     1365 ,    0 ,    3621         ,
27 ,    1405 ,     bk ,    0 ,     0 ,     1405 ,    0 ,    3774         ,
27 ,    1445 ,     bk ,    0 ,     0 ,     1445 ,    0 ,    4017         ,
27 ,    1485 ,     bk ,    0 ,     0 ,     1485 ,    0 ,    3673         ,
27 ,    1525 ,     bk ,    0 ,     0 ,     1525 ,    0 ,    3427         ,
27 ,    1565 ,     bk ,    0 ,     0 ,     1565 ,    0 ,    3574         ,
27 ,    1605 ,     bk ,    0 ,     0 ,     1605 ,    0 ,    3586         ,
27 ,    1645 ,     bk ,    0 ,     0 ,     1645 ,    0 ,    3404         ,
27 ,    1685 ,     bk ,    0 ,     0 ,     1685 ,    0 ,    3691         ,
27 ,    1725 ,     bk ,    0 ,     0 ,     1725 ,    0 ,    3603         ,
27 ,    1765 ,     bk ,    0 ,     0 ,     1765 ,    0 ,    3519         ,
27 ,    1805 ,     bk ,    0 ,     0 ,     1805 ,    0 ,    3901         ,
27 ,    1845 ,     bk ,    0 ,     0 ,     1845 ,    0 ,    3727         ,
27 ,    1885 ,     bk ,    0 ,     0 ,     1885 ,    0 ,    3504         ,
27 ,    1925 ,     bk ,    0 ,     0 ,     1925 ,    0 ,    3766         ,
27 ,    1965 ,     bk ,    0 ,     0 ,     1965 ,    0 ,    3723         ,
27 ,    2005 ,     bk ,    0 ,     0 ,     2005 ,    0 ,    3531         ,
27 ,    2045 ,     bk ,    0 ,     0 ,     2045 ,    0 ,    3688         ,
27 ,    2085 ,     bk ,    0 ,     0 ,     2085 ,    0 ,    3775         ,
27 ,    2125 ,     bk ,    0 ,     0 ,     2125 ,    0 ,    3541         ,
27 ,    2165 ,     bk ,    0 ,     0 ,     2165 ,    0 ,    3736         ,
27 ,    2205 ,     bk ,    0 ,     0 ,     2205 ,    0 ,    3889         ,
27 ,    2245 ,     bk ,    0 ,     0 ,     2245 ,    0 ,    3580         ,
27 ,    2285 ,     bk ,    0 ,     0 ,     2285 ,    0 ,    3793         ,
27 ,    2325 ,     bk ,    0 ,     0 ,     2325 ,    0 ,    3823         ,
27 ,    2365 ,     bk ,    0 ,     0 ,     2365 ,    0 ,    3608         ,
27 ,    2405 ,     bk ,    0 ,     0 ,     2405 ,    0 ,    3856         ,
27 ,    2445 ,     bk ,    0 ,     0 ,     2445 ,    0 ,    3839         ,
27 ,    2485 ,     bk ,    0 ,     0 ,     2485 ,    0 ,    6201         ,
27 ,    2525 ,     bk ,    0 ,     0 ,     2525 ,    0 ,    3971         ,
27 ,    2565 ,     bk ,    0 ,     0 ,     2565 ,    0 ,    4035         ,
27 ,    2605 ,     bk ,    0 ,     0 ,     2605 ,    0 ,    3875         ,
27 ,    2645 ,     bk ,    0 ,     0 ,     2645 ,    0 ,    4220         ,
27 ,    2685 ,     bk ,    0 ,     0 ,     2685 ,    0 ,    4050         ,
27 ,    2725 ,     bk ,    0 ,     0 ,     2725 ,    0 ,    3752         ,
27 ,    2765 ,     bk ,    0 ,     0 ,     2765 ,    0 ,    4237         ,
27 ,    2805 ,     bk ,    0 ,     0 ,     2805 ,    0 ,    3936         ,
27 ,    2845 ,     bk ,    0 ,     0 ,     2845 ,    0 ,    3946         ,
27 ,    2885 ,     bk ,    0 ,     0 ,     2885 ,    0 ,    4119         ,
27 ,    2925 ,     bk ,    0 ,     0 ,     2925 ,    0 ,    3990         ,
27 ,    2965 ,     bk ,    0 ,     0 ,     2965 ,    0 ,    3959         ,
27 ,    3005 ,     bk ,    0 ,     0 ,     3005 ,    0 ,    4115         ,
27 ,    3045 ,     bk ,    0 ,     0 ,     3045 ,    0 ,    4023         ,
27 ,    3085 ,     bk ,    0 ,     0 ,     3085 ,    0 ,    3808         ,
27 ,    3125 ,     bk ,    0 ,     0 ,     3125 ,    0 ,    4314         ,
27 ,    3165 ,     bk ,    0 ,     0 ,     3165 ,    0 ,    4154         ,
27 ,    3205 ,     bk ,    0 ,     0 ,     3205 ,    0 ,    3873         ,
27 ,    3245 ,     bk ,    0 ,     0 ,     3245 ,    0 ,    4105         ,
27 ,    3285 ,     bk ,    0 ,     0 ,     3285 ,    0 ,    4105         ,
27 ,    3325 ,     bk ,    0 ,     0 ,     3325 ,    0 ,    3955         ,
27 ,    3365 ,     bk ,    0 ,     0 ,     3365 ,    0 ,    4205         ,
27 ,    3405 ,     bk ,    0 ,     0 ,     3405 ,    0 ,    4227         ,
27 ,    3445 ,     bk ,    0 ,     0 ,     3445 ,    0 ,    3960         ,
27 ,    3485 ,     bk ,    0 ,     0 ,     3485 ,    0 ,    4151         ,
27 ,    3525 ,     bk ,    0 ,     0 ,     3525 ,    0 ,    4163         ,
27 ,    3565 ,     bk ,    0 ,     0 ,     3565 ,    0 ,    4007         ,
27 ,    3605 ,     bk ,    0 ,     0 ,     3605 ,    0 ,    4187         ,
