SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     h ,    0 ,     1 ,     11 ,    18 ,    4         ,
27 ,    45 ,     h ,    0 ,     1 ,     266 ,    450 ,    50         ,
27 ,    85 ,     h ,    0 ,     1 ,     712 ,    1141 ,    136         ,
27 ,    125 ,     h ,    0 ,     1 ,     1072 ,    1703 ,    201         ,
27 ,    165 ,     h ,    0 ,     1 ,     1723 ,    2717 ,    301         ,
27 ,    205 ,     h ,    0 ,     1 ,     2106 ,    3341 ,    383         ,
27 ,    245 ,     h ,    0 ,     1 ,     2584 ,    4060 ,    462         ,
27 ,    285 ,     h ,    0 ,     1 ,     3348 ,    5348 ,    593         ,
27 ,    325 ,     h ,    0 ,     1 ,     4210 ,    6489 ,    740         ,
27 ,    365 ,     h ,    0 ,     1 ,     4428 ,    6989 ,    784         ,
27 ,    405 ,     h ,    0 ,     1 ,     5090 ,    7930 ,    890         ,
27 ,    445 ,     h ,    0 ,     1 ,     5688 ,    8810 ,    1121         ,
27 ,    485 ,     h ,    0 ,     1 ,     6217 ,    9618 ,    1102         ,
27 ,    525 ,     h ,    0 ,     1 ,     8596 ,    12800 ,    1554         ,
27 ,    565 ,     h ,    0 ,     1 ,     8429 ,    12954 ,    1429         ,
27 ,    605 ,     h ,    0 ,     1 ,     8738 ,    13584 ,    1533         ,
27 ,    645 ,     h ,    0 ,     1 ,     10398 ,    15562 ,    1733         ,
27 ,    685 ,     h ,    0 ,     1 ,     10099 ,    15585 ,    1777         ,
27 ,    725 ,     h ,    0 ,     1 ,     10183 ,    15989 ,    1775         ,
27 ,    765 ,     h ,    0 ,     1 ,     11013 ,    17141 ,    2090         ,
27 ,    805 ,     h ,    0 ,     1 ,     12468 ,    18913 ,    2151         ,
27 ,    845 ,     h ,    0 ,     1 ,     13302 ,    20068 ,    2295         ,
27 ,    885 ,     h ,    0 ,     1 ,     12931 ,    20018 ,    2356         ,
27 ,    925 ,     h ,    0 ,     1 ,     14283 ,    21690 ,    2428         ,
27 ,    965 ,     h ,    0 ,     1 ,     15288 ,    23014 ,    2625         ,
27 ,    1005 ,     h ,    0 ,     1 ,     16200 ,    24248 ,    2860         ,
27 ,    1045 ,     h ,    0 ,     1 ,     18734 ,    28143 ,    3254         ,
27 ,    1085 ,     h ,    0 ,     1 ,     17919 ,    27690 ,    3185         ,
27 ,    1125 ,     h ,    0 ,     1 ,     18816 ,    28946 ,    3435         ,
27 ,    1165 ,     h ,    0 ,     1 ,     19764 ,    30254 ,    3732         ,
27 ,    1205 ,     h ,    0 ,     1 ,     20480 ,    31331 ,    3660         ,
27 ,    1245 ,     h ,    0 ,     1 ,     19891 ,    31103 ,    3622         ,
27 ,    1285 ,     h ,    0 ,     1 ,     26917 ,    38486 ,    4498         ,
27 ,    1325 ,     h ,    0 ,     1 ,     22406 ,    34337 ,    3996         ,
27 ,    1365 ,     h ,    0 ,     1 ,     22902 ,    35193 ,    4126         ,
27 ,    1405 ,     h ,    0 ,     1 ,     23522 ,    36175 ,    4091         ,
27 ,    1445 ,     h ,    0 ,     1 ,     23810 ,    36821 ,    4170         ,
27 ,    1485 ,     h ,    0 ,     1 ,     26960 ,    40332 ,    4526         ,
27 ,    1525 ,     h ,    0 ,     1 ,     25295 ,    39028 ,    4648         ,
27 ,    1565 ,     h ,    0 ,     1 ,     31131 ,    45222 ,    5120         ,
27 ,    1605 ,     h ,    0 ,     1 ,     29590 ,    44040 ,    5008         ,
27 ,    1645 ,     h ,    0 ,     1 ,     29837 ,    44649 ,    5065         ,
27 ,    1685 ,     h ,    0 ,     1 ,     29578 ,    44749 ,    5403         ,
27 ,    1725 ,     h ,    0 ,     1 ,     30087 ,    45620 ,    5188         ,
27 ,    1765 ,     h ,    0 ,     1 ,     31313 ,    47205 ,    5519         ,
27 ,    1805 ,     h ,    0 ,     1 ,     37312 ,    53563 ,    6191         ,
27 ,    1845 ,     h ,    0 ,     1 ,     33170 ,    49782 ,    5914         ,
27 ,    1885 ,     h ,    0 ,     1 ,     32619 ,    49592 ,    5603         ,
27 ,    1925 ,     h ,    0 ,     1 ,     37020 ,    54351 ,    6309         ,
27 ,    1965 ,     h ,    0 ,     1 ,     35678 ,    53371 ,    6038         ,
27 ,    2005 ,     h ,    0 ,     1 ,     36878 ,    54931 ,    6300         ,
27 ,    2045 ,     h ,    0 ,     1 ,     37744 ,    56159 ,    6610         ,
27 ,    2085 ,     h ,    0 ,     1 ,     44361 ,    65215 ,    7632         ,
27 ,    2125 ,     h ,    0 ,     1 ,     41294 ,    62549 ,    7051         ,
27 ,    2165 ,     h ,    0 ,     1 ,     41187 ,    62843 ,    7164         ,
27 ,    2205 ,     h ,    0 ,     1 ,     41418 ,    63474 ,    7256         ,
27 ,    2245 ,     h ,    0 ,     1 ,     43128 ,    65583 ,    7486         ,
27 ,    2285 ,     h ,    0 ,     1 ,     42876 ,    65733 ,    7516         ,
27 ,    2325 ,     h ,    0 ,     1 ,     46514 ,    69769 ,    7930         ,
27 ,    2365 ,     h ,    0 ,     1 ,     46913 ,    70570 ,    8139         ,
27 ,    2405 ,     h ,    0 ,     1 ,     46030 ,    70086 ,    8102         ,
27 ,    2445 ,     h ,    0 ,     1 ,     49391 ,    73847 ,    8535         ,
27 ,    2485 ,     h ,    0 ,     1 ,     47582 ,    72439 ,    8424         ,
27 ,    2525 ,     h ,    0 ,     1 ,     47120 ,    72378 ,    8367         ,
27 ,    2565 ,     h ,    0 ,     1 ,     68832 ,    94486 ,    11089         ,
