SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     i ,    0 ,     1 ,     11 ,    15 ,    6         ,
27 ,    45 ,     i ,    0 ,     1 ,     520 ,    564 ,    63         ,
27 ,    85 ,     i ,    0 ,     1 ,     1913 ,    1997 ,    212         ,
27 ,    125 ,     i ,    0 ,     1 ,     3952 ,    4076 ,    424         ,
27 ,    165 ,     i ,    0 ,     1 ,     6938 ,    7102 ,    747         ,
27 ,    205 ,     i ,    0 ,     1 ,     10709 ,    10913 ,    1253         ,
27 ,    245 ,     i ,    0 ,     1 ,     15547 ,    15791 ,    2828         ,
27 ,    285 ,     i ,    0 ,     1 ,     20253 ,    20537 ,    3343         ,
27 ,    325 ,     i ,    0 ,     1 ,     27447 ,    27771 ,    3016         ,
27 ,    365 ,     i ,    0 ,     1 ,     34906 ,    35270 ,    5279         ,
27 ,    405 ,     i ,    0 ,     1 ,     43483 ,    43887 ,    5716         ,
27 ,    445 ,     i ,    0 ,     1 ,     52112 ,    52556 ,    11316         ,
27 ,    485 ,     i ,    0 ,     1 ,     62568 ,    63052 ,    20974         ,
27 ,    525 ,     i ,    0 ,     1 ,     71588 ,    72112 ,    7575         ,
27 ,    565 ,     i ,    0 ,     1 ,     80602 ,    81166 ,    8490         ,
27 ,    605 ,     i ,    0 ,     1 ,     93671 ,    94275 ,    9962         ,
27 ,    645 ,     i ,    0 ,     1 ,     105874 ,    106518 ,    11256         ,
27 ,    685 ,     i ,    0 ,     1 ,     119009 ,    119693 ,    12641         ,
27 ,    725 ,     i ,    0 ,     1 ,     133268 ,    133992 ,    16217         ,
27 ,    765 ,     i ,    0 ,     1 ,     147817 ,    148581 ,    15779         ,
27 ,    805 ,     i ,    0 ,     1 ,     165016 ,    165820 ,    29820         ,
27 ,    845 ,     i ,    0 ,     1 ,     183655 ,    184499 ,    26026         ,
27 ,    885 ,     i ,    0 ,     1 ,     201034 ,    201918 ,    29947         ,
27 ,    925 ,     i ,    0 ,     1 ,     217185 ,    218109 ,    23183         ,
27 ,    965 ,     i ,    0 ,     1 ,     240046 ,    241010 ,    30026         ,
27 ,    1005 ,     i ,    0 ,     1 ,     260632 ,    261636 ,    30674         ,
27 ,    1045 ,     i ,    0 ,     1 ,     279820 ,    280864 ,    46160         ,
27 ,    1085 ,     i ,    0 ,     1 ,     296563 ,    297647 ,    47014         ,
27 ,    1125 ,     i ,    0 ,     1 ,     317535 ,    318659 ,    57370         ,
27 ,    1165 ,     i ,    0 ,     1 ,     338945 ,    340109 ,    56700         ,
27 ,    1205 ,     i ,    0 ,     1 ,     363211 ,    364415 ,    68488         ,
27 ,    1245 ,     i ,    0 ,     1 ,     389785 ,    391029 ,    46355         ,
27 ,    1285 ,     i ,    0 ,     1 ,     414698 ,    415982 ,    95253         ,
27 ,    1325 ,     i ,    0 ,     1 ,     442726 ,    444050 ,    62722         ,
27 ,    1365 ,     i ,    0 ,     1 ,     472451 ,    473815 ,    59819         ,
27 ,    1405 ,     i ,    0 ,     1 ,     496413 ,    497817 ,    55749         ,
27 ,    1445 ,     i ,    0 ,     1 ,     521145 ,    522589 ,    60891         ,
27 ,    1485 ,     i ,    0 ,     1 ,     551274 ,    552758 ,    59068         ,
27 ,    1525 ,     i ,    0 ,     1 ,     579979 ,    581503 ,    62273         ,
27 ,    1565 ,     i ,    0 ,     1 ,     616169 ,    617733 ,    82331         ,
27 ,    1605 ,     i ,    0 ,     1 ,     647801 ,    649405 ,    112139         ,
27 ,    1645 ,     i ,    0 ,     1 ,     684115 ,    685759 ,    133760         ,
27 ,    1685 ,     i ,    0 ,     1 ,     716426 ,    718110 ,    80959         ,
27 ,    1725 ,     i ,    0 ,     1 ,     748980 ,    750704 ,    160697         ,
27 ,    1765 ,     i ,    0 ,     1 ,     782805 ,    784569 ,    91898         ,
27 ,    1805 ,     i ,    0 ,     1 ,     817979 ,    819783 ,    91523         ,
27 ,    1845 ,     i ,    0 ,     1 ,     856481 ,    858325 ,    101430         ,
27 ,    1885 ,     i ,    0 ,     1 ,     897837 ,    899721 ,    117211         ,
27 ,    1925 ,     i ,    0 ,     1 ,     935716 ,    937640 ,    118258         ,
27 ,    1965 ,     i ,    0 ,     1 ,     972811 ,    974775 ,    162816         ,
27 ,    2005 ,     i ,    0 ,     1 ,     1014443 ,    1016447 ,    245747         ,
27 ,    2045 ,     i ,    0 ,     1 ,     1059456 ,    1061500 ,    408791         ,
27 ,    2085 ,     i ,    0 ,     1 ,     1095829 ,    1097913 ,    208828         ,
27 ,    2125 ,     i ,    0 ,     1 ,     1132995 ,    1135119 ,    128124         ,
27 ,    2165 ,     i ,    0 ,     1 ,     1172639 ,    1174803 ,    143539         ,
27 ,    2205 ,     i ,    0 ,     1 ,     1214886 ,    1217090 ,    141468         ,
27 ,    2245 ,     i ,    0 ,     1 ,     1252463 ,    1254707 ,    147587         ,
27 ,    2285 ,     i ,    0 ,     1 ,     1292827 ,    1295111 ,    223270         ,
27 ,    2325 ,     i ,    0 ,     1 ,     1338434 ,    1340758 ,    195538         ,
27 ,    2365 ,     i ,    0 ,     1 ,     1384315 ,    1386679 ,    169528         ,
27 ,    2405 ,     i ,    0 ,     1 ,     1434656 ,    1437060 ,    168820         ,
27 ,    2445 ,     i ,    0 ,     1 ,     1482910 ,    1485354 ,    191548         ,
27 ,    2485 ,     i ,    0 ,     1 ,     1535798 ,    1538282 ,    182215         ,
27 ,    2525 ,     i ,    0 ,     1 ,     1589623 ,    1592147 ,    236956         ,
27 ,    2565 ,     i ,    0 ,     1 ,     1641176 ,    1643740 ,    195324         ,
27 ,    2605 ,     i ,    0 ,     1 ,     1693439 ,    1696043 ,    194859         ,
27 ,    2645 ,     i ,    0 ,     1 ,     1747983 ,    1750627 ,    215016         ,
27 ,    2685 ,     i ,    0 ,     1 ,     1799144 ,    1801828 ,    212526         ,
27 ,    2725 ,     i ,    0 ,     1 ,     1852344 ,    1855068 ,    210041         ,
27 ,    2765 ,     i ,    0 ,     1 ,     1901627 ,    1904391 ,    251891         ,
27 ,    2805 ,     i ,    0 ,     1 ,     1951753 ,    1954557 ,    226400         ,
27 ,    2845 ,     i ,    0 ,     1 ,     2010060 ,    2012904 ,    250849         ,
27 ,    2885 ,     i ,    0 ,     1 ,     2064463 ,    2067347 ,    248496         ,
27 ,    2925 ,     i ,    0 ,     1 ,     2124426 ,    2127350 ,    247096         ,
27 ,    2965 ,     i ,    0 ,     1 ,     2191397 ,    2194361 ,    274851         ,
27 ,    3005 ,     i ,    0 ,     1 ,     2253090 ,    2256094 ,    250689         ,
27 ,    3045 ,     i ,    0 ,     1 ,     2301722 ,    2304766 ,    251752         ,
27 ,    3085 ,     i ,    0 ,     1 ,     2354455 ,    2357539 ,    324394         ,
27 ,    3125 ,     i ,    0 ,     1 ,     2410655 ,    2413779 ,    287604         ,
