SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     m ,    0 ,     13 ,     6 ,    0 ,    9         ,
27 ,    45 ,     m ,    0 ,     133 ,     189 ,    0 ,    75         ,
27 ,    85 ,     m ,    0 ,     253 ,     443 ,    0 ,    151         ,
27 ,    125 ,     m ,    0 ,     373 ,     716 ,    0 ,    233         ,
27 ,    165 ,     m ,    0 ,     493 ,     1004 ,    0 ,    323         ,
27 ,    205 ,     m ,    0 ,     613 ,     1316 ,    0 ,    638         ,
27 ,    245 ,     m ,    0 ,     733 ,     1627 ,    0 ,    501         ,
27 ,    285 ,     m ,    0 ,     853 ,     1967 ,    0 ,    589         ,
27 ,    325 ,     m ,    0 ,     973 ,     2303 ,    0 ,    694         ,
27 ,    365 ,     m ,    0 ,     1093 ,     2636 ,    0 ,    784         ,
27 ,    405 ,     m ,    0 ,     1213 ,     3000 ,    0 ,    877         ,
27 ,    445 ,     m ,    0 ,     1333 ,     3355 ,    0 ,    973         ,
27 ,    485 ,     m ,    0 ,     1453 ,     3713 ,    0 ,    1079         ,
27 ,    525 ,     m ,    0 ,     1573 ,     4050 ,    0 ,    1183         ,
27 ,    565 ,     m ,    0 ,     1693 ,     4451 ,    0 ,    1412         ,
27 ,    605 ,     m ,    0 ,     1813 ,     4830 ,    0 ,    1380         ,
27 ,    645 ,     m ,    0 ,     1933 ,     5208 ,    0 ,    1478         ,
27 ,    685 ,     m ,    0 ,     2053 ,     5586 ,    0 ,    1581         ,
27 ,    725 ,     m ,    0 ,     2173 ,     5980 ,    0 ,    1680         ,
27 ,    765 ,     m ,    0 ,     2293 ,     6373 ,    0 ,    1916         ,
27 ,    805 ,     m ,    0 ,     2413 ,     6762 ,    0 ,    1891         ,
27 ,    845 ,     m ,    0 ,     2533 ,     7170 ,    0 ,    2006         ,
27 ,    885 ,     m ,    0 ,     2653 ,     7573 ,    0 ,    2321         ,
27 ,    925 ,     m ,    0 ,     2773 ,     7918 ,    0 ,    2209         ,
27 ,    965 ,     m ,    0 ,     2893 ,     8338 ,    0 ,    2317         ,
27 ,    1005 ,     m ,    0 ,     3013 ,     8758 ,    0 ,    2560         ,
27 ,    1045 ,     m ,    0 ,     3133 ,     9155 ,    0 ,    2532         ,
27 ,    1085 ,     m ,    0 ,     3253 ,     9562 ,    0 ,    2648         ,
27 ,    1125 ,     m ,    0 ,     3373 ,     9998 ,    0 ,    2890         ,
27 ,    1165 ,     m ,    0 ,     3493 ,     10406 ,    0 ,    2860         ,
27 ,    1205 ,     m ,    0 ,     3613 ,     10810 ,    0 ,    2981         ,
27 ,    1245 ,     m ,    0 ,     3733 ,     11230 ,    0 ,    3090         ,
27 ,    1285 ,     m ,    0 ,     3853 ,     11659 ,    0 ,    3315         ,
27 ,    1325 ,     m ,    0 ,     3973 ,     12104 ,    0 ,    3296         ,
27 ,    1365 ,     m ,    0 ,     4093 ,     12547 ,    0 ,    3428         ,
27 ,    1405 ,     m ,    0 ,     4213 ,     12936 ,    0 ,    3529         ,
27 ,    1445 ,     m ,    0 ,     4333 ,     13374 ,    0 ,    3638         ,
27 ,    1485 ,     m ,    0 ,     4453 ,     13759 ,    0 ,    3741         ,
27 ,    1525 ,     m ,    0 ,     4573 ,     14224 ,    0 ,    3849         ,
27 ,    1565 ,     m ,    0 ,     4693 ,     14596 ,    0 ,    3966         ,
27 ,    1605 ,     m ,    0 ,     4813 ,     15104 ,    0 ,    4089         ,
27 ,    1645 ,     m ,    0 ,     4933 ,     15537 ,    0 ,    4343         ,
27 ,    1685 ,     m ,    0 ,     5053 ,     15963 ,    0 ,    4325         ,
27 ,    1725 ,     m ,    0 ,     5173 ,     16392 ,    0 ,    4562         ,
27 ,    1765 ,     m ,    0 ,     5293 ,     16834 ,    0 ,    4892         ,
27 ,    1805 ,     m ,    0 ,     5413 ,     17272 ,    0 ,    4653         ,
27 ,    1845 ,     m ,    0 ,     5533 ,     17703 ,    0 ,    4895         ,
27 ,    1885 ,     m ,    0 ,     5653 ,     18146 ,    0 ,    4987         ,
27 ,    1925 ,     m ,    0 ,     5773 ,     18576 ,    0 ,    4989         ,
27 ,    1965 ,     m ,    0 ,     5893 ,     19015 ,    0 ,    5237         ,
27 ,    2005 ,     m ,    0 ,     6013 ,     19454 ,    0 ,    5352         ,
27 ,    2045 ,     m ,    0 ,     6133 ,     19908 ,    0 ,    5317         ,
27 ,    2085 ,     m ,    0 ,     6253 ,     20373 ,    0 ,    5732         ,
27 ,    2125 ,     m ,    0 ,     6373 ,     20816 ,    0 ,    5797         ,
27 ,    2165 ,     m ,    0 ,     6493 ,     21254 ,    0 ,    5887         ,
27 ,    2205 ,     m ,    0 ,     6613 ,     21707 ,    0 ,    6662         ,
27 ,    2245 ,     m ,    0 ,     6733 ,     22176 ,    0 ,    6049         ,
27 ,    2285 ,     m ,    0 ,     6853 ,     22661 ,    0 ,    6061         ,
27 ,    2325 ,     m ,    0 ,     6973 ,     23110 ,    0 ,    6188         ,
