SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q3i ,    0 ,     4 ,     10 ,    14 ,    5         ,
27 ,    45 ,     q3i ,    0 ,     4 ,     351 ,    377 ,    47         ,
27 ,    85 ,     q3i ,    0 ,     7 ,     851 ,    884 ,    107         ,
27 ,    125 ,     q3i ,    0 ,     10 ,     1466 ,    1461 ,    182         ,
27 ,    165 ,     q3i ,    0 ,     13 ,     2131 ,    2121 ,    261         ,
27 ,    205 ,     q3i ,    0 ,     16 ,     2544 ,    2539 ,    316         ,
27 ,    245 ,     q3i ,    0 ,     25 ,     2912 ,    2840 ,    366         ,
27 ,    285 ,     q3i ,    0 ,     34 ,     3634 ,    3280 ,    430         ,
27 ,    325 ,     q3i ,    0 ,     34 ,     4234 ,    3977 ,    508         ,
27 ,    365 ,     q3i ,    0 ,     31 ,     4850 ,    4701 ,    592         ,
27 ,    405 ,     q3i ,    0 ,     43 ,     5096 ,    4833 ,    756         ,
27 ,    445 ,     q3i ,    0 ,     43 ,     6028 ,    5678 ,    723         ,
27 ,    485 ,     q3i ,    0 ,     46 ,     6943 ,    6498 ,    845         ,
27 ,    525 ,     q3i ,    0 ,     52 ,     6866 ,    6607 ,    963         ,
27 ,    565 ,     q3i ,    0 ,     49 ,     7772 ,    7301 ,    937         ,
27 ,    605 ,     q3i ,    0 ,     58 ,     8599 ,    8148 ,    1045         ,
27 ,    645 ,     q3i ,    0 ,     75 ,     9472 ,    8070 ,    1084         ,
27 ,    685 ,     q3i ,    0 ,     73 ,     9412 ,    8647 ,    1132         ,
27 ,    725 ,     q3i ,    0 ,     67 ,     11186 ,    10372 ,    1325         ,
27 ,    765 ,     q3i ,    0 ,     73 ,     11593 ,    10659 ,    1377         ,
27 ,    805 ,     q3i ,    0 ,     82 ,     11675 ,    10751 ,    1413         ,
27 ,    845 ,     q3i ,    0 ,     88 ,     12157 ,    11541 ,    1503         ,
27 ,    885 ,     q3i ,    0 ,     88 ,     12515 ,    11282 ,    1493         ,
27 ,    925 ,     q3i ,    0 ,     94 ,     13630 ,    12732 ,    1778         ,
27 ,    965 ,     q3i ,    0 ,     109 ,     14526 ,    12772 ,    1692         ,
27 ,    1005 ,     q3i ,    0 ,     97 ,     15650 ,    14039 ,    1852         ,
27 ,    1045 ,     q3i ,    0 ,     106 ,     16187 ,    14573 ,    2022         ,
27 ,    1085 ,     q3i ,    0 ,     97 ,     17084 ,    15209 ,    1989         ,
27 ,    1125 ,     q3i ,    0 ,     115 ,     17954 ,    15454 ,    2049         ,
27 ,    1165 ,     q3i ,    0 ,     106 ,     18129 ,    16525 ,    2141         ,
27 ,    1205 ,     q3i ,    0 ,     103 ,     19671 ,    17499 ,    2401         ,
27 ,    1245 ,     q3i ,    0 ,     127 ,     19151 ,    17239 ,    2280         ,
27 ,    1285 ,     q3i ,    0 ,     145 ,     19994 ,    17501 ,    2345         ,
27 ,    1325 ,     q3i ,    0 ,     136 ,     20839 ,    18541 ,    2453         ,
27 ,    1365 ,     q3i ,    0 ,     160 ,     20654 ,    18279 ,    2449         ,
27 ,    1405 ,     q3i ,    0 ,     132 ,     22271 ,    20375 ,    2672         ,
27 ,    1445 ,     q3i ,    0 ,     144 ,     22104 ,    20340 ,    2701         ,
27 ,    1485 ,     q3i ,    0 ,     145 ,     24463 ,    21537 ,    2841         ,
27 ,    1525 ,     q3i ,    0 ,     151 ,     23863 ,    21585 ,    2863         ,
27 ,    1565 ,     q3i ,    0 ,     151 ,     26545 ,    23007 ,    3031         ,
27 ,    1605 ,     q3i ,    0 ,     157 ,     26152 ,    22895 ,    3047         ,
27 ,    1645 ,     q3i ,    0 ,     166 ,     26237 ,    23478 ,    3106         ,
