SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q ,    0 ,     8 ,     4 ,    15 ,    6         ,
27 ,    45 ,     q ,    0 ,     78 ,     190 ,    204 ,    48         ,
27 ,    85 ,     q ,    0 ,     142 ,     360 ,    468 ,    93         ,
27 ,    125 ,     q ,    0 ,     218 ,     581 ,    744 ,    147         ,
27 ,    165 ,     q ,    0 ,     278 ,     701 ,    1053 ,    200         ,
27 ,    205 ,     q ,    0 ,     354 ,     1355 ,    1281 ,    265         ,
27 ,    245 ,     q ,    0 ,     416 ,     1465 ,    1605 ,    316         ,
27 ,    285 ,     q ,    0 ,     488 ,     1420 ,    1959 ,    370         ,
27 ,    325 ,     q ,    0 ,     576 ,     1669 ,    2301 ,    436         ,
27 ,    365 ,     q ,    0 ,     618 ,     2027 ,    2589 ,    491         ,
27 ,    405 ,     q ,    0 ,     688 ,     2469 ,    2970 ,    555         ,
27 ,    445 ,     q ,    0 ,     768 ,     2402 ,    3318 ,    620         ,
27 ,    485 ,     q ,    0 ,     850 ,     2939 ,    3606 ,    675         ,
27 ,    525 ,     q ,    0 ,     908 ,     3118 ,    3894 ,    737         ,
27 ,    565 ,     q ,    0 ,     952 ,     3328 ,    4284 ,    799         ,
27 ,    605 ,     q ,    0 ,     1042 ,     3365 ,    4665 ,    859         ,
27 ,    645 ,     q ,    0 ,     1116 ,     5411 ,    4902 ,    949         ,
27 ,    685 ,     q ,    0 ,     1168 ,     4264 ,    5289 ,    994         ,
27 ,    725 ,     q ,    0 ,     1242 ,     5050 ,    5526 ,    1053         ,
27 ,    765 ,     q ,    0 ,     1292 ,     5075 ,    5910 ,    1116         ,
27 ,    805 ,     q ,    0 ,     1404 ,     5938 ,    6297 ,    1200         ,
27 ,    845 ,     q ,    0 ,     1460 ,     5082 ,    6810 ,    1247         ,
27 ,    885 ,     q ,    0 ,     1534 ,     6316 ,    6999 ,    1329         ,
27 ,    925 ,     q ,    0 ,     1592 ,     5995 ,    7419 ,    1507         ,
27 ,    965 ,     q ,    0 ,     1670 ,     7362 ,    7830 ,    1488         ,
27 ,    1005 ,     q ,    0 ,     1740 ,     8694 ,    8013 ,    1547         ,
27 ,    1045 ,     q ,    0 ,     1768 ,     6518 ,    8565 ,    1574         ,
27 ,    1085 ,     q ,    0 ,     1838 ,     8918 ,    8700 ,    1661         ,
27 ,    1125 ,     q ,    0 ,     1920 ,     9015 ,    9024 ,    1720         ,
27 ,    1165 ,     q ,    0 ,     2022 ,     8238 ,    9591 ,    2105         ,
27 ,    1205 ,     q ,    0 ,     2072 ,     7603 ,    9912 ,    1845         ,
27 ,    1245 ,     q ,    0 ,     2164 ,     10317 ,    10089 ,    1946         ,
27 ,    1285 ,     q ,    0 ,     2208 ,     9785 ,    10530 ,    2003         ,
27 ,    1325 ,     q ,    0 ,     2298 ,     9896 ,    10998 ,    2048         ,
27 ,    1365 ,     q ,    0 ,     2348 ,     10518 ,    11412 ,    2275         ,
27 ,    1405 ,     q ,    0 ,     2416 ,     10599 ,    11841 ,    2207         ,
27 ,    1445 ,     q ,    0 ,     2482 ,     11759 ,    12258 ,    2291         ,
27 ,    1485 ,     q ,    0 ,     2608 ,     11219 ,    12567 ,    2364         ,
27 ,    1525 ,     q ,    0 ,     2608 ,     11251 ,    12930 ,    2401         ,
27 ,    1565 ,     q ,    0 ,     2704 ,     12342 ,    13266 ,    2482         ,
27 ,    1605 ,     q ,    0 ,     2764 ,     13399 ,    13737 ,    2583         ,
27 ,    1645 ,     q ,    0 ,     2838 ,     12552 ,    14241 ,    2641         ,
27 ,    1685 ,     q ,    0 ,     2928 ,     11483 ,    14691 ,    2687         ,
27 ,    1725 ,     q ,    0 ,     2972 ,     12014 ,    15054 ,    2783         ,
27 ,    1765 ,     q ,    0 ,     3032 ,     14904 ,    15102 ,    2895         ,
27 ,    1805 ,     q ,    0 ,     3158 ,     17763 ,    15195 ,    3060         ,
27 ,    1845 ,     q ,    0 ,     3206 ,     13983 ,    16113 ,    3469         ,
27 ,    1885 ,     q ,    0 ,     3240 ,     16602 ,    16245 ,    3200         ,
27 ,    1925 ,     q ,    0 ,     3344 ,     17290 ,    16329 ,    3127         ,
27 ,    1965 ,     q ,    0 ,     3438 ,     15780 ,    17076 ,    3191         ,
27 ,    2005 ,     q ,    0 ,     3474 ,     15899 ,    17613 ,    3288         ,
27 ,    2045 ,     q ,    0 ,     3496 ,     16362 ,    17970 ,    3508         ,
27 ,    2085 ,     q ,    0 ,     3602 ,     16678 ,    18246 ,    3474         ,
27 ,    2125 ,     q ,    0 ,     3686 ,     18572 ,    18540 ,    3517         ,
27 ,    2165 ,     q ,    0 ,     3722 ,     16217 ,    19224 ,    3745         ,
27 ,    2205 ,     q ,    0 ,     3768 ,     20363 ,    19407 ,    3710         ,
27 ,    2245 ,     q ,    0 ,     3910 ,     19383 ,    19773 ,    3902         ,
27 ,    2285 ,     q ,    0 ,     3920 ,     17599 ,    20442 ,    3924         ,
27 ,    2325 ,     q ,    0 ,     4022 ,     18770 ,    20814 ,    4048         ,
27 ,    2365 ,     q ,    0 ,     4086 ,     20753 ,    20760 ,    3951         ,
27 ,    2405 ,     q ,    0 ,     4158 ,     19520 ,    21603 ,    4058         ,
27 ,    2445 ,     q ,    0 ,     4192 ,     20606 ,    22188 ,    4158         ,
27 ,    2485 ,     q ,    0 ,     4258 ,     20142 ,    22356 ,    4163         ,
27 ,    2525 ,     q ,    0 ,     4352 ,     20724 ,    22587 ,    4219         ,
27 ,    2565 ,     q ,    0 ,     4436 ,     19955 ,    23286 ,    4455         ,
27 ,    2605 ,     q ,    0 ,     4456 ,     22908 ,    23055 ,    4353         ,
27 ,    2645 ,     q ,    0 ,     4578 ,     26743 ,    23331 ,    4602         ,
27 ,    2685 ,     q ,    0 ,     4644 ,     21484 ,    24519 ,    4641         ,
27 ,    2725 ,     q ,    0 ,     4746 ,     23670 ,    24759 ,    4812         ,
27 ,    2765 ,     q ,    0 ,     4810 ,     26153 ,    24783 ,    4878         ,
27 ,    2805 ,     q ,    0 ,     4814 ,     22811 ,    25710 ,    4841         ,
27 ,    2845 ,     q ,    0 ,     4890 ,     24638 ,    25875 ,    4896         ,
27 ,    2885 ,     q ,    0 ,     4998 ,     23454 ,    26541 ,    4962         ,
