SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     qi ,    0 ,     3 ,     11 ,    14 ,    5         ,
27 ,    45 ,     qi ,    0 ,     4 ,     491 ,    499 ,    57         ,
27 ,    85 ,     qi ,    0 ,     10 ,     973 ,    996 ,    116         ,
27 ,    125 ,     qi ,    0 ,     16 ,     1197 ,    1240 ,    153         ,
27 ,    165 ,     qi ,    0 ,     13 ,     1696 ,    1878 ,    224         ,
27 ,    205 ,     qi ,    0 ,     24 ,     2498 ,    2268 ,    292         ,
27 ,    245 ,     qi ,    0 ,     19 ,     3240 ,    3238 ,    387         ,
27 ,    285 ,     qi ,    0 ,     28 ,     3141 ,    3464 ,    423         ,
27 ,    325 ,     qi ,    0 ,     28 ,     3750 ,    4065 ,    492         ,
27 ,    365 ,     qi ,    0 ,     40 ,     4126 ,    4349 ,    550         ,
27 ,    405 ,     qi ,    0 ,     46 ,     4799 ,    4789 ,    617         ,
27 ,    445 ,     qi ,    0 ,     49 ,     5318 ,    5684 ,    832         ,
27 ,    485 ,     qi ,    0 ,     52 ,     6144 ,    6388 ,    801         ,
27 ,    525 ,     qi ,    0 ,     63 ,     6320 ,    6683 ,    844         ,
27 ,    565 ,     qi ,    0 ,     58 ,     6615 ,    7013 ,    892         ,
27 ,    605 ,     qi ,    0 ,     64 ,     6722 ,    7383 ,    934         ,
27 ,    645 ,     qi ,    0 ,     79 ,     9395 ,    8252 ,    1082         ,
27 ,    685 ,     qi ,    0 ,     82 ,     8303 ,    8751 ,    1117         ,
27 ,    725 ,     qi ,    0 ,     90 ,     9572 ,    9471 ,    1353         ,
27 ,    765 ,     qi ,    0 ,     82 ,     10016 ,    10245 ,    1315         ,
27 ,    805 ,     qi ,    0 ,     100 ,     11320 ,    10991 ,    1423         ,
27 ,    845 ,     qi ,    0 ,     97 ,     9755 ,    10759 ,    1381         ,
27 ,    885 ,     qi ,    0 ,     127 ,     11264 ,    11058 ,    1450         ,
27 ,    925 ,     qi ,    0 ,     91 ,     12166 ,    12789 ,    1618         ,
27 ,    965 ,     qi ,    0 ,     118 ,     12719 ,    12164 ,    1616         ,
27 ,    1005 ,     qi ,    0 ,     117 ,     14371 ,    12757 ,    1692         ,
27 ,    1045 ,     qi ,    0 ,     111 ,     12939 ,    14025 ,    1792         ,
27 ,    1085 ,     qi ,    0 ,     111 ,     15972 ,    14420 ,    2018         ,
27 ,    1125 ,     qi ,    0 ,     133 ,     14660 ,    13779 ,    1844         ,
27 ,    1165 ,     qi ,    0 ,     129 ,     15618 ,    15826 ,    2047         ,
27 ,    1205 ,     qi ,    0 ,     126 ,     15430 ,    16697 ,    2140         ,
27 ,    1245 ,     qi ,    0 ,     145 ,     17350 ,    16030 ,    2252         ,
27 ,    1285 ,     qi ,    0 ,     154 ,     18349 ,    17884 ,    2319         ,
27 ,    1325 ,     qi ,    0 ,     151 ,     17395 ,    17239 ,    2253         ,
27 ,    1365 ,     qi ,    0 ,     167 ,     19041 ,    18654 ,    2443         ,
27 ,    1405 ,     qi ,    0 ,     136 ,     19977 ,    19889 ,    2558         ,
27 ,    1445 ,     qi ,    0 ,     168 ,     21306 ,    20420 ,    2665         ,
27 ,    1485 ,     qi ,    0 ,     159 ,     20561 ,    20584 ,    2679         ,
27 ,    1525 ,     qi ,    0 ,     154 ,     20851 ,    21356 ,    2859         ,
27 ,    1565 ,     qi ,    0 ,     174 ,     21999 ,    21599 ,    2803         ,
27 ,    1605 ,     qi ,    0 ,     203 ,     22447 ,    21319 ,    2846         ,
27 ,    1645 ,     qi ,    0 ,     169 ,     23291 ,    23449 ,    3045         ,
27 ,    1685 ,     qi ,    0 ,     178 ,     21380 ,    23042 ,    3000         ,
27 ,    1725 ,     qi ,    0 ,     182 ,     22495 ,    23921 ,    3231         ,
27 ,    1765 ,     qi ,    0 ,     190 ,     26706 ,    25563 ,    3485         ,
27 ,    1805 ,     qi ,    0 ,     216 ,     28332 ,    24187 ,    3264         ,
27 ,    1845 ,     qi ,    0 ,     208 ,     25641 ,    26050 ,    3401         ,
27 ,    1885 ,     qi ,    0 ,     193 ,     28982 ,    26941 ,    3578         ,
27 ,    1925 ,     qi ,    0 ,     201 ,     29446 ,    27280 ,    3571         ,
27 ,    1965 ,     qi ,    0 ,     217 ,     28266 ,    27901 ,    3624         ,
27 ,    2005 ,     qi ,    0 ,     217 ,     27902 ,    27870 ,    3663         ,
27 ,    2045 ,     qi ,    0 ,     244 ,     29151 ,    29159 ,    3960         ,
27 ,    2085 ,     qi ,    0 ,     231 ,     29794 ,    29640 ,    3913         ,
27 ,    2125 ,     qi ,    0 ,     229 ,     32092 ,    30417 ,    4120         ,
27 ,    2165 ,     qi ,    0 ,     246 ,     30026 ,    31030 ,    4177         ,
27 ,    2205 ,     qi ,    0 ,     247 ,     34243 ,    31012 ,    4179         ,
27 ,    2245 ,     qi ,    0 ,     256 ,     33564 ,    32068 ,    4272         ,
27 ,    2285 ,     qi ,    0 ,     237 ,     32349 ,    33163 ,    4472         ,
27 ,    2325 ,     qi ,    0 ,     271 ,     33171 ,    33319 ,    4434         ,
27 ,    2365 ,     qi ,    0 ,     280 ,     35643 ,    33493 ,    4595         ,
27 ,    2405 ,     qi ,    0 ,     258 ,     36080 ,    35629 ,    4695         ,
27 ,    2445 ,     qi ,    0 ,     274 ,     36243 ,    35325 ,    4844         ,
27 ,    2485 ,     qi ,    0 ,     279 ,     35644 ,    35511 ,    4693         ,
27 ,    2525 ,     qi ,    0 ,     268 ,     37368 ,    37047 ,    4830         ,
27 ,    2565 ,     qi ,    0 ,     279 ,     36563 ,    37483 ,    4916         ,
27 ,    2605 ,     qi ,    0 ,     279 ,     39155 ,    37302 ,    5038         ,
27 ,    2645 ,     qi ,    0 ,     300 ,     43575 ,    37965 ,    5079         ,
27 ,    2685 ,     qi ,    0 ,     284 ,     38982 ,    39783 ,    5211         ,
27 ,    2725 ,     qi ,    0 ,     326 ,     40835 ,    39382 ,    5669         ,
27 ,    2765 ,     qi ,    0 ,     305 ,     43286 ,    39426 ,    5294         ,
27 ,    2805 ,     qi ,    0 ,     320 ,     40117 ,    40542 ,    5586         ,
27 ,    2845 ,     qi ,    0 ,     359 ,     40881 ,    39422 ,    5463         ,
27 ,    2885 ,     qi ,    0 ,     322 ,     41337 ,    41753 ,    5541         ,
27 ,    2925 ,     qi ,    0 ,     340 ,     42055 ,    42817 ,    5665         ,
27 ,    2965 ,     qi ,    0 ,     372 ,     42044 ,    41145 ,    5539         ,
27 ,    3005 ,     qi ,    0 ,     345 ,     45118 ,    44558 ,    8622         ,
27 ,    3045 ,     qi ,    0 ,     348 ,     42214 ,    45198 ,    5909         ,
27 ,    3085 ,     qi ,    0 ,     372 ,     44155 ,    43381 ,    5978         ,
