SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     rs ,    0 ,     4 ,     10 ,    9 ,    4         ,
27 ,    45 ,     rs ,    0 ,     44 ,     990 ,    120 ,    59         ,
27 ,    85 ,     rs ,    0 ,     84 ,     3570 ,    237 ,    170         ,
27 ,    125 ,     rs ,    0 ,     124 ,     7750 ,    357 ,    338         ,
27 ,    165 ,     rs ,    0 ,     164 ,     13530 ,    486 ,    557         ,
27 ,    205 ,     rs ,    0 ,     204 ,     20910 ,    597 ,    1035         ,
27 ,    245 ,     rs ,    0 ,     244 ,     29890 ,    702 ,    1176         ,
27 ,    285 ,     rs ,    0 ,     284 ,     40470 ,    834 ,    1736         ,
27 ,    325 ,     rs ,    0 ,     324 ,     52650 ,    960 ,    2178         ,
27 ,    365 ,     rs ,    0 ,     364 ,     66430 ,    1062 ,    2500         ,
27 ,    405 ,     rs ,    0 ,     404 ,     81810 ,    1194 ,    3214         ,
27 ,    445 ,     rs ,    0 ,     444 ,     98790 ,    1308 ,    4269         ,
27 ,    485 ,     rs ,    0 ,     484 ,     117370 ,    1440 ,    4289         ,
27 ,    525 ,     rs ,    0 ,     524 ,     137550 ,    1554 ,    5189         ,
27 ,    565 ,     rs ,    0 ,     564 ,     159330 ,    1659 ,    6106         ,
27 ,    605 ,     rs ,    0 ,     604 ,     182710 ,    1794 ,    6727         ,
27 ,    645 ,     rs ,    0 ,     644 ,     207690 ,    1920 ,    7782         ,
27 ,    685 ,     rs ,    0 ,     684 ,     234270 ,    2031 ,    8415         ,
27 ,    725 ,     rs ,    0 ,     724 ,     262450 ,    2160 ,    11808         ,
27 ,    765 ,     rs ,    0 ,     764 ,     292230 ,    2277 ,    10909         ,
27 ,    805 ,     rs ,    0 ,     804 ,     323610 ,    2403 ,    11614         ,
27 ,    845 ,     rs ,    0 ,     844 ,     356590 ,    2520 ,    12992         ,
27 ,    885 ,     rs ,    0 ,     884 ,     391170 ,    2634 ,    14202         ,
27 ,    925 ,     rs ,    0 ,     924 ,     427350 ,    2763 ,    15529         ,
27 ,    965 ,     rs ,    0 ,     964 ,     465130 ,    2865 ,    17251         ,
27 ,    1005 ,     rs ,    0 ,     1004 ,     504510 ,    3006 ,    18009         ,
27 ,    1045 ,     rs ,    0 ,     1044 ,     545490 ,    3114 ,    19644         ,
27 ,    1085 ,     rs ,    0 ,     1084 ,     588070 ,    3225 ,    21094         ,
27 ,    1125 ,     rs ,    0 ,     1124 ,     632250 ,    3351 ,    22962         ,
27 ,    1165 ,     rs ,    0 ,     1164 ,     678030 ,    3471 ,    24312         ,
27 ,    1205 ,     rs ,    0 ,     1204 ,     725410 ,    3597 ,    25849         ,
27 ,    1245 ,     rs ,    0 ,     1244 ,     774390 ,    3702 ,    27735         ,
27 ,    1285 ,     rs ,    0 ,     1284 ,     824970 ,    3828 ,    29323         ,
27 ,    1325 ,     rs ,    0 ,     1324 ,     877150 ,    3933 ,    31147         ,
27 ,    1365 ,     rs ,    0 ,     1364 ,     930930 ,    4083 ,    33669         ,
27 ,    1405 ,     rs ,    0 ,     1404 ,     986310 ,    4200 ,    35011         ,
27 ,    1445 ,     rs ,    0 ,     1444 ,     1043290 ,    4323 ,    38946         ,
27 ,    1485 ,     rs ,    0 ,     1484 ,     1101870 ,    4434 ,    39224         ,
27 ,    1525 ,     rs ,    0 ,     1524 ,     1162050 ,    4539 ,    41106         ,
27 ,    1565 ,     rs ,    0 ,     1564 ,     1223830 ,    4680 ,    43042         ,
27 ,    1605 ,     rs ,    0 ,     1604 ,     1287210 ,    4794 ,    48074         ,
27 ,    1645 ,     rs ,    0 ,     1644 ,     1352190 ,    4920 ,    47408         ,
27 ,    1685 ,     rs ,    0 ,     1684 ,     1418770 ,    5037 ,    52372         ,
27 ,    1725 ,     rs ,    0 ,     1724 ,     1486950 ,    5145 ,    52189         ,
27 ,    1765 ,     rs ,    0 ,     1764 ,     1556730 ,    5271 ,    56380         ,
27 ,    1805 ,     rs ,    0 ,     1804 ,     1628110 ,    5391 ,    60167         ,
27 ,    1845 ,     rs ,    0 ,     1844 ,     1701090 ,    5511 ,    59645         ,
27 ,    1885 ,     rs ,    0 ,     1884 ,     1775670 ,    5625 ,    62790         ,
27 ,    1925 ,     rs ,    0 ,     1924 ,     1851850 ,    5763 ,    67549         ,
27 ,    1965 ,     rs ,    0 ,     1964 ,     1929630 ,    5880 ,    67571         ,
27 ,    2005 ,     rs ,    0 ,     2004 ,     2009010 ,    5976 ,    70239         ,
27 ,    2045 ,     rs ,    0 ,     2044 ,     2089990 ,    6105 ,    76073         ,
27 ,    2085 ,     rs ,    0 ,     2084 ,     2172570 ,    6228 ,    78170         ,
27 ,    2125 ,     rs ,    0 ,     2124 ,     2256750 ,    6342 ,    81012         ,
27 ,    2165 ,     rs ,    0 ,     2164 ,     2342530 ,    6471 ,    83520         ,
27 ,    2205 ,     rs ,    0 ,     2204 ,     2429910 ,    6585 ,    86758         ,
27 ,    2245 ,     rs ,    0 ,     2244 ,     2518890 ,    6702 ,    89784         ,
27 ,    2285 ,     rs ,    0 ,     2284 ,     2609470 ,    6834 ,    92865         ,
27 ,    2325 ,     rs ,    0 ,     2324 ,     2701650 ,    6939 ,    95944         ,
27 ,    2365 ,     rs ,    0 ,     2364 ,     2795430 ,    7080 ,    98804         ,
27 ,    2405 ,     rs ,    0 ,     2404 ,     2890810 ,    7188 ,    102724         ,
27 ,    2445 ,     rs ,    0 ,     2444 ,     2987790 ,    7311 ,    105327         ,
27 ,    2485 ,     rs ,    0 ,     2484 ,     3086370 ,    7443 ,    110079         ,
27 ,    2525 ,     rs ,    0 ,     2524 ,     3186550 ,    7536 ,    112348         ,
27 ,    2565 ,     rs ,    0 ,     2564 ,     3288330 ,    7662 ,    116996         ,
27 ,    2605 ,     rs ,    0 ,     2604 ,     3391710 ,    7767 ,    120975         ,
27 ,    2645 ,     rs ,    0 ,     2644 ,     3496690 ,    7902 ,    122635         ,
27 ,    2685 ,     rs ,    0 ,     2684 ,     3603270 ,    8031 ,    125509         ,
27 ,    2725 ,     rs ,    0 ,     2724 ,     3711450 ,    8154 ,    129956         ,
27 ,    2765 ,     rs ,    0 ,     2764 ,     3821230 ,    8277 ,    133306         ,
27 ,    2805 ,     rs ,    0 ,     2804 ,     3932610 ,    8376 ,    138218         ,
27 ,    2845 ,     rs ,    0 ,     2844 ,     4045590 ,    8508 ,    158846         ,
27 ,    2885 ,     rs ,    0 ,     2884 ,     4160170 ,    8637 ,    149234         ,
27 ,    2925 ,     rs ,    0 ,     2924 ,     4276350 ,    8754 ,    155732         ,
27 ,    2965 ,     rs ,    0 ,     2964 ,     4394130 ,    8883 ,    162906         ,
27 ,    3005 ,     rs ,    0 ,     3004 ,     4513510 ,    8979 ,    162988         ,
