SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     rx ,    0 ,     0 ,     0 ,    0 ,    5         ,
27 ,    45 ,     rx ,    0 ,     0 ,     0 ,    0 ,    25         ,
27 ,    85 ,     rx ,    0 ,     0 ,     0 ,    0 ,    46         ,
27 ,    125 ,     rx ,    0 ,     0 ,     0 ,    0 ,    96         ,
27 ,    165 ,     rx ,    0 ,     0 ,     0 ,    0 ,    128         ,
27 ,    205 ,     rx ,    0 ,     0 ,     0 ,    0 ,    160         ,
27 ,    245 ,     rx ,    0 ,     0 ,     0 ,    0 ,    207         ,
27 ,    285 ,     rx ,    0 ,     0 ,     0 ,    0 ,    344         ,
27 ,    325 ,     rx ,    0 ,     0 ,     0 ,    0 ,    250         ,
27 ,    365 ,     rx ,    0 ,     0 ,     0 ,    0 ,    287         ,
27 ,    405 ,     rx ,    0 ,     0 ,     0 ,    0 ,    310         ,
27 ,    445 ,     rx ,    0 ,     0 ,     0 ,    0 ,    352         ,
27 ,    485 ,     rx ,    0 ,     0 ,     0 ,    0 ,    371         ,
27 ,    525 ,     rx ,    0 ,     0 ,     0 ,    0 ,    411         ,
27 ,    565 ,     rx ,    0 ,     0 ,     0 ,    0 ,    435         ,
27 ,    605 ,     rx ,    0 ,     0 ,     0 ,    0 ,    470         ,
27 ,    645 ,     rx ,    0 ,     0 ,     0 ,    0 ,    505         ,
27 ,    685 ,     rx ,    0 ,     0 ,     0 ,    0 ,    531         ,
27 ,    725 ,     rx ,    0 ,     0 ,     0 ,    0 ,    561         ,
27 ,    765 ,     rx ,    0 ,     0 ,     0 ,    0 ,    593         ,
27 ,    805 ,     rx ,    0 ,     0 ,     0 ,    0 ,    661         ,
27 ,    845 ,     rx ,    0 ,     0 ,     0 ,    0 ,    658         ,
27 ,    885 ,     rx ,    0 ,     0 ,     0 ,    0 ,    677         ,
27 ,    925 ,     rx ,    0 ,     0 ,     0 ,    0 ,    711         ,
27 ,    965 ,     rx ,    0 ,     0 ,     0 ,    0 ,    764         ,
27 ,    1005 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1030         ,
27 ,    1045 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1092         ,
27 ,    1085 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1118         ,
27 ,    1125 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1155         ,
27 ,    1165 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1190         ,
27 ,    1205 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1237         ,
27 ,    1245 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1300         ,
27 ,    1285 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1439         ,
27 ,    1325 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1332         ,
27 ,    1365 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1401         ,
27 ,    1405 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1439         ,
