SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     s ,    0 ,     1 ,     10 ,    9 ,    4         ,
27 ,    45 ,     s ,    0 ,     1 ,     990 ,    120 ,    55         ,
27 ,    85 ,     s ,    0 ,     1 ,     3570 ,    237 ,    159         ,
27 ,    125 ,     s ,    0 ,     1 ,     7750 ,    357 ,    321         ,
27 ,    165 ,     s ,    0 ,     1 ,     13530 ,    486 ,    534         ,
27 ,    205 ,     s ,    0 ,     1 ,     20910 ,    597 ,    800         ,
27 ,    245 ,     s ,    0 ,     1 ,     29890 ,    702 ,    1118         ,
27 ,    285 ,     s ,    0 ,     1 ,     40470 ,    834 ,    1610         ,
27 ,    325 ,     s ,    0 ,     1 ,     52650 ,    960 ,    1913         ,
27 ,    365 ,     s ,    0 ,     1 ,     66430 ,    1062 ,    2395         ,
27 ,    405 ,     s ,    0 ,     1 ,     81810 ,    1194 ,    2935         ,
27 ,    445 ,     s ,    0 ,     1 ,     98790 ,    1308 ,    3502         ,
27 ,    485 ,     s ,    0 ,     1 ,     117370 ,    1440 ,    4271         ,
27 ,    525 ,     s ,    0 ,     1 ,     137550 ,    1554 ,    4819         ,
27 ,    565 ,     s ,    0 ,     1 ,     159330 ,    1659 ,    5697         ,
27 ,    605 ,     s ,    0 ,     1 ,     182710 ,    1794 ,    6920         ,
27 ,    645 ,     s ,    0 ,     1 ,     207690 ,    1920 ,    7236         ,
27 ,    685 ,     s ,    0 ,     1 ,     234270 ,    2031 ,    8154         ,
27 ,    725 ,     s ,    0 ,     1 ,     262450 ,    2160 ,    9420         ,
27 ,    765 ,     s ,    0 ,     1 ,     292230 ,    2277 ,    10262         ,
27 ,    805 ,     s ,    0 ,     1 ,     323610 ,    2403 ,    11538         ,
27 ,    845 ,     s ,    0 ,     1 ,     356590 ,    2520 ,    12491         ,
27 ,    885 ,     s ,    0 ,     1 ,     391170 ,    2634 ,    13618         ,
27 ,    925 ,     s ,    0 ,     1 ,     427350 ,    2763 ,    17208         ,
27 ,    965 ,     s ,    0 ,     1 ,     465130 ,    2865 ,    16312         ,
27 ,    1005 ,     s ,    0 ,     1 ,     504510 ,    3006 ,    18162         ,
27 ,    1045 ,     s ,    0 ,     1 ,     545490 ,    3114 ,    19031         ,
27 ,    1085 ,     s ,    0 ,     1 ,     588070 ,    3225 ,    22351         ,
27 ,    1125 ,     s ,    0 ,     1 ,     632250 ,    3351 ,    23358         ,
27 ,    1165 ,     s ,    0 ,     1 ,     678030 ,    3471 ,    27870         ,
27 ,    1205 ,     s ,    0 ,     1 ,     725410 ,    3597 ,    26200         ,
27 ,    1245 ,     s ,    0 ,     1 ,     774390 ,    3702 ,    28222         ,
27 ,    1285 ,     s ,    0 ,     1 ,     824970 ,    3828 ,    29644         ,
27 ,    1325 ,     s ,    0 ,     1 ,     877150 ,    3933 ,    30515         ,
27 ,    1365 ,     s ,    0 ,     1 ,     930930 ,    4083 ,    32319         ,
27 ,    1405 ,     s ,    0 ,     1 ,     986310 ,    4200 ,    34052         ,
27 ,    1445 ,     s ,    0 ,     1 ,     1043290 ,    4323 ,    36078         ,
27 ,    1485 ,     s ,    0 ,     1 ,     1101870 ,    4434 ,    38612         ,
27 ,    1525 ,     s ,    0 ,     1 ,     1162050 ,    4539 ,    44661         ,
27 ,    1565 ,     s ,    0 ,     1 ,     1223830 ,    4680 ,    44380         ,
27 ,    1605 ,     s ,    0 ,     1 ,     1287210 ,    4794 ,    45823         ,
27 ,    1645 ,     s ,    0 ,     1 ,     1352190 ,    4920 ,    53003         ,
27 ,    1685 ,     s ,    0 ,     1 ,     1418770 ,    5037 ,    51055         ,
27 ,    1725 ,     s ,    0 ,     1 ,     1486950 ,    5145 ,    58177         ,
27 ,    1765 ,     s ,    0 ,     1 ,     1556730 ,    5271 ,    56999         ,
27 ,    1805 ,     s ,    0 ,     1 ,     1628110 ,    5391 ,    64284         ,
27 ,    1845 ,     s ,    0 ,     1 ,     1701090 ,    5511 ,    64490         ,
27 ,    1885 ,     s ,    0 ,     1 ,     1775670 ,    5625 ,    61671         ,
27 ,    1925 ,     s ,    0 ,     1 ,     1851850 ,    5763 ,    66050         ,
27 ,    1965 ,     s ,    0 ,     1 ,     1929630 ,    5880 ,    66559         ,
27 ,    2005 ,     s ,    0 ,     1 ,     2009010 ,    5976 ,    69603         ,
27 ,    2045 ,     s ,    0 ,     1 ,     2089990 ,    6105 ,    73619         ,
27 ,    2085 ,     s ,    0 ,     1 ,     2172570 ,    6228 ,    76389         ,
27 ,    2125 ,     s ,    0 ,     1 ,     2256750 ,    6342 ,    78074         ,
27 ,    2165 ,     s ,    0 ,     1 ,     2342530 ,    6471 ,    82976         ,
27 ,    2205 ,     s ,    0 ,     1 ,     2429910 ,    6585 ,    87637         ,
27 ,    2245 ,     s ,    0 ,     1 ,     2518890 ,    6702 ,    88291         ,
27 ,    2285 ,     s ,    0 ,     1 ,     2609470 ,    6834 ,    91721         ,
27 ,    2325 ,     s ,    0 ,     1 ,     2701650 ,    6939 ,    95885         ,
27 ,    2365 ,     s ,    0 ,     1 ,     2795430 ,    7080 ,    99682         ,
27 ,    2405 ,     s ,    0 ,     1 ,     2890810 ,    7188 ,    103243         ,
27 ,    2445 ,     s ,    0 ,     1 ,     2987790 ,    7311 ,    103403         ,
27 ,    2485 ,     s ,    0 ,     1 ,     3086370 ,    7443 ,    109104         ,
27 ,    2525 ,     s ,    0 ,     1 ,     3186550 ,    7536 ,    111737         ,
27 ,    2565 ,     s ,    0 ,     1 ,     3288330 ,    7662 ,    114032         ,
27 ,    2605 ,     s ,    0 ,     1 ,     3391710 ,    7767 ,    118335         ,
27 ,    2645 ,     s ,    0 ,     1 ,     3496690 ,    7902 ,    122124         ,
27 ,    2685 ,     s ,    0 ,     1 ,     3603270 ,    8031 ,    126673         ,
27 ,    2725 ,     s ,    0 ,     1 ,     3711450 ,    8154 ,    127827         ,
27 ,    2765 ,     s ,    0 ,     1 ,     3821230 ,    8277 ,    133487         ,
27 ,    2805 ,     s ,    0 ,     1 ,     3932610 ,    8376 ,    139072         ,
27 ,    2845 ,     s ,    0 ,     1 ,     4045590 ,    8508 ,    140764         ,
27 ,    2885 ,     s ,    0 ,     1 ,     4160170 ,    8637 ,    144641         ,
27 ,    2925 ,     s ,    0 ,     1 ,     4276350 ,    8754 ,    150982         ,
27 ,    2965 ,     s ,    0 ,     1 ,     4394130 ,    8883 ,    150920         ,
27 ,    3005 ,     s ,    0 ,     1 ,     4513510 ,    8979 ,    162562         ,
27 ,    3045 ,     s ,    0 ,     1 ,     4634490 ,    9102 ,    162823         ,
27 ,    3085 ,     s ,    0 ,     1 ,     4757070 ,    9234 ,    165296         ,
27 ,    3125 ,     s ,    0 ,     1 ,     4881250 ,    9345 ,    171062         ,
27 ,    3165 ,     s ,    0 ,     1 ,     5007030 ,    9477 ,    172364         ,
27 ,    3205 ,     s ,    0 ,     1 ,     5134410 ,    9600 ,    178524         ,
27 ,    3245 ,     s ,    0 ,     1 ,     5263390 ,    9705 ,    185275         ,
27 ,    3285 ,     s ,    0 ,     1 ,     5393970 ,    9843 ,    336147         ,
27 ,    3325 ,     s ,    0 ,     1 ,     5526150 ,    9948 ,    198222         ,
27 ,    3365 ,     s ,    0 ,     1 ,     5659930 ,    10074 ,    279138         ,
27 ,    3405 ,     s ,    0 ,     1 ,     5795310 ,    10182 ,    221927         ,
27 ,    3445 ,     s ,    0 ,     1 ,     5932290 ,    10305 ,    239406         ,
27 ,    3485 ,     s ,    0 ,     1 ,     6070870 ,    10413 ,    255132         ,
27 ,    3525 ,     s ,    0 ,     1 ,     6211050 ,    10530 ,    248394         ,
27 ,    3565 ,     s ,    0 ,     1 ,     6352830 ,    10662 ,    236094         ,
27 ,    3605 ,     s ,    0 ,     1 ,     6496210 ,    10791 ,    239958         ,
27 ,    3645 ,     s ,    0 ,     1 ,     6641190 ,    10911 ,    351659         ,
27 ,    3685 ,     s ,    0 ,     1 ,     6787770 ,    11013 ,    263458         ,
27 ,    3725 ,     s ,    0 ,     1 ,     6935950 ,    11160 ,    277439         ,
27 ,    3765 ,     s ,    0 ,     1 ,     7085730 ,    11271 ,    289308         ,
27 ,    3805 ,     s ,    0 ,     1 ,     7237110 ,    11400 ,    275203         ,
27 ,    3845 ,     s ,    0 ,     1 ,     7390090 ,    11499 ,    300719         ,
27 ,    3885 ,     s ,    0 ,     1 ,     7544670 ,    11619 ,    308186         ,
27 ,    3925 ,     s ,    0 ,     1 ,     7700850 ,    11742 ,    293903         ,
27 ,    3965 ,     s ,    0 ,     1 ,     7858630 ,    11862 ,    307200         ,
27 ,    4005 ,     s ,    0 ,     1 ,     8018010 ,    11994 ,    321721         ,
27 ,    4045 ,     s ,    0 ,     1 ,     8178990 ,    12108 ,    316232         ,
27 ,    4085 ,     s ,    0 ,     1 ,     8341570 ,    12228 ,    332411         ,
27 ,    4125 ,     s ,    0 ,     1 ,     8505750 ,    12351 ,    336192         ,
27 ,    4165 ,     s ,    0 ,     1 ,     8671530 ,    12465 ,    332372         ,
27 ,    4205 ,     s ,    0 ,     1 ,     8838910 ,    12600 ,    344339         ,
27 ,    4245 ,     s ,    0 ,     1 ,     9007890 ,    12714 ,    422483         ,
27 ,    4285 ,     s ,    0 ,     1 ,     9178470 ,    12825 ,    419730         ,
27 ,    4325 ,     s ,    0 ,     1 ,     9350650 ,    12945 ,    410549         ,
27 ,    4365 ,     s ,    0 ,     1 ,     9524430 ,    13062 ,    409546         ,
27 ,    4405 ,     s ,    0 ,     1 ,     9699810 ,    13170 ,    389238         ,
27 ,    4445 ,     s ,    0 ,     1 ,     9876790 ,    13323 ,    394356         ,
27 ,    4485 ,     s ,    0 ,     1 ,     10055370 ,    13410 ,    389597         ,
27 ,    4525 ,     s ,    0 ,     1 ,     10235550 ,    13542 ,    388663         ,
27 ,    4565 ,     s ,    0 ,     1 ,     10417330 ,    13665 ,    373420         ,
27 ,    4605 ,     s ,    0 ,     1 ,     10600710 ,    13776 ,    377260         ,
27 ,    4645 ,     s ,    0 ,     1 ,     10785690 ,    13902 ,    384194         ,
27 ,    4685 ,     s ,    0 ,     1 ,     10972270 ,    14028 ,    386776         ,
27 ,    4725 ,     s ,    0 ,     1 ,     11160450 ,    14136 ,    391543         ,
27 ,    4765 ,     s ,    0 ,     1 ,     11350230 ,    14268 ,    405111         ,
27 ,    4805 ,     s ,    0 ,     1 ,     11541610 ,    14379 ,    401635         ,
27 ,    4845 ,     s ,    0 ,     1 ,     11734590 ,    14496 ,    415320         ,
27 ,    4885 ,     s ,    0 ,     1 ,     11929170 ,    14634 ,    421684         ,
