SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     b ,    0 ,     1 ,     17 ,    21 ,    10         ,
27 ,    45 ,     b ,    0 ,     1 ,     1466 ,    1428 ,    173         ,
27 ,    85 ,     b ,    0 ,     1 ,     5399 ,    5487 ,    618         ,
27 ,    125 ,     b ,    0 ,     1 ,     11578 ,    11484 ,    1295         ,
27 ,    165 ,     b ,    0 ,     1 ,     20304 ,    20322 ,    2279         ,
27 ,    205 ,     b ,    0 ,     1 ,     31415 ,    31515 ,    3515         ,
27 ,    245 ,     b ,    0 ,     1 ,     45193 ,    45909 ,    5071         ,
27 ,    285 ,     b ,    0 ,     1 ,     60439 ,    59907 ,    6812         ,
27 ,    325 ,     b ,    0 ,     1 ,     79773 ,    81369 ,    9081         ,
27 ,    365 ,     b ,    0 ,     1 ,     100972 ,    103626 ,    11582         ,
27 ,    405 ,     b ,    0 ,     1 ,     124889 ,    129237 ,    14409         ,
27 ,    445 ,     b ,    0 ,     1 ,     150458 ,    155004 ,    17457         ,
27 ,    485 ,     b ,    0 ,     1 ,     179454 ,    186252 ,    20784         ,
27 ,    525 ,     b ,    0 ,     1 ,     208614 ,    213192 ,    23921         ,
27 ,    565 ,     b ,    0 ,     1 ,     239368 ,    240114 ,    27295         ,
27 ,    605 ,     b ,    0 ,     1 ,     275777 ,    279201 ,    34199         ,
27 ,    645 ,     b ,    0 ,     1 ,     312920 ,    315690 ,    36102         ,
27 ,    685 ,     b ,    0 ,     1 ,     352595 ,    354975 ,    40610         ,
27 ,    725 ,     b ,    0 ,     1 ,     394994 ,    397632 ,    47327         ,
27 ,    765 ,     b ,    0 ,     1 ,     439283 ,    441159 ,    52437         ,
27 ,    805 ,     b ,    0 ,     1 ,     487822 ,    492636 ,    58318         ,
27 ,    845 ,     b ,    0 ,     1 ,     539401 ,    548433 ,    64958         ,
27 ,    885 ,     b ,    0 ,     1 ,     591320 ,    600450 ,    68933         ,
27 ,    925 ,     b ,    0 ,     1 ,     643611 ,    648783 ,    76669         ,
27 ,    965 ,     b ,    0 ,     1 ,     704212 ,    717246 ,    84364         ,
27 ,    1005 ,     b ,    0 ,     1 ,     764138 ,    778884 ,    89847         ,
27 ,    1045 ,     b ,    0 ,     1 ,     824266 ,    836328 ,    99999         ,
27 ,    1085 ,     b ,    0 ,     1 ,     883549 ,    886437 ,    107556         ,
27 ,    1125 ,     b ,    0 ,     1 ,     948661 ,    949233 ,    112899         ,
27 ,    1165 ,     b ,    0 ,     1 ,     1015811 ,    1013343 ,    120002         ,
27 ,    1205 ,     b ,    0 ,     1 ,     1087417 ,    1086021 ,    129057         ,
27 ,    1245 ,     b ,    0 ,     1 ,     1162931 ,    1165623 ,    137915         ,
27 ,    1285 ,     b ,    0 ,     1 ,     1238384 ,    1240242 ,    147326         ,
27 ,    1325 ,     b ,    0 ,     1 ,     1318552 ,    1324206 ,    154946         ,
27 ,    1365 ,     b ,    0 ,     1 ,     1402017 ,    1413261 ,    165558         ,
27 ,    1405 ,     b ,    0 ,     1 ,     1481319 ,    1485027 ,    175856         ,
27 ,    1445 ,     b ,    0 ,     1 ,     1562991 ,    1559103 ,    186977         ,
27 ,    1485 ,     b ,    0 ,     1 ,     1651660 ,    1649370 ,    197407         ,
27 ,    1525 ,     b ,    0 ,     1 ,     1740505 ,    1735365 ,    207668         ,
27 ,    1565 ,     b ,    0 ,     1 ,     1838435 ,    1843815 ,    220288         ,
27 ,    1605 ,     b ,    0 ,     1 ,     1933407 ,    1938591 ,    231130         ,
27 ,    1645 ,     b ,    0 ,     1 ,     2034661 ,    2047413 ,    240743         ,
27 ,    1685 ,     b ,    0 ,     1 ,     2133512 ,    2144226 ,    252749         ,
27 ,    1725 ,     b ,    0 ,     1 ,     2234206 ,    2241768 ,    271152         ,
27 ,    1765 ,     b ,    0 ,     1 ,     2337771 ,    2343123 ,    280469         ,
27 ,    1805 ,     b ,    0 ,     1 ,     2444285 ,    2448525 ,    289855         ,
27 ,    1845 ,     b ,    0 ,     1 ,     2555727 ,    2563911 ,    306611         ,
27 ,    1885 ,     b ,    0 ,     1 ,     2671623 ,    2687859 ,    321486         ,
27 ,    1925 ,     b ,    0 ,     1 ,     2785642 ,    2801376 ,    330945         ,
27 ,    1965 ,     b ,    0 ,     1 ,     2900477 ,    2912541 ,    349023         ,
27 ,    2005 ,     b ,    0 ,     1 ,     3021449 ,    3037317 ,    364431         ,
27 ,    2045 ,     b ,    0 ,     1 ,     3147402 ,    3172236 ,    386469         ,
27 ,    2085 ,     b ,    0 ,     1 ,     3266315 ,    3281235 ,    397670         ,
27 ,    2125 ,     b ,    0 ,     1 ,     3387621 ,    3392613 ,    410214         ,
27 ,    2165 ,     b ,    0 ,     1 ,     3513005 ,    3511425 ,    419533         ,
27 ,    2205 ,     b ,    0 ,     1 ,     3642592 ,    3638046 ,    434576         ,
