SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     bk ,    0 ,     0 ,     5 ,    0 ,    4         ,
27 ,    45 ,     bk ,    0 ,     0 ,     45 ,    0 ,    20         ,
27 ,    85 ,     bk ,    0 ,     0 ,     85 ,    0 ,    28         ,
27 ,    125 ,     bk ,    0 ,     0 ,     125 ,    0 ,    37         ,
27 ,    165 ,     bk ,    0 ,     0 ,     165 ,    0 ,    46         ,
27 ,    205 ,     bk ,    0 ,     0 ,     205 ,    0 ,    55         ,
27 ,    245 ,     bk ,    0 ,     0 ,     245 ,    0 ,    64         ,
27 ,    285 ,     bk ,    0 ,     0 ,     285 ,    0 ,    76         ,
27 ,    325 ,     bk ,    0 ,     0 ,     325 ,    0 ,    84         ,
27 ,    365 ,     bk ,    0 ,     0 ,     365 ,    0 ,    91         ,
27 ,    405 ,     bk ,    0 ,     0 ,     405 ,    0 ,    497         ,
27 ,    445 ,     bk ,    0 ,     0 ,     445 ,    0 ,    484         ,
27 ,    485 ,     bk ,    0 ,     0 ,     485 ,    0 ,    537         ,
27 ,    525 ,     bk ,    0 ,     0 ,     525 ,    0 ,    463         ,
27 ,    565 ,     bk ,    0 ,     0 ,     565 ,    0 ,    572         ,
27 ,    605 ,     bk ,    0 ,     0 ,     605 ,    0 ,    471         ,
27 ,    645 ,     bk ,    0 ,     0 ,     645 ,    0 ,    593         ,
27 ,    685 ,     bk ,    0 ,     0 ,     685 ,    0 ,    545         ,
27 ,    725 ,     bk ,    0 ,     0 ,     725 ,    0 ,    536         ,
27 ,    765 ,     bk ,    0 ,     0 ,     765 ,    0 ,    549         ,
27 ,    805 ,     bk ,    0 ,     0 ,     805 ,    0 ,    580         ,
27 ,    845 ,     bk ,    0 ,     0 ,     845 ,    0 ,    519         ,
27 ,    885 ,     bk ,    0 ,     0 ,     885 ,    0 ,    600         ,
27 ,    925 ,     bk ,    0 ,     0 ,     925 ,    0 ,    602         ,
27 ,    965 ,     bk ,    0 ,     0 ,     965 ,    0 ,    596         ,
27 ,    1005 ,     bk ,    0 ,     0 ,     1005 ,    0 ,    611         ,
27 ,    1045 ,     bk ,    0 ,     0 ,     1045 ,    0 ,    638         ,
27 ,    1085 ,     bk ,    0 ,     0 ,     1085 ,    0 ,    618         ,
27 ,    1125 ,     bk ,    0 ,     0 ,     1125 ,    0 ,    643         ,
27 ,    1165 ,     bk ,    0 ,     0 ,     1165 ,    0 ,    650         ,
27 ,    1205 ,     bk ,    0 ,     0 ,     1205 ,    0 ,    675         ,
27 ,    1245 ,     bk ,    0 ,     0 ,     1245 ,    0 ,    866         ,
27 ,    1285 ,     bk ,    0 ,     0 ,     1285 ,    0 ,    692         ,
27 ,    1325 ,     bk ,    0 ,     0 ,     1325 ,    0 ,    637         ,
27 ,    1365 ,     bk ,    0 ,     0 ,     1365 ,    0 ,    713         ,
27 ,    1405 ,     bk ,    0 ,     0 ,     1405 ,    0 ,    829         ,
27 ,    1445 ,     bk ,    0 ,     0 ,     1445 ,    0 ,    709         ,
27 ,    1485 ,     bk ,    0 ,     0 ,     1485 ,    0 ,    760         ,
27 ,    1525 ,     bk ,    0 ,     0 ,     1525 ,    0 ,    756         ,
27 ,    1565 ,     bk ,    0 ,     0 ,     1565 ,    0 ,    747         ,
27 ,    1605 ,     bk ,    0 ,     0 ,     1605 ,    0 ,    779         ,
27 ,    1645 ,     bk ,    0 ,     0 ,     1645 ,    0 ,    1060         ,
27 ,    1685 ,     bk ,    0 ,     0 ,     1685 ,    0 ,    777         ,
27 ,    1725 ,     bk ,    0 ,     0 ,     1725 ,    0 ,    812         ,
27 ,    1765 ,     bk ,    0 ,     0 ,     1765 ,    0 ,    829         ,
27 ,    1805 ,     bk ,    0 ,     0 ,     1805 ,    0 ,    839         ,
27 ,    1845 ,     bk ,    0 ,     0 ,     1845 ,    0 ,    911         ,
27 ,    1885 ,     bk ,    0 ,     0 ,     1885 ,    0 ,    883         ,
27 ,    1925 ,     bk ,    0 ,     0 ,     1925 ,    0 ,    844         ,
27 ,    1965 ,     bk ,    0 ,     0 ,     1965 ,    0 ,    878         ,
27 ,    2005 ,     bk ,    0 ,     0 ,     2005 ,    0 ,    908         ,
27 ,    2045 ,     bk ,    0 ,     0 ,     2045 ,    0 ,    919         ,
27 ,    2085 ,     bk ,    0 ,     0 ,     2085 ,    0 ,    914         ,
27 ,    2125 ,     bk ,    0 ,     0 ,     2125 ,    0 ,    1145         ,
27 ,    2165 ,     bk ,    0 ,     0 ,     2165 ,    0 ,    903         ,
27 ,    2205 ,     bk ,    0 ,     0 ,     2205 ,    0 ,    982         ,
27 ,    2245 ,     bk ,    0 ,     0 ,     2245 ,    0 ,    945         ,
27 ,    2285 ,     bk ,    0 ,     0 ,     2285 ,    0 ,    958         ,
27 ,    2325 ,     bk ,    0 ,     0 ,     2325 ,    0 ,    989         ,
27 ,    2365 ,     bk ,    0 ,     0 ,     2365 ,    0 ,    1228         ,
27 ,    2405 ,     bk ,    0 ,     0 ,     2405 ,    0 ,    2221         ,
27 ,    2445 ,     bk ,    0 ,     0 ,     2445 ,    0 ,    1056         ,
27 ,    2485 ,     bk ,    0 ,     0 ,     2485 ,    0 ,    1034         ,
27 ,    2525 ,     bk ,    0 ,     0 ,     2525 ,    0 ,    1026         ,
27 ,    2565 ,     bk ,    0 ,     0 ,     2565 ,    0 ,    1057         ,
27 ,    2605 ,     bk ,    0 ,     0 ,     2605 ,    0 ,    1092         ,
27 ,    2645 ,     bk ,    0 ,     0 ,     2645 ,    0 ,    1091         ,
27 ,    2685 ,     bk ,    0 ,     0 ,     2685 ,    0 ,    1099         ,
27 ,    2725 ,     bk ,    0 ,     0 ,     2725 ,    0 ,    1160         ,
27 ,    2765 ,     bk ,    0 ,     0 ,     2765 ,    0 ,    1171         ,
27 ,    2805 ,     bk ,    0 ,     0 ,     2805 ,    0 ,    1859         ,
27 ,    2845 ,     bk ,    0 ,     0 ,     2845 ,    0 ,    1495         ,
27 ,    2885 ,     bk ,    0 ,     0 ,     2885 ,    0 ,    1210         ,
27 ,    2925 ,     bk ,    0 ,     0 ,     2925 ,    0 ,    1257         ,
27 ,    2965 ,     bk ,    0 ,     0 ,     2965 ,    0 ,    1206         ,
27 ,    3005 ,     bk ,    0 ,     0 ,     3005 ,    0 ,    1251         ,
27 ,    3045 ,     bk ,    0 ,     0 ,     3045 ,    0 ,    1238         ,
27 ,    3085 ,     bk ,    0 ,     0 ,     3085 ,    0 ,    1734         ,
27 ,    3125 ,     bk ,    0 ,     0 ,     3125 ,    0 ,    1247         ,
27 ,    3165 ,     bk ,    0 ,     0 ,     3165 ,    0 ,    1300         ,
27 ,    3205 ,     bk ,    0 ,     0 ,     3205 ,    0 ,    1321         ,
27 ,    3245 ,     bk ,    0 ,     0 ,     3245 ,    0 ,    1411         ,
27 ,    3285 ,     bk ,    0 ,     0 ,     3285 ,    0 ,    1898         ,
27 ,    3325 ,     bk ,    0 ,     0 ,     3325 ,    0 ,    1351         ,
27 ,    3365 ,     bk ,    0 ,     0 ,     3365 ,    0 ,    1341         ,
27 ,    3405 ,     bk ,    0 ,     0 ,     3405 ,    0 ,    1392         ,
27 ,    3445 ,     bk ,    0 ,     0 ,     3445 ,    0 ,    1397         ,
27 ,    3485 ,     bk ,    0 ,     0 ,     3485 ,    0 ,    1400         ,
27 ,    3525 ,     bk ,    0 ,     0 ,     3525 ,    0 ,    1408         ,
27 ,    3565 ,     bk ,    0 ,     0 ,     3565 ,    0 ,    1484         ,
27 ,    3605 ,     bk ,    0 ,     0 ,     3605 ,    0 ,    1485         ,
27 ,    3645 ,     bk ,    0 ,     0 ,     3645 ,    0 ,    1856         ,
27 ,    3685 ,     bk ,    0 ,     0 ,     3685 ,    0 ,    1500         ,
27 ,    3725 ,     bk ,    0 ,     0 ,     3725 ,    0 ,    1510         ,
27 ,    3765 ,     bk ,    0 ,     0 ,     3765 ,    0 ,    1588         ,
27 ,    3805 ,     bk ,    0 ,     0 ,     3805 ,    0 ,    1548         ,
27 ,    3845 ,     bk ,    0 ,     0 ,     3845 ,    0 ,    1575         ,
27 ,    3885 ,     bk ,    0 ,     0 ,     3885 ,    0 ,    1667         ,
27 ,    3925 ,     bk ,    0 ,     0 ,     3925 ,    0 ,    2616         ,
27 ,    3965 ,     bk ,    0 ,     0 ,     3965 ,    0 ,    2969         ,
27 ,    4005 ,     bk ,    0 ,     0 ,     4005 ,    0 ,    2303         ,
27 ,    4045 ,     bk ,    0 ,     0 ,     4045 ,    0 ,    1784         ,
27 ,    4085 ,     bk ,    0 ,     0 ,     4085 ,    0 ,    1692         ,
27 ,    4125 ,     bk ,    0 ,     0 ,     4125 ,    0 ,    2114         ,
27 ,    4165 ,     bk ,    0 ,     0 ,     4165 ,    0 ,    1776         ,
27 ,    4205 ,     bk ,    0 ,     0 ,     4205 ,    0 ,    1769         ,
27 ,    4245 ,     bk ,    0 ,     0 ,     4245 ,    0 ,    1922         ,
27 ,    4285 ,     bk ,    0 ,     0 ,     4285 ,    0 ,    1852         ,
27 ,    4325 ,     bk ,    0 ,     0 ,     4325 ,    0 ,    1805         ,
27 ,    4365 ,     bk ,    0 ,     0 ,     4365 ,    0 ,    1922         ,
27 ,    4405 ,     bk ,    0 ,     0 ,     4405 ,    0 ,    5183         ,
27 ,    4445 ,     bk ,    0 ,     0 ,     4445 ,    0 ,    3840         ,
27 ,    4485 ,     bk ,    0 ,     0 ,     4485 ,    0 ,    2411         ,
27 ,    4525 ,     bk ,    0 ,     0 ,     4525 ,    0 ,    1869         ,
27 ,    4565 ,     bk ,    0 ,     0 ,     4565 ,    0 ,    2012         ,
27 ,    4605 ,     bk ,    0 ,     0 ,     4605 ,    0 ,    1905         ,
27 ,    4645 ,     bk ,    0 ,     0 ,     4645 ,    0 ,    1983         ,
27 ,    4685 ,     bk ,    0 ,     0 ,     4685 ,    0 ,    1937         ,
27 ,    4725 ,     bk ,    0 ,     0 ,     4725 ,    0 ,    1976         ,
27 ,    4765 ,     bk ,    0 ,     0 ,     4765 ,    0 ,    1963         ,
27 ,    4805 ,     bk ,    0 ,     0 ,     4805 ,    0 ,    2169         ,
27 ,    4845 ,     bk ,    0 ,     0 ,     4845 ,    0 ,    2316         ,
27 ,    4885 ,     bk ,    0 ,     0 ,     4885 ,    0 ,    2103         ,
27 ,    4925 ,     bk ,    0 ,     0 ,     4925 ,    0 ,    2360         ,
27 ,    4965 ,     bk ,    0 ,     0 ,     4965 ,    0 ,    2073         ,
27 ,    5 ,     bk ,    1 ,     0 ,     5 ,    0 ,    7         ,
27 ,    45 ,     bk ,    1 ,     0 ,     45 ,    0 ,    12         ,
27 ,    85 ,     bk ,    1 ,     0 ,     85 ,    0 ,    18         ,
