SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     h ,    0 ,     1 ,     11 ,    18 ,    6         ,
27 ,    45 ,     h ,    0 ,     1 ,     266 ,    450 ,    62         ,
27 ,    85 ,     h ,    0 ,     1 ,     712 ,    1141 ,    162         ,
27 ,    125 ,     h ,    0 ,     1 ,     1072 ,    1703 ,    242         ,
27 ,    165 ,     h ,    0 ,     1 ,     1723 ,    2717 ,    376         ,
27 ,    205 ,     h ,    0 ,     1 ,     2106 ,    3341 ,    504         ,
27 ,    245 ,     h ,    0 ,     1 ,     2584 ,    4060 ,    602         ,
27 ,    285 ,     h ,    0 ,     1 ,     3348 ,    5348 ,    803         ,
27 ,    325 ,     h ,    0 ,     1 ,     4210 ,    6489 ,    951         ,
27 ,    365 ,     h ,    0 ,     1 ,     4428 ,    6989 ,    995         ,
27 ,    405 ,     h ,    0 ,     1 ,     5090 ,    7930 ,    1131         ,
27 ,    445 ,     h ,    0 ,     1 ,     5688 ,    8810 ,    1260         ,
27 ,    485 ,     h ,    0 ,     1 ,     6217 ,    9618 ,    1438         ,
27 ,    525 ,     h ,    0 ,     1 ,     8596 ,    12800 ,    1916         ,
27 ,    565 ,     h ,    0 ,     1 ,     8429 ,    12954 ,    1843         ,
27 ,    605 ,     h ,    0 ,     1 ,     8738 ,    13584 ,    1962         ,
27 ,    645 ,     h ,    0 ,     1 ,     10398 ,    15562 ,    2336         ,
27 ,    685 ,     h ,    0 ,     1 ,     10099 ,    15585 ,    2309         ,
27 ,    725 ,     h ,    0 ,     1 ,     10183 ,    15989 ,    2306         ,
27 ,    765 ,     h ,    0 ,     1 ,     11013 ,    17141 ,    2579         ,
27 ,    805 ,     h ,    0 ,     1 ,     12468 ,    18913 ,    2714         ,
27 ,    845 ,     h ,    0 ,     1 ,     13302 ,    20068 ,    2941         ,
27 ,    885 ,     h ,    0 ,     1 ,     12931 ,    20018 ,    2968         ,
27 ,    925 ,     h ,    0 ,     1 ,     14283 ,    21690 ,    3189         ,
27 ,    965 ,     h ,    0 ,     1 ,     15288 ,    23014 ,    3396         ,
27 ,    1005 ,     h ,    0 ,     1 ,     16200 ,    24248 ,    3531         ,
27 ,    1045 ,     h ,    0 ,     1 ,     18734 ,    28143 ,    4241         ,
27 ,    1085 ,     h ,    0 ,     1 ,     17919 ,    27690 ,    3964         ,
27 ,    1125 ,     h ,    0 ,     1 ,     18816 ,    28946 ,    4079         ,
27 ,    1165 ,     h ,    0 ,     1 ,     19764 ,    30254 ,    4444         ,
27 ,    1205 ,     h ,    0 ,     1 ,     20480 ,    31331 ,    4583         ,
27 ,    1245 ,     h ,    0 ,     1 ,     19891 ,    31103 ,    4565         ,
27 ,    1285 ,     h ,    0 ,     1 ,     26917 ,    38486 ,    5540         ,
27 ,    1325 ,     h ,    0 ,     1 ,     22406 ,    34337 ,    4991         ,
27 ,    1365 ,     h ,    0 ,     1 ,     22902 ,    35193 ,    5208         ,
27 ,    1405 ,     h ,    0 ,     1 ,     23522 ,    36175 ,    5340         ,
27 ,    1445 ,     h ,    0 ,     1 ,     23810 ,    36821 ,    5307         ,
27 ,    1485 ,     h ,    0 ,     1 ,     26960 ,    40332 ,    6123         ,
27 ,    1525 ,     h ,    0 ,     1 ,     25295 ,    39028 ,    5753         ,
27 ,    1565 ,     h ,    0 ,     1 ,     31131 ,    45222 ,    6589         ,
27 ,    1605 ,     h ,    0 ,     1 ,     29590 ,    44040 ,    6331         ,
27 ,    1645 ,     h ,    0 ,     1 ,     29837 ,    44649 ,    6726         ,
27 ,    1685 ,     h ,    0 ,     1 ,     29578 ,    44749 ,    6731         ,
27 ,    1725 ,     h ,    0 ,     1 ,     30087 ,    45620 ,    6769         ,
27 ,    1765 ,     h ,    0 ,     1 ,     31313 ,    47205 ,    6855         ,
27 ,    1805 ,     h ,    0 ,     1 ,     37312 ,    53563 ,    7794         ,
27 ,    1845 ,     h ,    0 ,     1 ,     33170 ,    49782 ,    7249         ,
27 ,    1885 ,     h ,    0 ,     1 ,     32619 ,    49592 ,    7301         ,
27 ,    1925 ,     h ,    0 ,     1 ,     37020 ,    54351 ,    7950         ,
27 ,    1965 ,     h ,    0 ,     1 ,     35678 ,    53371 ,    7817         ,
27 ,    2005 ,     h ,    0 ,     1 ,     36878 ,    54931 ,    8177         ,
27 ,    2045 ,     h ,    0 ,     1 ,     37744 ,    56159 ,    8333         ,
27 ,    2085 ,     h ,    0 ,     1 ,     44361 ,    65215 ,    9342         ,
27 ,    2125 ,     h ,    0 ,     1 ,     41294 ,    62549 ,    9024         ,
27 ,    2165 ,     h ,    0 ,     1 ,     41187 ,    62843 ,    9443         ,
27 ,    2205 ,     h ,    0 ,     1 ,     41418 ,    63474 ,    9262         ,
27 ,    2245 ,     h ,    0 ,     1 ,     43128 ,    65583 ,    9532         ,
27 ,    2285 ,     h ,    0 ,     1 ,     42876 ,    65733 ,    9581         ,
27 ,    2325 ,     h ,    0 ,     1 ,     46514 ,    69769 ,    11773         ,
27 ,    2365 ,     h ,    0 ,     1 ,     46913 ,    70570 ,    10199         ,
27 ,    2405 ,     h ,    0 ,     1 ,     46030 ,    70086 ,    10017         ,
27 ,    2445 ,     h ,    0 ,     1 ,     49391 ,    73847 ,    10944         ,
27 ,    2485 ,     h ,    0 ,     1 ,     47582 ,    72439 ,    10471         ,
27 ,    2525 ,     h ,    0 ,     1 ,     47120 ,    72378 ,    10442         ,
27 ,    2565 ,     h ,    0 ,     1 ,     68832 ,    94486 ,    13416         ,
27 ,    2605 ,     h ,    0 ,     1 ,     54513 ,    80569 ,    12106         ,
27 ,    2645 ,     h ,    0 ,     1 ,     51747 ,    78203 ,    11493         ,
27 ,    2685 ,     h ,    0 ,     1 ,     51161 ,    78019 ,    11348         ,
27 ,    2725 ,     h ,    0 ,     1 ,     53334 ,    80590 ,    13480         ,
27 ,    2765 ,     h ,    0 ,     1 ,     55785 ,    83442 ,    12019         ,
27 ,    2805 ,     h ,    0 ,     1 ,     54513 ,    82571 ,    12032         ,
27 ,    2845 ,     h ,    0 ,     1 ,     59943 ,    88400 ,    12983         ,
27 ,    2885 ,     h ,    0 ,     1 ,     57651 ,    86507 ,    12603         ,
27 ,    2925 ,     h ,    0 ,     1 ,     55939 ,    85197 ,    12450         ,
27 ,    2965 ,     h ,    0 ,     1 ,     62350 ,    92007 ,    13342         ,
27 ,    3005 ,     h ,    0 ,     1 ,     57130 ,    87189 ,    14869         ,
27 ,    3045 ,     h ,    0 ,     1 ,     58527 ,    88985 ,    13227         ,
27 ,    3085 ,     h ,    0 ,     1 ,     84969 ,    115824 ,    16754         ,
27 ,    3125 ,     h ,    0 ,     1 ,     70473 ,    101729 ,    14620         ,
27 ,    3165 ,     h ,    0 ,     1 ,     65839 ,    97496 ,    14177         ,
27 ,    3205 ,     h ,    0 ,     1 ,     68465 ,    100520 ,    14755         ,
27 ,    3245 ,     h ,    0 ,     1 ,     66632 ,    99089 ,    14669         ,
27 ,    3285 ,     h ,    0 ,     1 ,     69553 ,    102410 ,    14801         ,
27 ,    3325 ,     h ,    0 ,     1 ,     69099 ,    102358 ,    15059         ,
27 ,    3365 ,     h ,    0 ,     1 ,     70914 ,    104570 ,    15431         ,
27 ,    3405 ,     h ,    0 ,     1 ,     73498 ,    107555 ,    15599         ,
27 ,    3445 ,     h ,    0 ,     1 ,     69708 ,    104166 ,    15425         ,
