SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     i ,    0 ,     1 ,     11 ,    15 ,    8         ,
27 ,    45 ,     i ,    0 ,     1 ,     520 ,    564 ,    79         ,
27 ,    85 ,     i ,    0 ,     1 ,     1913 ,    1997 ,    1666         ,
27 ,    125 ,     i ,    0 ,     1 ,     3952 ,    4076 ,    1814         ,
27 ,    165 ,     i ,    0 ,     1 ,     6938 ,    7102 ,    917         ,
27 ,    205 ,     i ,    0 ,     1 ,     10709 ,    10913 ,    1387         ,
27 ,    245 ,     i ,    0 ,     1 ,     15547 ,    15791 ,    1995         ,
27 ,    285 ,     i ,    0 ,     1 ,     20253 ,    20537 ,    2589         ,
27 ,    325 ,     i ,    0 ,     1 ,     27447 ,    27771 ,    3519         ,
27 ,    365 ,     i ,    0 ,     1 ,     34906 ,    35270 ,    4441         ,
27 ,    405 ,     i ,    0 ,     1 ,     43483 ,    43887 ,    5513         ,
27 ,    445 ,     i ,    0 ,     1 ,     52112 ,    52556 ,    6860         ,
27 ,    485 ,     i ,    0 ,     1 ,     62568 ,    63052 ,    35070         ,
27 ,    525 ,     i ,    0 ,     1 ,     71588 ,    72112 ,    11809         ,
27 ,    565 ,     i ,    0 ,     1 ,     80602 ,    81166 ,    10330         ,
27 ,    605 ,     i ,    0 ,     1 ,     93671 ,    94275 ,    20812         ,
27 ,    645 ,     i ,    0 ,     1 ,     105874 ,    106518 ,    13862         ,
27 ,    685 ,     i ,    0 ,     1 ,     119009 ,    119693 ,    15472         ,
27 ,    725 ,     i ,    0 ,     1 ,     133268 ,    133992 ,    22969         ,
27 ,    765 ,     i ,    0 ,     1 ,     147817 ,    148581 ,    19227         ,
27 ,    805 ,     i ,    0 ,     1 ,     165016 ,    165820 ,    21029         ,
27 ,    845 ,     i ,    0 ,     1 ,     183655 ,    184499 ,    26196         ,
27 ,    885 ,     i ,    0 ,     1 ,     201034 ,    201918 ,    25535         ,
27 ,    925 ,     i ,    0 ,     1 ,     217185 ,    218109 ,    32294         ,
27 ,    965 ,     i ,    0 ,     1 ,     240046 ,    241010 ,    189427         ,
27 ,    1005 ,     i ,    0 ,     1 ,     260632 ,    261636 ,    36439         ,
27 ,    1045 ,     i ,    0 ,     1 ,     279820 ,    280864 ,    40162         ,
27 ,    1085 ,     i ,    0 ,     1 ,     296563 ,    297647 ,    38080         ,
27 ,    1125 ,     i ,    0 ,     1 ,     317535 ,    318659 ,    176255         ,
27 ,    1165 ,     i ,    0 ,     1 ,     338945 ,    340109 ,    56540         ,
27 ,    1205 ,     i ,    0 ,     1 ,     363211 ,    364415 ,    65590         ,
27 ,    1245 ,     i ,    0 ,     1 ,     389785 ,    391029 ,    194975         ,
27 ,    1285 ,     i ,    0 ,     1 ,     414698 ,    415982 ,    75145         ,
27 ,    1325 ,     i ,    0 ,     1 ,     442726 ,    444050 ,    58416         ,
27 ,    1365 ,     i ,    0 ,     1 ,     472451 ,    473815 ,    173659         ,
27 ,    1405 ,     i ,    0 ,     1 ,     496413 ,    497817 ,    76933         ,
27 ,    1445 ,     i ,    0 ,     1 ,     521145 ,    522589 ,    72165         ,
27 ,    1485 ,     i ,    0 ,     1 ,     551274 ,    552758 ,    79158         ,
27 ,    1525 ,     i ,    0 ,     1 ,     579979 ,    581503 ,    162430         ,
27 ,    1565 ,     i ,    0 ,     1 ,     616169 ,    617733 ,    100895         ,
27 ,    1605 ,     i ,    0 ,     1 ,     647801 ,    649405 ,    99305         ,
27 ,    1645 ,     i ,    0 ,     1 ,     684115 ,    685759 ,    192906         ,
27 ,    1685 ,     i ,    0 ,     1 ,     716426 ,    718110 ,    422191         ,
27 ,    1725 ,     i ,    0 ,     1 ,     748980 ,    750704 ,    362597         ,
27 ,    1765 ,     i ,    0 ,     1 ,     782805 ,    784569 ,    164027         ,
27 ,    1805 ,     i ,    0 ,     1 ,     817979 ,    819783 ,    109884         ,
27 ,    1845 ,     i ,    0 ,     1 ,     856481 ,    858325 ,    111575         ,
27 ,    1885 ,     i ,    0 ,     1 ,     897837 ,    899721 ,    234867         ,
27 ,    1925 ,     i ,    0 ,     1 ,     935716 ,    937640 ,    200187         ,
27 ,    1965 ,     i ,    0 ,     1 ,     972811 ,    974775 ,    196765         ,
27 ,    2005 ,     i ,    0 ,     1 ,     1014443 ,    1016447 ,    148953         ,
27 ,    2045 ,     i ,    0 ,     1 ,     1059456 ,    1061500 ,    234684         ,
27 ,    2085 ,     i ,    0 ,     1 ,     1095829 ,    1097913 ,    145707         ,
27 ,    2125 ,     i ,    0 ,     1 ,     1132995 ,    1135119 ,    178391         ,
27 ,    2165 ,     i ,    0 ,     1 ,     1172639 ,    1174803 ,    161737         ,
27 ,    2205 ,     i ,    0 ,     1 ,     1214886 ,    1217090 ,    171874         ,
27 ,    2245 ,     i ,    0 ,     1 ,     1252463 ,    1254707 ,    263715         ,
27 ,    2285 ,     i ,    0 ,     1 ,     1292827 ,    1295111 ,    182130         ,
27 ,    2325 ,     i ,    0 ,     1 ,     1338434 ,    1340758 ,    181029         ,
27 ,    2365 ,     i ,    0 ,     1 ,     1384315 ,    1386679 ,    289301         ,
27 ,    2405 ,     i ,    0 ,     1 ,     1434656 ,    1437060 ,    298083         ,
27 ,    2445 ,     i ,    0 ,     1 ,     1482910 ,    1485354 ,    300303         ,
27 ,    2485 ,     i ,    0 ,     1 ,     1535798 ,    1538282 ,    214734         ,
27 ,    2525 ,     i ,    0 ,     1 ,     1589623 ,    1592147 ,    345599         ,
27 ,    2565 ,     i ,    0 ,     1 ,     1641176 ,    1643740 ,    563001         ,
27 ,    2605 ,     i ,    0 ,     1 ,     1693439 ,    1696043 ,    536777         ,
27 ,    2645 ,     i ,    0 ,     1 ,     1747983 ,    1750627 ,    910023         ,
27 ,    2685 ,     i ,    0 ,     1 ,     1799144 ,    1801828 ,    490526         ,
27 ,    2725 ,     i ,    0 ,     1 ,     1852344 ,    1855068 ,    611233         ,
27 ,    2765 ,     i ,    0 ,     1 ,     1901627 ,    1904391 ,    720620         ,
27 ,    2805 ,     i ,    0 ,     1 ,     1951753 ,    1954557 ,    635036         ,
27 ,    2845 ,     i ,    0 ,     1 ,     2010060 ,    2012904 ,    531748         ,
27 ,    2885 ,     i ,    0 ,     1 ,     2064463 ,    2067347 ,    323319         ,
27 ,    2925 ,     i ,    0 ,     1 ,     2124426 ,    2127350 ,    415163         ,
27 ,    2965 ,     i ,    0 ,     1 ,     2191397 ,    2194361 ,    416882         ,
27 ,    3005 ,     i ,    0 ,     1 ,     2253090 ,    2256094 ,    355997         ,
27 ,    3045 ,     i ,    0 ,     1 ,     2301722 ,    2304766 ,    310441         ,
27 ,    3085 ,     i ,    0 ,     1 ,     2354455 ,    2357539 ,    422460         ,
27 ,    3125 ,     i ,    0 ,     1 ,     2410655 ,    2413779 ,    405877         ,
27 ,    3165 ,     i ,    0 ,     1 ,     2474771 ,    2477935 ,    479146         ,
27 ,    3205 ,     i ,    0 ,     1 ,     2541813 ,    2545017 ,    407511         ,
27 ,    3245 ,     i ,    0 ,     1 ,     2604137 ,    2607381 ,    395715         ,
27 ,    3285 ,     i ,    0 ,     1 ,     2669651 ,    2672935 ,    419752         ,
27 ,    3325 ,     i ,    0 ,     1 ,     2722616 ,    2725940 ,    373545         ,
27 ,    3365 ,     i ,    0 ,     1 ,     2783570 ,    2786934 ,    460009         ,
27 ,    3405 ,     i ,    0 ,     1 ,     2846675 ,    2850079 ,    421071         ,
27 ,    3445 ,     i ,    0 ,     1 ,     2912944 ,    2916388 ,    451244         ,
27 ,    3485 ,     i ,    0 ,     1 ,     2981773 ,    2985257 ,    444525         ,
27 ,    3525 ,     i ,    0 ,     1 ,     3048084 ,    3051608 ,    464637         ,
27 ,    3565 ,     i ,    0 ,     1 ,     3112860 ,    3116424 ,    510424         ,
27 ,    3605 ,     i ,    0 ,     1 ,     3193692 ,    3197296 ,    492936         ,
27 ,    3645 ,     i ,    0 ,     1 ,     3274373 ,    3278017 ,    578500         ,
27 ,    3685 ,     i ,    0 ,     1 ,     3350263 ,    3353947 ,    480011         ,
27 ,    3725 ,     i ,    0 ,     1 ,     3422811 ,    3426535 ,    452134         ,
27 ,    3765 ,     i ,    0 ,     1 ,     3494983 ,    3498747 ,    477113         ,
27 ,    3805 ,     i ,    0 ,     1 ,     3564385 ,    3568189 ,    474504         ,
27 ,    3845 ,     i ,    0 ,     1 ,     3627429 ,    3631273 ,    483500         ,
27 ,    3885 ,     i ,    0 ,     1 ,     3696063 ,    3699947 ,    487002         ,
27 ,    3925 ,     i ,    0 ,     1 ,     3773686 ,    3777610 ,    488273         ,
27 ,    3965 ,     i ,    0 ,     1 ,     3862732 ,    3866696 ,    505334         ,
27 ,    4005 ,     i ,    0 ,     1 ,     3930605 ,    3934609 ,    517527         ,
27 ,    4045 ,     i ,    0 ,     1 ,     4018546 ,    4022590 ,    538750         ,
27 ,    4085 ,     i ,    0 ,     1 ,     4102957 ,    4107041 ,    545595         ,
27 ,    4125 ,     i ,    0 ,     1 ,     4196545 ,    4200669 ,    549721         ,
27 ,    4165 ,     i ,    0 ,     1 ,     4307069 ,    4311233 ,    565542         ,
27 ,    4205 ,     i ,    0 ,     1 ,     4390575 ,    4394779 ,    577669         ,
27 ,    4245 ,     i ,    0 ,     1 ,     4463358 ,    4467602 ,    595169         ,
27 ,    4285 ,     i ,    0 ,     1 ,     4562019 ,    4566303 ,    605055         ,
27 ,    4325 ,     i ,    0 ,     1 ,     4642296 ,    4646620 ,    611284         ,
27 ,    4365 ,     i ,    0 ,     1 ,     4741780 ,    4746144 ,    627992         ,
27 ,    4405 ,     i ,    0 ,     1 ,     4831307 ,    4835711 ,    642678         ,
27 ,    4445 ,     i ,    0 ,     1 ,     4923702 ,    4928146 ,    649535         ,
27 ,    4485 ,     i ,    0 ,     1 ,     5000812 ,    5005296 ,    662115         ,
27 ,    4525 ,     i ,    0 ,     1 ,     5096850 ,    5101374 ,    679683         ,
27 ,    4565 ,     i ,    0 ,     1 ,     5184342 ,    5188906 ,    679604         ,
27 ,    4605 ,     i ,    0 ,     1 ,     5282819 ,    5287423 ,    695531         ,
27 ,    4645 ,     i ,    0 ,     1 ,     5374909 ,    5379553 ,    707097         ,
27 ,    4685 ,     i ,    0 ,     1 ,     5458643 ,    5463327 ,    730297         ,
27 ,    4725 ,     i ,    0 ,     1 ,     5558476 ,    5563200 ,    748110         ,
27 ,    4765 ,     i ,    0 ,     1 ,     5654717 ,    5659481 ,    748473         ,
27 ,    4805 ,     i ,    0 ,     1 ,     5756878 ,    5761682 ,    766905         ,
27 ,    4845 ,     i ,    0 ,     1 ,     5843853 ,    5848697 ,    775841         ,
27 ,    4885 ,     i ,    0 ,     1 ,     5947287 ,    5952171 ,    786832         ,
27 ,    4925 ,     i ,    0 ,     1 ,     6053858 ,    6058782 ,    793640         ,
27 ,    4965 ,     i ,    0 ,     1 ,     6144812 ,    6149776 ,    816043         ,
27 ,    5 ,     i ,    1 ,     1 ,     4 ,    8 ,    4         ,
27 ,    45 ,     i ,    1 ,     1 ,     44 ,    88 ,    11         ,
27 ,    85 ,     i ,    1 ,     1 ,     84 ,    168 ,    20         ,
27 ,    125 ,     i ,    1 ,     1 ,     124 ,    248 ,    31         ,
27 ,    165 ,     i ,    1 ,     1 ,     164 ,    328 ,    39         ,
27 ,    205 ,     i ,    1 ,     1 ,     204 ,    408 ,    48         ,
27 ,    245 ,     i ,    1 ,     1 ,     244 ,    488 ,    57         ,
27 ,    285 ,     i ,    1 ,     1 ,     284 ,    568 ,    68         ,
27 ,    325 ,     i ,    1 ,     1 ,     324 ,    648 ,    76         ,
27 ,    365 ,     i ,    1 ,     1 ,     364 ,    728 ,    87         ,
27 ,    405 ,     i ,    1 ,     1 ,     404 ,    808 ,    94         ,
27 ,    445 ,     i ,    1 ,     1 ,     444 ,    888 ,    105         ,
27 ,    485 ,     i ,    1 ,     1 ,     484 ,    968 ,    115         ,
27 ,    525 ,     i ,    1 ,     1 ,     524 ,    1048 ,    123         ,
27 ,    565 ,     i ,    1 ,     1 ,     564 ,    1128 ,    132         ,
27 ,    605 ,     i ,    1 ,     1 ,     604 ,    1208 ,    143         ,
27 ,    645 ,     i ,    1 ,     1 ,     644 ,    1288 ,    151         ,
27 ,    685 ,     i ,    1 ,     1 ,     684 ,    1368 ,    160         ,
27 ,    725 ,     i ,    1 ,     1 ,     724 ,    1448 ,    170         ,
27 ,    765 ,     i ,    1 ,     1 ,     764 ,    1528 ,    180         ,
27 ,    805 ,     i ,    1 ,     1 ,     804 ,    1608 ,    186         ,
27 ,    845 ,     i ,    1 ,     1 ,     844 ,    1688 ,    198         ,
27 ,    885 ,     i ,    1 ,     1 ,     884 ,    1768 ,    208         ,
27 ,    925 ,     i ,    1 ,     1 ,     924 ,    1848 ,    216         ,
27 ,    965 ,     i ,    1 ,     1 ,     964 ,    1928 ,    227         ,
27 ,    1005 ,     i ,    1 ,     1 ,     1004 ,    2008 ,    237         ,
27 ,    1045 ,     i ,    1 ,     1 ,     1044 ,    2088 ,    1896         ,
27 ,    1085 ,     i ,    1 ,     1 ,     1084 ,    2168 ,    255         ,
27 ,    1125 ,     i ,    1 ,     1 ,     1124 ,    2248 ,    263         ,
27 ,    1165 ,     i ,    1 ,     1 ,     1164 ,    2328 ,    274         ,
27 ,    1205 ,     i ,    1 ,     1 ,     1204 ,    2408 ,    286         ,
27 ,    1245 ,     i ,    1 ,     1 ,     1244 ,    2488 ,    294         ,
27 ,    1285 ,     i ,    1 ,     1 ,     1284 ,    2568 ,    300         ,
27 ,    1325 ,     i ,    1 ,     1 ,     1324 ,    2648 ,    309         ,
27 ,    1365 ,     i ,    1 ,     1 ,     1364 ,    2728 ,    320         ,
27 ,    1405 ,     i ,    1 ,     1 ,     1404 ,    2808 ,    329         ,
27 ,    1445 ,     i ,    1 ,     1 ,     1444 ,    2888 ,    340         ,
27 ,    1485 ,     i ,    1 ,     1 ,     1484 ,    2968 ,    348         ,
27 ,    1525 ,     i ,    1 ,     1 ,     1524 ,    3048 ,    356         ,
27 ,    1565 ,     i ,    1 ,     1 ,     1564 ,    3128 ,    368         ,
27 ,    1605 ,     i ,    1 ,     1 ,     1604 ,    3208 ,    377         ,
27 ,    1645 ,     i ,    1 ,     1 ,     1644 ,    3288 ,    386         ,
27 ,    1685 ,     i ,    1 ,     1 ,     1684 ,    3368 ,    440         ,
27 ,    1725 ,     i ,    1 ,     1 ,     1724 ,    3448 ,    404         ,
27 ,    1765 ,     i ,    1 ,     1 ,     1764 ,    3528 ,    606         ,
27 ,    1805 ,     i ,    1 ,     1 ,     1804 ,    3608 ,    426         ,
27 ,    1845 ,     i ,    1 ,     1 ,     1844 ,    3688 ,    433         ,
27 ,    1885 ,     i ,    1 ,     1 ,     1884 ,    3768 ,    444         ,
27 ,    1925 ,     i ,    1 ,     1 ,     1924 ,    3848 ,    466         ,
27 ,    1965 ,     i ,    1 ,     1 ,     1964 ,    3928 ,    462         ,
27 ,    2005 ,     i ,    1 ,     1 ,     2004 ,    4008 ,    472         ,
27 ,    2045 ,     i ,    1 ,     1 ,     2044 ,    4088 ,    479         ,
27 ,    2085 ,     i ,    1 ,     1 ,     2084 ,    4168 ,    488         ,
27 ,    2125 ,     i ,    1 ,     1 ,     2124 ,    4248 ,    499         ,
27 ,    2165 ,     i ,    1 ,     1 ,     2164 ,    4328 ,    508         ,
27 ,    2205 ,     i ,    1 ,     1 ,     2204 ,    4408 ,    630         ,
27 ,    2245 ,     i ,    1 ,     1 ,     2244 ,    4488 ,    526         ,
27 ,    2285 ,     i ,    1 ,     1 ,     2284 ,    4568 ,    2118         ,
27 ,    2325 ,     i ,    1 ,     1 ,     2324 ,    4648 ,    655         ,
27 ,    2365 ,     i ,    1 ,     1 ,     2364 ,    4728 ,    555         ,
27 ,    2405 ,     i ,    1 ,     1 ,     2404 ,    4808 ,    564         ,
27 ,    2445 ,     i ,    1 ,     1 ,     2444 ,    4888 ,    617         ,
27 ,    2485 ,     i ,    1 ,     1 ,     2484 ,    4968 ,    587         ,
27 ,    2525 ,     i ,    1 ,     1 ,     2524 ,    5048 ,    589         ,
27 ,    2565 ,     i ,    1 ,     1 ,     2564 ,    5128 ,    601         ,
27 ,    2605 ,     i ,    1 ,     1 ,     2604 ,    5208 ,    617         ,
27 ,    2645 ,     i ,    1 ,     1 ,     2644 ,    5288 ,    619         ,
27 ,    2685 ,     i ,    1 ,     1 ,     2684 ,    5368 ,    628         ,
27 ,    2725 ,     i ,    1 ,     1 ,     2724 ,    5448 ,    642         ,
27 ,    2765 ,     i ,    1 ,     1 ,     2764 ,    5528 ,    647         ,
27 ,    2805 ,     i ,    1 ,     1 ,     2804 ,    5608 ,    2369         ,
27 ,    2845 ,     i ,    1 ,     1 ,     2844 ,    5688 ,    667         ,
27 ,    2885 ,     i ,    1 ,     1 ,     2884 ,    5768 ,    682         ,
27 ,    2925 ,     i ,    1 ,     1 ,     2924 ,    5848 ,    686         ,
27 ,    2965 ,     i ,    1 ,     1 ,     2964 ,    5928 ,    697         ,
27 ,    3005 ,     i ,    1 ,     1 ,     3004 ,    6008 ,    705         ,
27 ,    3045 ,     i ,    1 ,     1 ,     3044 ,    6088 ,    716         ,
27 ,    3085 ,     i ,    1 ,     1 ,     3084 ,    6168 ,    721         ,
27 ,    3125 ,     i ,    1 ,     1 ,     3124 ,    6248 ,    743         ,
27 ,    3165 ,     i ,    1 ,     1 ,     3164 ,    6328 ,    745         ,
27 ,    3205 ,     i ,    1 ,     1 ,     3204 ,    6408 ,    750         ,
27 ,    3245 ,     i ,    1 ,     1 ,     3244 ,    6488 ,    768         ,
27 ,    3285 ,     i ,    1 ,     1 ,     3284 ,    6568 ,    793         ,
27 ,    3325 ,     i ,    1 ,     1 ,     3324 ,    6648 ,    783         ,
27 ,    3365 ,     i ,    1 ,     1 ,     3364 ,    6728 ,    805         ,
27 ,    3405 ,     i ,    1 ,     1 ,     3404 ,    6808 ,    802         ,
27 ,    3445 ,     i ,    1 ,     1 ,     3444 ,    6888 ,    807         ,
27 ,    3485 ,     i ,    1 ,     1 ,     3484 ,    6968 ,    817         ,
27 ,    3525 ,     i ,    1 ,     1 ,     3524 ,    7048 ,    825         ,
27 ,    3565 ,     i ,    1 ,     1 ,     3564 ,    7128 ,    842         ,
27 ,    3605 ,     i ,    1 ,     1 ,     3604 ,    7208 ,    856         ,
27 ,    3645 ,     i ,    1 ,     1 ,     3644 ,    7288 ,    868         ,
27 ,    3685 ,     i ,    1 ,     1 ,     3684 ,    7368 ,    873         ,
27 ,    3725 ,     i ,    1 ,     1 ,     3724 ,    7448 ,    900         ,
27 ,    3765 ,     i ,    1 ,     1 ,     3764 ,    7528 ,    1041         ,
27 ,    3805 ,     i ,    1 ,     1 ,     3804 ,    7608 ,    897         ,
27 ,    3845 ,     i ,    1 ,     1 ,     3844 ,    7688 ,    914         ,
27 ,    3885 ,     i ,    1 ,     1 ,     3884 ,    7768 ,    916         ,
27 ,    3925 ,     i ,    1 ,     1 ,     3924 ,    7848 ,    932         ,
27 ,    3965 ,     i ,    1 ,     1 ,     3964 ,    7928 ,    1291         ,
27 ,    4005 ,     i ,    1 ,     1 ,     4004 ,    8008 ,    964         ,
27 ,    4045 ,     i ,    1 ,     1 ,     4044 ,    8088 ,    970         ,
27 ,    4085 ,     i ,    1 ,     1 ,     4084 ,    8168 ,    969         ,
27 ,    4125 ,     i ,    1 ,     1 ,     4124 ,    8248 ,    1130         ,
27 ,    4165 ,     i ,    1 ,     1 ,     4164 ,    8328 ,    997         ,
27 ,    4205 ,     i ,    1 ,     1 ,     4204 ,    8408 ,    984         ,
27 ,    4245 ,     i ,    1 ,     1 ,     4244 ,    8488 ,    1002         ,
27 ,    4285 ,     i ,    1 ,     1 ,     4284 ,    8568 ,    1016         ,
27 ,    4325 ,     i ,    1 ,     1 ,     4324 ,    8648 ,    1072         ,
27 ,    4365 ,     i ,    1 ,     1 ,     4364 ,    8728 ,    1036         ,
27 ,    4405 ,     i ,    1 ,     1 ,     4404 ,    8808 ,    1058         ,
27 ,    4445 ,     i ,    1 ,     1 ,     4444 ,    8888 ,    1049         ,
27 ,    4485 ,     i ,    1 ,     1 ,     4484 ,    8968 ,    1251         ,
27 ,    4525 ,     i ,    1 ,     1 ,     4524 ,    9048 ,    1070         ,
27 ,    4565 ,     i ,    1 ,     1 ,     4564 ,    9128 ,    1073         ,
27 ,    4605 ,     i ,    1 ,     1 ,     4604 ,    9208 ,    1094         ,
27 ,    4645 ,     i ,    1 ,     1 ,     4644 ,    9288 ,    1106         ,
27 ,    4685 ,     i ,    1 ,     1 ,     4684 ,    9368 ,    1120         ,
27 ,    4725 ,     i ,    1 ,     1 ,     4724 ,    9448 ,    2789         ,
