SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     m ,    0 ,     13 ,     6 ,    0 ,    10         ,
27 ,    45 ,     m ,    0 ,     133 ,     189 ,    0 ,    86         ,
27 ,    85 ,     m ,    0 ,     253 ,     443 ,    0 ,    166         ,
27 ,    125 ,     m ,    0 ,     373 ,     716 ,    0 ,    262         ,
27 ,    165 ,     m ,    0 ,     493 ,     1004 ,    0 ,    506         ,
27 ,    205 ,     m ,    0 ,     613 ,     1316 ,    0 ,    463         ,
27 ,    245 ,     m ,    0 ,     733 ,     1627 ,    0 ,    559         ,
27 ,    285 ,     m ,    0 ,     853 ,     1967 ,    0 ,    667         ,
27 ,    325 ,     m ,    0 ,     973 ,     2303 ,    0 ,    877         ,
27 ,    365 ,     m ,    0 ,     1093 ,     2636 ,    0 ,    881         ,
27 ,    405 ,     m ,    0 ,     1213 ,     3000 ,    0 ,    993         ,
27 ,    445 ,     m ,    0 ,     1333 ,     3355 ,    0 ,    1110         ,
27 ,    485 ,     m ,    0 ,     1453 ,     3713 ,    0 ,    1213         ,
27 ,    525 ,     m ,    0 ,     1573 ,     4050 ,    0 ,    1327         ,
27 ,    565 ,     m ,    0 ,     1693 ,     4451 ,    0 ,    1490         ,
27 ,    605 ,     m ,    0 ,     1813 ,     4830 ,    0 ,    1579         ,
27 ,    645 ,     m ,    0 ,     1933 ,     5208 ,    0 ,    3967         ,
27 ,    685 ,     m ,    0 ,     2053 ,     5586 ,    0 ,    1798         ,
27 ,    725 ,     m ,    0 ,     2173 ,     5980 ,    0 ,    1916         ,
27 ,    765 ,     m ,    0 ,     2293 ,     6373 ,    0 ,    2047         ,
27 ,    805 ,     m ,    0 ,     2413 ,     6762 ,    0 ,    2662         ,
27 ,    845 ,     m ,    0 ,     2533 ,     7170 ,    0 ,    2266         ,
27 ,    885 ,     m ,    0 ,     2653 ,     7573 ,    0 ,    2398         ,
27 ,    925 ,     m ,    0 ,     2773 ,     7918 ,    0 ,    2737         ,
27 ,    965 ,     m ,    0 ,     2893 ,     8338 ,    0 ,    2734         ,
27 ,    1005 ,     m ,    0 ,     3013 ,     8758 ,    0 ,    2781         ,
27 ,    1045 ,     m ,    0 ,     3133 ,     9155 ,    0 ,    2974         ,
27 ,    1085 ,     m ,    0 ,     3253 ,     9562 ,    0 ,    3126         ,
27 ,    1125 ,     m ,    0 ,     3373 ,     9998 ,    0 ,    3349         ,
27 ,    1165 ,     m ,    0 ,     3493 ,     10406 ,    0 ,    3360         ,
27 ,    1205 ,     m ,    0 ,     3613 ,     10810 ,    0 ,    3512         ,
27 ,    1245 ,     m ,    0 ,     3733 ,     11230 ,    0 ,    3608         ,
27 ,    1285 ,     m ,    0 ,     3853 ,     11659 ,    0 ,    3624         ,
27 ,    1325 ,     m ,    0 ,     3973 ,     12104 ,    0 ,    3771         ,
27 ,    1365 ,     m ,    0 ,     4093 ,     12547 ,    0 ,    3962         ,
27 ,    1405 ,     m ,    0 ,     4213 ,     12936 ,    0 ,    4105         ,
27 ,    1445 ,     m ,    0 ,     4333 ,     13374 ,    0 ,    4162         ,
27 ,    1485 ,     m ,    0 ,     4453 ,     13759 ,    0 ,    4476         ,
27 ,    1525 ,     m ,    0 ,     4573 ,     14224 ,    0 ,    4396         ,
27 ,    1565 ,     m ,    0 ,     4693 ,     14596 ,    0 ,    4534         ,
27 ,    1605 ,     m ,    0 ,     4813 ,     15104 ,    0 ,    4795         ,
27 ,    1645 ,     m ,    0 ,     4933 ,     15537 ,    0 ,    4805         ,
27 ,    1685 ,     m ,    0 ,     5053 ,     15963 ,    0 ,    5289         ,
27 ,    1725 ,     m ,    0 ,     5173 ,     16392 ,    0 ,    5101         ,
27 ,    1765 ,     m ,    0 ,     5293 ,     16834 ,    0 ,    5460         ,
27 ,    1805 ,     m ,    0 ,     5413 ,     17272 ,    0 ,    5410         ,
27 ,    1845 ,     m ,    0 ,     5533 ,     17703 ,    0 ,    5471         ,
27 ,    1885 ,     m ,    0 ,     5653 ,     18146 ,    0 ,    5685         ,
27 ,    1925 ,     m ,    0 ,     5773 ,     18576 ,    0 ,    5859         ,
27 ,    1965 ,     m ,    0 ,     5893 ,     19015 ,    0 ,    5832         ,
27 ,    2005 ,     m ,    0 ,     6013 ,     19454 ,    0 ,    5992         ,
27 ,    2045 ,     m ,    0 ,     6133 ,     19908 ,    0 ,    6080         ,
27 ,    2085 ,     m ,    0 ,     6253 ,     20373 ,    0 ,    6423         ,
27 ,    2125 ,     m ,    0 ,     6373 ,     20816 ,    0 ,    6479         ,
27 ,    2165 ,     m ,    0 ,     6493 ,     21254 ,    0 ,    6620         ,
27 ,    2205 ,     m ,    0 ,     6613 ,     21707 ,    0 ,    6756         ,
27 ,    2245 ,     m ,    0 ,     6733 ,     22176 ,    0 ,    6919         ,
27 ,    2285 ,     m ,    0 ,     6853 ,     22661 ,    0 ,    7837         ,
27 ,    2325 ,     m ,    0 ,     6973 ,     23110 ,    0 ,    7214         ,
27 ,    2365 ,     m ,    0 ,     7093 ,     23573 ,    0 ,    7334         ,
27 ,    2405 ,     m ,    0 ,     7213 ,     24022 ,    0 ,    7386         ,
27 ,    2445 ,     m ,    0 ,     7333 ,     24494 ,    0 ,    7877         ,
27 ,    2485 ,     m ,    0 ,     7453 ,     24902 ,    0 ,    7715         ,
27 ,    2525 ,     m ,    0 ,     7573 ,     25433 ,    0 ,    7894         ,
27 ,    2565 ,     m ,    0 ,     7693 ,     25836 ,    0 ,    8126         ,
27 ,    2605 ,     m ,    0 ,     7813 ,     26308 ,    0 ,    8418         ,
27 ,    2645 ,     m ,    0 ,     7933 ,     26800 ,    0 ,    8396         ,
27 ,    2685 ,     m ,    0 ,     8053 ,     27312 ,    0 ,    8800         ,
27 ,    2725 ,     m ,    0 ,     8173 ,     27723 ,    0 ,    8783         ,
27 ,    2765 ,     m ,    0 ,     8293 ,     28207 ,    0 ,    9141         ,
27 ,    2805 ,     m ,    0 ,     8413 ,     28660 ,    0 ,    9111         ,
27 ,    2845 ,     m ,    0 ,     8533 ,     29127 ,    0 ,    9304         ,
27 ,    2885 ,     m ,    0 ,     8653 ,     29543 ,    0 ,    9506         ,
27 ,    2925 ,     m ,    0 ,     8773 ,     30027 ,    0 ,    9470         ,
27 ,    2965 ,     m ,    0 ,     8893 ,     30553 ,    0 ,    10530         ,
27 ,    3005 ,     m ,    0 ,     9013 ,     31015 ,    0 ,    9747         ,
27 ,    3045 ,     m ,    0 ,     9133 ,     31466 ,    0 ,    10078         ,
27 ,    3085 ,     m ,    0 ,     9253 ,     31925 ,    0 ,    10235         ,
27 ,    3125 ,     m ,    0 ,     9373 ,     32416 ,    0 ,    10396         ,
27 ,    3165 ,     m ,    0 ,     9493 ,     32857 ,    0 ,    10495         ,
27 ,    3205 ,     m ,    0 ,     9613 ,     33354 ,    0 ,    10455         ,
27 ,    3245 ,     m ,    0 ,     9733 ,     33846 ,    0 ,    11332         ,
27 ,    3285 ,     m ,    0 ,     9853 ,     34302 ,    0 ,    10730         ,
27 ,    3325 ,     m ,    0 ,     9973 ,     34713 ,    0 ,    11171         ,
27 ,    3365 ,     m ,    0 ,     10093 ,     35284 ,    0 ,    11136         ,
27 ,    3405 ,     m ,    0 ,     10213 ,     35696 ,    0 ,    11122         ,
27 ,    3445 ,     m ,    0 ,     10333 ,     36210 ,    0 ,    11327         ,
27 ,    3485 ,     m ,    0 ,     10453 ,     36702 ,    0 ,    11689         ,
27 ,    3525 ,     m ,    0 ,     10573 ,     37190 ,    0 ,    11957         ,
27 ,    3565 ,     m ,    0 ,     10693 ,     37644 ,    0 ,    11797         ,
27 ,    3605 ,     m ,    0 ,     10813 ,     38124 ,    0 ,    11837         ,
27 ,    3645 ,     m ,    0 ,     10933 ,     38565 ,    0 ,    11986         ,
27 ,    3685 ,     m ,    0 ,     11053 ,     39051 ,    0 ,    12228         ,
27 ,    3725 ,     m ,    0 ,     11173 ,     39537 ,    0 ,    12502         ,
27 ,    3765 ,     m ,    0 ,     11293 ,     39997 ,    0 ,    12554         ,
27 ,    3805 ,     m ,    0 ,     11413 ,     40517 ,    0 ,    12764         ,
27 ,    3845 ,     m ,    0 ,     11533 ,     40994 ,    0 ,    12771         ,
27 ,    3885 ,     m ,    0 ,     11653 ,     41424 ,    0 ,    13259         ,
27 ,    3925 ,     m ,    0 ,     11773 ,     41934 ,    0 ,    13098         ,
27 ,    3965 ,     m ,    0 ,     11893 ,     42422 ,    0 ,    15192         ,
27 ,    4005 ,     m ,    0 ,     12013 ,     42875 ,    0 ,    13343         ,
27 ,    4045 ,     m ,    0 ,     12133 ,     43388 ,    0 ,    13513         ,
27 ,    4085 ,     m ,    0 ,     12253 ,     43876 ,    0 ,    13769         ,
27 ,    4125 ,     m ,    0 ,     12373 ,     44285 ,    0 ,    13657         ,
27 ,    4165 ,     m ,    0 ,     12493 ,     44799 ,    0 ,    14026         ,
27 ,    4205 ,     m ,    0 ,     12613 ,     45254 ,    0 ,    14132         ,
27 ,    4245 ,     m ,    0 ,     12733 ,     45810 ,    0 ,    14209         ,
27 ,    4285 ,     m ,    0 ,     12853 ,     46324 ,    0 ,    14616         ,
27 ,    4325 ,     m ,    0 ,     12973 ,     46762 ,    0 ,    14566         ,
27 ,    4365 ,     m ,    0 ,     13093 ,     47295 ,    0 ,    14733         ,
27 ,    4405 ,     m ,    0 ,     13213 ,     47775 ,    0 ,    14916         ,
27 ,    4445 ,     m ,    0 ,     13333 ,     48288 ,    0 ,    15342         ,
27 ,    4485 ,     m ,    0 ,     13453 ,     48775 ,    0 ,    17294         ,
27 ,    4525 ,     m ,    0 ,     13573 ,     49324 ,    0 ,    15345         ,
27 ,    4565 ,     m ,    0 ,     13693 ,     49821 ,    0 ,    15429         ,
27 ,    4605 ,     m ,    0 ,     13813 ,     50266 ,    0 ,    15610         ,
27 ,    4645 ,     m ,    0 ,     13933 ,     50822 ,    0 ,    15943         ,
27 ,    4685 ,     m ,    0 ,     14053 ,     51244 ,    0 ,    18177         ,
27 ,    4725 ,     m ,    0 ,     14173 ,     51718 ,    0 ,    16137         ,
27 ,    4765 ,     m ,    0 ,     14293 ,     52237 ,    0 ,    16226         ,
27 ,    4805 ,     m ,    0 ,     14413 ,     52711 ,    0 ,    16307         ,
27 ,    4845 ,     m ,    0 ,     14533 ,     53288 ,    0 ,    16943         ,
27 ,    4885 ,     m ,    0 ,     14653 ,     53756 ,    0 ,    16627         ,
27 ,    4925 ,     m ,    0 ,     14773 ,     54279 ,    0 ,    16748         ,
27 ,    4965 ,     m ,    0 ,     14893 ,     54795 ,    0 ,    17174         ,
27 ,    5 ,     m ,    1 ,     13 ,     7 ,    0 ,    6         ,
27 ,    45 ,     m ,    1 ,     133 ,     136 ,    0 ,    68         ,
27 ,    85 ,     m ,    1 ,     253 ,     297 ,    0 ,    136         ,
27 ,    125 ,     m ,    1 ,     373 ,     443 ,    0 ,    214         ,
27 ,    165 ,     m ,    1 ,     493 ,     654 ,    0 ,    293         ,
27 ,    205 ,     m ,    1 ,     613 ,     837 ,    0 ,    470         ,
27 ,    245 ,     m ,    1 ,     733 ,     996 ,    0 ,    457         ,
27 ,    285 ,     m ,    1 ,     853 ,     1218 ,    0 ,    543         ,
27 ,    325 ,     m ,    1 ,     973 ,     1443 ,    0 ,    633         ,
27 ,    365 ,     m ,    1 ,     1093 ,     1653 ,    0 ,    718         ,
27 ,    405 ,     m ,    1 ,     1213 ,     1854 ,    0 ,    810         ,
27 ,    445 ,     m ,    1 ,     1333 ,     2040 ,    0 ,    898         ,
27 ,    485 ,     m ,    1 ,     1453 ,     2217 ,    0 ,    983         ,
27 ,    525 ,     m ,    1 ,     1573 ,     2412 ,    0 ,    1174         ,
27 ,    565 ,     m ,    1 ,     1693 ,     2691 ,    0 ,    1209         ,
27 ,    605 ,     m ,    1 ,     1813 ,     2946 ,    0 ,    1396         ,
27 ,    645 ,     m ,    1 ,     1933 ,     3176 ,    0 ,    1365         ,
27 ,    685 ,     m ,    1 ,     2053 ,     3426 ,    0 ,    1475         ,
27 ,    725 ,     m ,    1 ,     2173 ,     3646 ,    0 ,    1758         ,
27 ,    765 ,     m ,    1 ,     2293 ,     3832 ,    0 ,    1873         ,
27 ,    805 ,     m ,    1 ,     2413 ,     4083 ,    0 ,    1764         ,
27 ,    845 ,     m ,    1 ,     2533 ,     4306 ,    0 ,    1855         ,
27 ,    885 ,     m ,    1 ,     2653 ,     4505 ,    0 ,    1959         ,
27 ,    925 ,     m ,    1 ,     2773 ,     4709 ,    0 ,    2148         ,
27 ,    965 ,     m ,    1 ,     2893 ,     4894 ,    0 ,    2301         ,
27 ,    1005 ,     m ,    1 ,     3013 ,     5064 ,    0 ,    2326         ,
27 ,    1045 ,     m ,    1 ,     3133 ,     5309 ,    0 ,    2340         ,
27 ,    1085 ,     m ,    1 ,     3253 ,     5615 ,    0 ,    2465         ,
27 ,    1125 ,     m ,    1 ,     3373 ,     5912 ,    0 ,    2603         ,
27 ,    1165 ,     m ,    1 ,     3493 ,     6188 ,    0 ,    2844         ,
27 ,    1205 ,     m ,    1 ,     3613 ,     6467 ,    0 ,    3178         ,
27 ,    1245 ,     m ,    1 ,     3733 ,     6722 ,    0 ,    3030         ,
27 ,    1285 ,     m ,    1 ,     3853 ,     6957 ,    0 ,    3065         ,
27 ,    1325 ,     m ,    1 ,     3973 ,     7247 ,    0 ,    3224         ,
27 ,    1365 ,     m ,    1 ,     4093 ,     7507 ,    0 ,    3187         ,
27 ,    1405 ,     m ,    1 ,     4213 ,     7733 ,    0 ,    3271         ,
27 ,    1445 ,     m ,    1 ,     4333 ,     7987 ,    0 ,    3418         ,
27 ,    1485 ,     m ,    1 ,     4453 ,     8210 ,    0 ,    3617         ,
27 ,    1525 ,     m ,    1 ,     4573 ,     8409 ,    0 ,    3644         ,
27 ,    1565 ,     m ,    1 ,     4693 ,     8671 ,    0 ,    3969         ,
27 ,    1605 ,     m ,    1 ,     4813 ,     8936 ,    0 ,    3800         ,
27 ,    1645 ,     m ,    1 ,     4933 ,     9186 ,    0 ,    4005         ,
27 ,    1685 ,     m ,    1 ,     5053 ,     9427 ,    0 ,    4241         ,
27 ,    1725 ,     m ,    1 ,     5173 ,     9653 ,    0 ,    4225         ,
27 ,    1765 ,     m ,    1 ,     5293 ,     9870 ,    0 ,    4252         ,
27 ,    1805 ,     m ,    1 ,     5413 ,     10079 ,    0 ,    4423         ,
27 ,    1845 ,     m ,    1 ,     5533 ,     10318 ,    0 ,    4524         ,
27 ,    1885 ,     m ,    1 ,     5653 ,     10533 ,    0 ,    4661         ,
27 ,    1925 ,     m ,    1 ,     5773 ,     10723 ,    0 ,    4669         ,
27 ,    1965 ,     m ,    1 ,     5893 ,     10933 ,    0 ,    4720         ,
27 ,    2005 ,     m ,    1 ,     6013 ,     11113 ,    0 ,    4931         ,
27 ,    2045 ,     m ,    1 ,     6133 ,     11259 ,    0 ,    5304         ,
27 ,    2085 ,     m ,    1 ,     6253 ,     11618 ,    0 ,    5171         ,
27 ,    2125 ,     m ,    1 ,     6373 ,     11961 ,    0 ,    5269         ,
27 ,    2165 ,     m ,    1 ,     6493 ,     12280 ,    0 ,    5528         ,
27 ,    2205 ,     m ,    1 ,     6613 ,     12604 ,    0 ,    5532         ,
27 ,    2245 ,     m ,    1 ,     6733 ,     12909 ,    0 ,    5618         ,
27 ,    2285 ,     m ,    1 ,     6853 ,     13199 ,    0 ,    5747         ,
27 ,    2325 ,     m ,    1 ,     6973 ,     13501 ,    0 ,    5780         ,
27 ,    2365 ,     m ,    1 ,     7093 ,     13807 ,    0 ,    5860         ,
27 ,    2405 ,     m ,    1 ,     7213 ,     14104 ,    0 ,    6032         ,
27 ,    2445 ,     m ,    1 ,     7333 ,     14380 ,    0 ,    6463         ,
27 ,    2485 ,     m ,    1 ,     7453 ,     14659 ,    0 ,    6310         ,
27 ,    2525 ,     m ,    1 ,     7573 ,     14914 ,    0 ,    6318         ,
27 ,    2565 ,     m ,    1 ,     7693 ,     15154 ,    0 ,    6480         ,
27 ,    2605 ,     m ,    1 ,     7813 ,     15484 ,    0 ,    6698         ,
27 ,    2645 ,     m ,    1 ,     7933 ,     15784 ,    0 ,    7005         ,
27 ,    2685 ,     m ,    1 ,     8053 ,     16050 ,    0 ,    6807         ,
27 ,    2725 ,     m ,    1 ,     8173 ,     16344 ,    0 ,    6958         ,
27 ,    2765 ,     m ,    1 ,     8293 ,     16607 ,    0 ,    7141         ,
27 ,    2805 ,     m ,    1 ,     8413 ,     16846 ,    0 ,    7190         ,
27 ,    2845 ,     m ,    1 ,     8533 ,     17119 ,    0 ,    7418         ,
27 ,    2885 ,     m ,    1 ,     8653 ,     17384 ,    0 ,    7702         ,
27 ,    2925 ,     m ,    1 ,     8773 ,     17634 ,    0 ,    7632         ,
27 ,    2965 ,     m ,    1 ,     8893 ,     17875 ,    0 ,    7716         ,
27 ,    3005 ,     m ,    1 ,     9013 ,     18101 ,    0 ,    7783         ,
27 ,    3045 ,     m ,    1 ,     9133 ,     18318 ,    0 ,    7882         ,
27 ,    3085 ,     m ,    1 ,     9253 ,     18553 ,    0 ,    7882         ,
27 ,    3125 ,     m ,    1 ,     9373 ,     18872 ,    0 ,    8343         ,
27 ,    3165 ,     m ,    1 ,     9493 ,     19167 ,    0 ,    8276         ,
27 ,    3205 ,     m ,    1 ,     9613 ,     19437 ,    0 ,    8326         ,
27 ,    3245 ,     m ,    1 ,     9733 ,     19727 ,    0 ,    8494         ,
27 ,    3285 ,     m ,    1 ,     9853 ,     19987 ,    0 ,    8582         ,
27 ,    3325 ,     m ,    1 ,     9973 ,     20213 ,    0 ,    8631         ,
27 ,    3365 ,     m ,    1 ,     10093 ,     20504 ,    0 ,    8794         ,
27 ,    3405 ,     m ,    1 ,     10213 ,     20767 ,    0 ,    8873         ,
27 ,    3445 ,     m ,    1 ,     10333 ,     21006 ,    0 ,    8981         ,
27 ,    3485 ,     m ,    1 ,     10453 ,     21250 ,    0 ,    9294         ,
27 ,    3525 ,     m ,    1 ,     10573 ,     21475 ,    0 ,    9489         ,
27 ,    3565 ,     m ,    1 ,     10693 ,     21685 ,    0 ,    9312         ,
27 ,    3605 ,     m ,    1 ,     10813 ,     21928 ,    0 ,    9503         ,
27 ,    3645 ,     m ,    1 ,     10933 ,     22194 ,    0 ,    9635         ,
27 ,    3685 ,     m ,    1 ,     11053 ,     22451 ,    0 ,    9702         ,
27 ,    3725 ,     m ,    1 ,     11173 ,     22687 ,    0 ,    9827         ,
27 ,    3765 ,     m ,    1 ,     11293 ,     22926 ,    0 ,    10022         ,
27 ,    3805 ,     m ,    1 ,     11413 ,     23141 ,    0 ,    10234         ,
27 ,    3845 ,     m ,    1 ,     11533 ,     23336 ,    0 ,    10224         ,
27 ,    3885 ,     m ,    1 ,     11653 ,     23586 ,    0 ,    12032         ,
27 ,    3925 ,     m ,    1 ,     11773 ,     23806 ,    0 ,    10336         ,
27 ,    3965 ,     m ,    1 ,     11893 ,     23992 ,    0 ,    10531         ,
27 ,    4005 ,     m ,    1 ,     12013 ,     24206 ,    0 ,    13046         ,
27 ,    4045 ,     m ,    1 ,     12133 ,     24389 ,    0 ,    10813         ,
27 ,    4085 ,     m ,    1 ,     12253 ,     24548 ,    0 ,    10840         ,
27 ,    4125 ,     m ,    1 ,     12373 ,     24886 ,    0 ,    10900         ,
27 ,    4165 ,     m ,    1 ,     12493 ,     25271 ,    0 ,    13275         ,
27 ,    4205 ,     m ,    1 ,     12613 ,     25641 ,    0 ,    11208         ,
27 ,    4245 ,     m ,    1 ,     12733 ,     26002 ,    0 ,    11528         ,
27 ,    4285 ,     m ,    1 ,     12853 ,     26348 ,    0 ,    13442         ,
27 ,    4325 ,     m ,    1 ,     12973 ,     26685 ,    0 ,    11557         ,
27 ,    4365 ,     m ,    1 ,     13093 ,     27014 ,    0 ,    11703         ,
27 ,    4405 ,     m ,    1 ,     13213 ,     27373 ,    0 ,    11975         ,
27 ,    4445 ,     m ,    1 ,     13333 ,     27708 ,    0 ,    11965         ,
27 ,    4485 ,     m ,    1 ,     13453 ,     28018 ,    0 ,    12008         ,
27 ,    4525 ,     m ,    1 ,     13573 ,     28348 ,    0 ,    12204         ,
27 ,    4565 ,     m ,    1 ,     13693 ,     28648 ,    0 ,    12298         ,
27 ,    4605 ,     m ,    1 ,     13813 ,     28914 ,    0 ,    12358         ,
27 ,    4645 ,     m ,    1 ,     13933 ,     29282 ,    0 ,    12601         ,
27 ,    4685 ,     m ,    1 ,     14053 ,     29625 ,    0 ,    12719         ,
27 ,    4725 ,     m ,    1 ,     14173 ,     29944 ,    0 ,    14498         ,
27 ,    4765 ,     m ,    1 ,     14293 ,     30268 ,    0 ,    12894         ,
27 ,    4805 ,     m ,    1 ,     14413 ,     30573 ,    0 ,    13117         ,
27 ,    4845 ,     m ,    1 ,     14533 ,     30863 ,    0 ,    13204         ,
27 ,    4885 ,     m ,    1 ,     14653 ,     31165 ,    0 ,    13220         ,
27 ,    4925 ,     m ,    1 ,     14773 ,     31471 ,    0 ,    15319         ,
27 ,    4965 ,     m ,    1 ,     14893 ,     31768 ,    0 ,    13630         ,
27 ,    5 ,     m ,    2 ,     13 ,     5 ,    0 ,    7         ,
27 ,    45 ,     m ,    2 ,     133 ,     115 ,    0 ,    69         ,
27 ,    85 ,     m ,    2 ,     253 ,     255 ,    0 ,    136         ,
27 ,    125 ,     m ,    2 ,     373 ,     429 ,    0 ,    215         ,
27 ,    165 ,     m ,    2 ,     493 ,     575 ,    0 ,    291         ,
27 ,    205 ,     m ,    2 ,     613 ,     752 ,    0 ,    371         ,
27 ,    245 ,     m ,    2 ,     733 ,     953 ,    0 ,    454         ,
27 ,    285 ,     m ,    2 ,     853 ,     1120 ,    0 ,    540         ,
27 ,    325 ,     m ,    2 ,     973 ,     1295 ,    0 ,    635         ,
27 ,    365 ,     m ,    2 ,     1093 ,     1485 ,    0 ,    714         ,
27 ,    405 ,     m ,    2 ,     1213 ,     1684 ,    0 ,    820         ,
27 ,    445 ,     m ,    2 ,     1333 ,     1898 ,    0 ,    991         ,
27 ,    485 ,     m ,    2 ,     1453 ,     2121 ,    0 ,    985         ,
27 ,    525 ,     m ,    2 ,     1573 ,     2339 ,    0 ,    1075         ,
27 ,    565 ,     m ,    2 ,     1693 ,     2500 ,    0 ,    1166         ,
27 ,    605 ,     m ,    2 ,     1813 ,     2685 ,    0 ,    1272         ,
27 ,    645 ,     m ,    2 ,     1933 ,     2895 ,    0 ,    1356         ,
27 ,    685 ,     m ,    2 ,     2053 ,     3085 ,    0 ,    1458         ,
27 ,    725 ,     m ,    2 ,     2173 ,     3305 ,    0 ,    1555         ,
27 ,    765 ,     m ,    2 ,     2293 ,     3559 ,    0 ,    1640         ,
27 ,    805 ,     m ,    2 ,     2413 ,     3748 ,    0 ,    1838         ,
27 ,    845 ,     m ,    2 ,     2533 ,     3965 ,    0 ,    1849         ,
27 ,    885 ,     m ,    2 ,     2653 ,     4206 ,    0 ,    1956         ,
