SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q ,    0 ,     8 ,     4 ,    15 ,    7         ,
27 ,    45 ,     q ,    0 ,     78 ,     190 ,    204 ,    49         ,
27 ,    85 ,     q ,    0 ,     142 ,     360 ,    468 ,    96         ,
27 ,    125 ,     q ,    0 ,     218 ,     581 ,    744 ,    155         ,
27 ,    165 ,     q ,    0 ,     278 ,     701 ,    1053 ,    209         ,
27 ,    205 ,     q ,    0 ,     354 ,     1355 ,    1281 ,    275         ,
27 ,    245 ,     q ,    0 ,     416 ,     1465 ,    1605 ,    334         ,
27 ,    285 ,     q ,    0 ,     488 ,     1420 ,    1959 ,    392         ,
27 ,    325 ,     q ,    0 ,     576 ,     1669 ,    2301 ,    450         ,
27 ,    365 ,     q ,    0 ,     618 ,     2027 ,    2589 ,    514         ,
27 ,    405 ,     q ,    0 ,     688 ,     2469 ,    2970 ,    586         ,
27 ,    445 ,     q ,    0 ,     768 ,     2402 ,    3318 ,    637         ,
27 ,    485 ,     q ,    0 ,     850 ,     2939 ,    3606 ,    706         ,
27 ,    525 ,     q ,    0 ,     908 ,     3118 ,    3894 ,    770         ,
27 ,    565 ,     q ,    0 ,     952 ,     3328 ,    4284 ,    839         ,
27 ,    605 ,     q ,    0 ,     1042 ,     3365 ,    4665 ,    1127         ,
27 ,    645 ,     q ,    0 ,     1116 ,     5411 ,    4902 ,    988         ,
27 ,    685 ,     q ,    0 ,     1168 ,     4264 ,    5289 ,    1038         ,
27 ,    725 ,     q ,    0 ,     1242 ,     5050 ,    5526 ,    1108         ,
27 ,    765 ,     q ,    0 ,     1292 ,     5075 ,    5910 ,    1174         ,
27 ,    805 ,     q ,    0 ,     1404 ,     5938 ,    6297 ,    1255         ,
27 ,    845 ,     q ,    0 ,     1460 ,     5082 ,    6810 ,    1313         ,
27 ,    885 ,     q ,    0 ,     1534 ,     6316 ,    6999 ,    1387         ,
27 ,    925 ,     q ,    0 ,     1592 ,     5995 ,    7419 ,    1464         ,
27 ,    965 ,     q ,    0 ,     1670 ,     7362 ,    7830 ,    1566         ,
27 ,    1005 ,     q ,    0 ,     1740 ,     8694 ,    8013 ,    1619         ,
