SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     qi ,    0 ,     3 ,     11 ,    14 ,    8         ,
27 ,    45 ,     qi ,    0 ,     4 ,     491 ,    499 ,    72         ,
27 ,    85 ,     qi ,    0 ,     10 ,     973 ,    996 ,    138         ,
27 ,    125 ,     qi ,    0 ,     16 ,     1197 ,    1240 ,    185         ,
27 ,    165 ,     qi ,    0 ,     13 ,     1696 ,    1878 ,    267         ,
27 ,    205 ,     qi ,    0 ,     24 ,     2498 ,    2268 ,    337         ,
27 ,    245 ,     qi ,    0 ,     19 ,     3240 ,    3238 ,    475         ,
27 ,    285 ,     qi ,    0 ,     28 ,     3141 ,    3464 ,    510         ,
27 ,    325 ,     qi ,    0 ,     28 ,     3750 ,    4065 ,    591         ,
27 ,    365 ,     qi ,    0 ,     40 ,     4126 ,    4349 ,    645         ,
27 ,    405 ,     qi ,    0 ,     46 ,     4799 ,    4789 ,    742         ,
27 ,    445 ,     qi ,    0 ,     49 ,     5318 ,    5684 ,    838         ,
27 ,    485 ,     qi ,    0 ,     52 ,     6144 ,    6388 ,    1045         ,
27 ,    525 ,     qi ,    0 ,     63 ,     6320 ,    6683 ,    991         ,
27 ,    565 ,     qi ,    0 ,     58 ,     6615 ,    7013 ,    1060         ,
27 ,    605 ,     qi ,    0 ,     64 ,     6722 ,    7383 ,    1118         ,
27 ,    645 ,     qi ,    0 ,     79 ,     9395 ,    8252 ,    1260         ,
27 ,    685 ,     qi ,    0 ,     82 ,     8303 ,    8751 ,    1311         ,
27 ,    725 ,     qi ,    0 ,     90 ,     9572 ,    9471 ,    1432         ,
27 ,    765 ,     qi ,    0 ,     82 ,     10016 ,    10245 ,    1535         ,
27 ,    805 ,     qi ,    0 ,     100 ,     11320 ,    10991 ,    1748         ,
27 ,    845 ,     qi ,    0 ,     97 ,     9755 ,    10759 ,    1638         ,
27 ,    885 ,     qi ,    0 ,     127 ,     11264 ,    11058 ,    1884         ,
27 ,    925 ,     qi ,    0 ,     91 ,     12166 ,    12789 ,    1909         ,
27 ,    965 ,     qi ,    0 ,     118 ,     12719 ,    12164 ,    1893         ,
27 ,    1005 ,     qi ,    0 ,     117 ,     14371 ,    12757 ,    1978         ,
27 ,    1045 ,     qi ,    0 ,     111 ,     12939 ,    14025 ,    2092         ,
27 ,    1085 ,     qi ,    0 ,     111 ,     15972 ,    14420 ,    2221         ,
27 ,    1125 ,     qi ,    0 ,     133 ,     14660 ,    13779 ,    2150         ,
27 ,    1165 ,     qi ,    0 ,     129 ,     15618 ,    15826 ,    2393         ,
27 ,    1205 ,     qi ,    0 ,     126 ,     15430 ,    16697 ,    2518         ,
27 ,    1245 ,     qi ,    0 ,     145 ,     17350 ,    16030 ,    2582         ,
27 ,    1285 ,     qi ,    0 ,     154 ,     18349 ,    17884 ,    2708         ,
27 ,    1325 ,     qi ,    0 ,     151 ,     17395 ,    17239 ,    2746         ,
27 ,    1365 ,     qi ,    0 ,     167 ,     19041 ,    18654 ,    2849         ,
27 ,    1405 ,     qi ,    0 ,     136 ,     19977 ,    19889 ,    3012         ,
27 ,    1445 ,     qi ,    0 ,     168 ,     21306 ,    20420 ,    3131         ,
27 ,    1485 ,     qi ,    0 ,     159 ,     20561 ,    20584 ,    3153         ,
27 ,    1525 ,     qi ,    0 ,     154 ,     20851 ,    21356 ,    3331         ,
27 ,    1565 ,     qi ,    0 ,     174 ,     21999 ,    21599 ,    3283         ,
27 ,    1605 ,     qi ,    0 ,     203 ,     22447 ,    21319 ,    3316         ,
27 ,    1645 ,     qi ,    0 ,     169 ,     23291 ,    23449 ,    3578         ,
27 ,    1685 ,     qi ,    0 ,     178 ,     21380 ,    23042 ,    3584         ,
27 ,    1725 ,     qi ,    0 ,     182 ,     22495 ,    23921 ,    3641         ,
27 ,    1765 ,     qi ,    0 ,     190 ,     26706 ,    25563 ,    3936         ,
