SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     rx ,    0 ,     0 ,     0 ,    0 ,    6         ,
27 ,    45 ,     rx ,    0 ,     0 ,     0 ,    0 ,    30         ,
27 ,    85 ,     rx ,    0 ,     0 ,     0 ,    0 ,    55         ,
27 ,    125 ,     rx ,    0 ,     0 ,     0 ,    0 ,    116         ,
27 ,    165 ,     rx ,    0 ,     0 ,     0 ,    0 ,    148         ,
27 ,    205 ,     rx ,    0 ,     0 ,     0 ,    0 ,    190         ,
27 ,    245 ,     rx ,    0 ,     0 ,     0 ,    0 ,    213         ,
27 ,    285 ,     rx ,    0 ,     0 ,     0 ,    0 ,    258         ,
27 ,    325 ,     rx ,    0 ,     0 ,     0 ,    0 ,    291         ,
27 ,    365 ,     rx ,    0 ,     0 ,     0 ,    0 ,    327         ,
27 ,    405 ,     rx ,    0 ,     0 ,     0 ,    0 ,    362         ,
27 ,    445 ,     rx ,    0 ,     0 ,     0 ,    0 ,    399         ,
27 ,    485 ,     rx ,    0 ,     0 ,     0 ,    0 ,    431         ,
27 ,    525 ,     rx ,    0 ,     0 ,     0 ,    0 ,    466         ,
27 ,    565 ,     rx ,    0 ,     0 ,     0 ,    0 ,    505         ,
27 ,    605 ,     rx ,    0 ,     0 ,     0 ,    0 ,    540         ,
27 ,    645 ,     rx ,    0 ,     0 ,     0 ,    0 ,    572         ,
27 ,    685 ,     rx ,    0 ,     0 ,     0 ,    0 ,    606         ,
27 ,    725 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1046         ,
27 ,    765 ,     rx ,    0 ,     0 ,     0 ,    0 ,    673         ,
27 ,    805 ,     rx ,    0 ,     0 ,     0 ,    0 ,    715         ,
27 ,    845 ,     rx ,    0 ,     0 ,     0 ,    0 ,    745         ,
27 ,    885 ,     rx ,    0 ,     0 ,     0 ,    0 ,    793         ,
27 ,    925 ,     rx ,    0 ,     0 ,     0 ,    0 ,    847         ,
27 ,    965 ,     rx ,    0 ,     0 ,     0 ,    0 ,    865         ,
27 ,    1005 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1189         ,
27 ,    1045 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1219         ,
27 ,    1085 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1402         ,
27 ,    1125 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1327         ,
27 ,    1165 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1373         ,
27 ,    1205 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1418         ,
27 ,    1245 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1586         ,
27 ,    1285 ,     rx ,    0 ,     0 ,     0 ,    0 ,    1520         ,
