SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     s ,    0 ,     1 ,     10 ,    9 ,    7         ,
27 ,    45 ,     s ,    0 ,     1 ,     990 ,    120 ,    58         ,
27 ,    85 ,     s ,    0 ,     1 ,     3570 ,    237 ,    166         ,
27 ,    125 ,     s ,    0 ,     1 ,     7750 ,    357 ,    333         ,
27 ,    165 ,     s ,    0 ,     1 ,     13530 ,    486 ,    548         ,
27 ,    205 ,     s ,    0 ,     1 ,     20910 ,    597 ,    815         ,
27 ,    245 ,     s ,    0 ,     1 ,     29890 ,    702 ,    1137         ,
27 ,    285 ,     s ,    0 ,     1 ,     40470 ,    834 ,    1506         ,
27 ,    325 ,     s ,    0 ,     1 ,     52650 ,    960 ,    1925         ,
27 ,    365 ,     s ,    0 ,     1 ,     66430 ,    1062 ,    3484         ,
27 ,    405 ,     s ,    0 ,     1 ,     81810 ,    1194 ,    3049         ,
27 ,    445 ,     s ,    0 ,     1 ,     98790 ,    1308 ,    3524         ,
27 ,    485 ,     s ,    0 ,     1 ,     117370 ,    1440 ,    4263         ,
27 ,    525 ,     s ,    0 ,     1 ,     137550 ,    1554 ,    4830         ,
27 ,    565 ,     s ,    0 ,     1 ,     159330 ,    1659 ,    5875         ,
27 ,    605 ,     s ,    0 ,     1 ,     182710 ,    1794 ,    6463         ,
27 ,    645 ,     s ,    0 ,     1 ,     207690 ,    1920 ,    7302         ,
27 ,    685 ,     s ,    0 ,     1 ,     234270 ,    2031 ,    8202         ,
27 ,    725 ,     s ,    0 ,     1 ,     262450 ,    2160 ,    9134         ,
27 ,    765 ,     s ,    0 ,     1 ,     292230 ,    2277 ,    10118         ,
27 ,    805 ,     s ,    0 ,     1 ,     323610 ,    2403 ,    11171         ,
27 ,    845 ,     s ,    0 ,     1 ,     356590 ,    2520 ,    14706         ,
27 ,    885 ,     s ,    0 ,     1 ,     391170 ,    2634 ,    13423         ,
27 ,    925 ,     s ,    0 ,     1 ,     427350 ,    2763 ,    14746         ,
27 ,    965 ,     s ,    0 ,     1 ,     465130 ,    2865 ,    15995         ,
27 ,    1005 ,     s ,    0 ,     1 ,     504510 ,    3006 ,    17482         ,
27 ,    1045 ,     s ,    0 ,     1 ,     545490 ,    3114 ,    18675         ,
27 ,    1085 ,     s ,    0 ,     1 ,     588070 ,    3225 ,    20447         ,
27 ,    1125 ,     s ,    0 ,     1 ,     632250 ,    3351 ,    21509         ,
27 ,    1165 ,     s ,    0 ,     1 ,     678030 ,    3471 ,    23121         ,
27 ,    1205 ,     s ,    0 ,     1 ,     725410 ,    3597 ,    24642         ,
27 ,    1245 ,     s ,    0 ,     1 ,     774390 ,    3702 ,    28459         ,
27 ,    1285 ,     s ,    0 ,     1 ,     824970 ,    3828 ,    30126         ,
27 ,    1325 ,     s ,    0 ,     1 ,     877150 ,    3933 ,    29700         ,
27 ,    1365 ,     s ,    0 ,     1 ,     930930 ,    4083 ,    33386         ,
27 ,    1405 ,     s ,    0 ,     1 ,     986310 ,    4200 ,    33279         ,
27 ,    1445 ,     s ,    0 ,     1 ,     1043290 ,    4323 ,    37109         ,
27 ,    1485 ,     s ,    0 ,     1 ,     1101870 ,    4434 ,    38862         ,
27 ,    1525 ,     s ,    0 ,     1 ,     1162050 ,    4539 ,    40803         ,
27 ,    1565 ,     s ,    0 ,     1 ,     1223830 ,    4680 ,    42767         ,
27 ,    1605 ,     s ,    0 ,     1 ,     1287210 ,    4794 ,    43247         ,
27 ,    1645 ,     s ,    0 ,     1 ,     1352190 ,    4920 ,    47140         ,
27 ,    1685 ,     s ,    0 ,     1 ,     1418770 ,    5037 ,    51480         ,
27 ,    1725 ,     s ,    0 ,     1 ,     1486950 ,    5145 ,    52220         ,
27 ,    1765 ,     s ,    0 ,     1 ,     1556730 ,    5271 ,    53137         ,
27 ,    1805 ,     s ,    0 ,     1 ,     1628110 ,    5391 ,    54937         ,
