SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     m ,    0 ,     13 ,     6 ,    0 ,    6         ,
27 ,    45 ,     m ,    0 ,     133 ,     189 ,    0 ,    46         ,
27 ,    85 ,     m ,    0 ,     253 ,     443 ,    0 ,    87         ,
27 ,    125 ,     m ,    0 ,     373 ,     716 ,    0 ,    134         ,
27 ,    165 ,     m ,    0 ,     493 ,     1004 ,    0 ,    181         ,
27 ,    205 ,     m ,    0 ,     613 ,     1316 ,    0 ,    232         ,
27 ,    245 ,     m ,    0 ,     733 ,     1627 ,    0 ,    280         ,
27 ,    285 ,     m ,    0 ,     853 ,     1967 ,    0 ,    333         ,
27 ,    325 ,     m ,    0 ,     973 ,     2303 ,    0 ,    390         ,
27 ,    365 ,     m ,    0 ,     1093 ,     2636 ,    0 ,    434         ,
27 ,    405 ,     m ,    0 ,     1213 ,     3000 ,    0 ,    499         ,
27 ,    445 ,     m ,    0 ,     1333 ,     3355 ,    0 ,    545         ,
27 ,    485 ,     m ,    0 ,     1453 ,     3713 ,    0 ,    15978         ,
27 ,    525 ,     m ,    0 ,     1573 ,     4050 ,    0 ,    771         ,
27 ,    565 ,     m ,    0 ,     1693 ,     4451 ,    0 ,    709         ,
27 ,    605 ,     m ,    0 ,     1813 ,     4830 ,    0 ,    769         ,
27 ,    645 ,     m ,    0 ,     1933 ,     5208 ,    0 ,    818         ,
27 ,    685 ,     m ,    0 ,     2053 ,     5586 ,    0 ,    865         ,
27 ,    725 ,     m ,    0 ,     2173 ,     5980 ,    0 ,    923         ,
27 ,    765 ,     m ,    0 ,     2293 ,     6373 ,    0 ,    977         ,
27 ,    805 ,     m ,    0 ,     2413 ,     6762 ,    0 ,    1040         ,
27 ,    845 ,     m ,    0 ,     2533 ,     7170 ,    0 ,    1095         ,
27 ,    885 ,     m ,    0 ,     2653 ,     7573 ,    0 ,    1155         ,
27 ,    925 ,     m ,    0 ,     2773 ,     7918 ,    0 ,    1209         ,
27 ,    965 ,     m ,    0 ,     2893 ,     8338 ,    0 ,    1258         ,
27 ,    1005 ,     m ,    0 ,     3013 ,     8758 ,    0 ,    1359         ,
27 ,    1045 ,     m ,    0 ,     3133 ,     9155 ,    0 ,    2932         ,
27 ,    1085 ,     m ,    0 ,     3253 ,     9562 ,    0 ,    1459         ,
27 ,    1125 ,     m ,    0 ,     3373 ,     9998 ,    0 ,    1700         ,
27 ,    1165 ,     m ,    0 ,     3493 ,     10406 ,    0 ,    1805         ,
27 ,    1205 ,     m ,    0 ,     3613 ,     10810 ,    0 ,    1675         ,
27 ,    1245 ,     m ,    0 ,     3733 ,     11230 ,    0 ,    1745         ,
27 ,    1285 ,     m ,    0 ,     3853 ,     11659 ,    0 ,    3259         ,
27 ,    1325 ,     m ,    0 ,     3973 ,     12104 ,    0 ,    2013         ,
27 ,    1365 ,     m ,    0 ,     4093 ,     12547 ,    0 ,    2115         ,
27 ,    1405 ,     m ,    0 ,     4213 ,     12936 ,    0 ,    2025         ,
27 ,    1445 ,     m ,    0 ,     4333 ,     13374 ,    0 ,    2327         ,
27 ,    1485 ,     m ,    0 ,     4453 ,     13759 ,    0 ,    4885         ,
27 ,    1525 ,     m ,    0 ,     4573 ,     14224 ,    0 ,    2237         ,
27 ,    1565 ,     m ,    0 ,     4693 ,     14596 ,    0 ,    2943         ,
27 ,    1605 ,     m ,    0 ,     4813 ,     15104 ,    0 ,    2653         ,
27 ,    1645 ,     m ,    0 ,     4933 ,     15537 ,    0 ,    2421         ,
27 ,    1685 ,     m ,    0 ,     5053 ,     15963 ,    0 ,    2476         ,
27 ,    1725 ,     m ,    0 ,     5173 ,     16392 ,    0 ,    2696         ,
27 ,    1765 ,     m ,    0 ,     5293 ,     16834 ,    0 ,    2610         ,
27 ,    1805 ,     m ,    0 ,     5413 ,     17272 ,    0 ,    2830         ,
27 ,    1845 ,     m ,    0 ,     5533 ,     17703 ,    0 ,    2794         ,
27 ,    1885 ,     m ,    0 ,     5653 ,     18146 ,    0 ,    4791         ,
27 ,    1925 ,     m ,    0 ,     5773 ,     18576 ,    0 ,    2927         ,
27 ,    1965 ,     m ,    0 ,     5893 ,     19015 ,    0 ,    3034         ,
27 ,    2005 ,     m ,    0 ,     6013 ,     19454 ,    0 ,    3493         ,
27 ,    2045 ,     m ,    0 ,     6133 ,     19908 ,    0 ,    3306         ,
27 ,    2085 ,     m ,    0 ,     6253 ,     20373 ,    0 ,    3734         ,
27 ,    2125 ,     m ,    0 ,     6373 ,     20816 ,    0 ,    3374         ,
27 ,    2165 ,     m ,    0 ,     6493 ,     21254 ,    0 ,    3450         ,
27 ,    2205 ,     m ,    0 ,     6613 ,     21707 ,    0 ,    3532         ,
27 ,    2245 ,     m ,    0 ,     6733 ,     22176 ,    0 ,    3612         ,
27 ,    2285 ,     m ,    0 ,     6853 ,     22661 ,    0 ,    4031         ,
27 ,    2325 ,     m ,    0 ,     6973 ,     23110 ,    0 ,    3731         ,
27 ,    2365 ,     m ,    0 ,     7093 ,     23573 ,    0 ,    3963         ,
27 ,    2405 ,     m ,    0 ,     7213 ,     24022 ,    0 ,    3861         ,
27 ,    2445 ,     m ,    0 ,     7333 ,     24494 ,    0 ,    4350         ,
27 ,    2485 ,     m ,    0 ,     7453 ,     24902 ,    0 ,    4132         ,
27 ,    2525 ,     m ,    0 ,     7573 ,     25433 ,    0 ,    4208         ,
27 ,    2565 ,     m ,    0 ,     7693 ,     25836 ,    0 ,    4388         ,
27 ,    2605 ,     m ,    0 ,     7813 ,     26308 ,    0 ,    4218         ,
27 ,    2645 ,     m ,    0 ,     7933 ,     26800 ,    0 ,    4433         ,
27 ,    2685 ,     m ,    0 ,     8053 ,     27312 ,    0 ,    4346         ,
27 ,    2725 ,     m ,    0 ,     8173 ,     27723 ,    0 ,    4567         ,
27 ,    2765 ,     m ,    0 ,     8293 ,     28207 ,    0 ,    4491         ,
27 ,    2805 ,     m ,    0 ,     8413 ,     28660 ,    0 ,    4700         ,
27 ,    2845 ,     m ,    0 ,     8533 ,     29127 ,    0 ,    4659         ,
27 ,    2885 ,     m ,    0 ,     8653 ,     29543 ,    0 ,    4850         ,
27 ,    2925 ,     m ,    0 ,     8773 ,     30027 ,    0 ,    4918         ,
27 ,    2965 ,     m ,    0 ,     8893 ,     30553 ,    0 ,    8099         ,
27 ,    3005 ,     m ,    0 ,     9013 ,     31015 ,    0 ,    5310         ,
27 ,    3045 ,     m ,    0 ,     9133 ,     31466 ,    0 ,    5139         ,
27 ,    3085 ,     m ,    0 ,     9253 ,     31925 ,    0 ,    5272         ,
27 ,    3125 ,     m ,    0 ,     9373 ,     32416 ,    0 ,    13315         ,
27 ,    3165 ,     m ,    0 ,     9493 ,     32857 ,    0 ,    5200         ,
27 ,    3205 ,     m ,    0 ,     9613 ,     33354 ,    0 ,    5444         ,
27 ,    3245 ,     m ,    0 ,     9733 ,     33846 ,    0 ,    5511         ,
27 ,    3285 ,     m ,    0 ,     9853 ,     34302 ,    0 ,    5413         ,
27 ,    3325 ,     m ,    0 ,     9973 ,     34713 ,    0 ,    5800         ,
27 ,    3365 ,     m ,    0 ,     10093 ,     35284 ,    0 ,    6090         ,
27 ,    3405 ,     m ,    0 ,     10213 ,     35696 ,    0 ,    7752         ,
27 ,    3445 ,     m ,    0 ,     10333 ,     36210 ,    0 ,    5720         ,
27 ,    3485 ,     m ,    0 ,     10453 ,     36702 ,    0 ,    5995         ,
27 ,    3525 ,     m ,    0 ,     10573 ,     37190 ,    0 ,    6007         ,
27 ,    3565 ,     m ,    0 ,     10693 ,     37644 ,    0 ,    6062         ,
27 ,    3605 ,     m ,    0 ,     10813 ,     38124 ,    0 ,    6169         ,
27 ,    3645 ,     m ,    0 ,     10933 ,     38565 ,    0 ,    6449         ,
27 ,    3685 ,     m ,    0 ,     11053 ,     39051 ,    0 ,    6472         ,
27 ,    3725 ,     m ,    0 ,     11173 ,     39537 ,    0 ,    6570         ,
27 ,    3765 ,     m ,    0 ,     11293 ,     39997 ,    0 ,    6343         ,
27 ,    3805 ,     m ,    0 ,     11413 ,     40517 ,    0 ,    6537         ,
27 ,    3845 ,     m ,    0 ,     11533 ,     40994 ,    0 ,    6834         ,
27 ,    3885 ,     m ,    0 ,     11653 ,     41424 ,    0 ,    6866         ,
27 ,    3925 ,     m ,    0 ,     11773 ,     41934 ,    0 ,    7201         ,
27 ,    3965 ,     m ,    0 ,     11893 ,     42422 ,    0 ,    6688         ,
27 ,    4005 ,     m ,    0 ,     12013 ,     42875 ,    0 ,    6794         ,
27 ,    4045 ,     m ,    0 ,     12133 ,     43388 ,    0 ,    7019         ,
27 ,    4085 ,     m ,    0 ,     12253 ,     43876 ,    0 ,    29436         ,
27 ,    4125 ,     m ,    0 ,     12373 ,     44285 ,    0 ,    14371         ,
27 ,    4165 ,     m ,    0 ,     12493 ,     44799 ,    0 ,    7021         ,
27 ,    4205 ,     m ,    0 ,     12613 ,     45254 ,    0 ,    7283         ,
27 ,    4245 ,     m ,    0 ,     12733 ,     45810 ,    0 ,    7207         ,
27 ,    4285 ,     m ,    0 ,     12853 ,     46324 ,    0 ,    7324         ,
27 ,    4325 ,     m ,    0 ,     12973 ,     46762 ,    0 ,    7892         ,
27 ,    4365 ,     m ,    0 ,     13093 ,     47295 ,    0 ,    84703         ,
27 ,    4405 ,     m ,    0 ,     13213 ,     47775 ,    0 ,    7164         ,
27 ,    4445 ,     m ,    0 ,     13333 ,     48288 ,    0 ,    9352         ,
27 ,    4485 ,     m ,    0 ,     13453 ,     48775 ,    0 ,    7407         ,
27 ,    4525 ,     m ,    0 ,     13573 ,     49324 ,    0 ,    7332         ,
27 ,    4565 ,     m ,    0 ,     13693 ,     49821 ,    0 ,    7383         ,
27 ,    4605 ,     m ,    0 ,     13813 ,     50266 ,    0 ,    9202         ,
27 ,    4645 ,     m ,    0 ,     13933 ,     50822 ,    0 ,    7483         ,
27 ,    4685 ,     m ,    0 ,     14053 ,     51244 ,    0 ,    7744         ,
27 ,    4725 ,     m ,    0 ,     14173 ,     51718 ,    0 ,    7879         ,
27 ,    4765 ,     m ,    0 ,     14293 ,     52237 ,    0 ,    11097         ,
27 ,    4805 ,     m ,    0 ,     14413 ,     52711 ,    0 ,    7795         ,
27 ,    4845 ,     m ,    0 ,     14533 ,     53288 ,    0 ,    8191         ,
27 ,    4885 ,     m ,    0 ,     14653 ,     53756 ,    0 ,    8180         ,
27 ,    4925 ,     m ,    0 ,     14773 ,     54279 ,    0 ,    10534         ,
27 ,    4965 ,     m ,    0 ,     14893 ,     54795 ,    0 ,    8078         ,
27 ,    5 ,     m ,    1 ,     13 ,     7 ,    0 ,    4         ,
27 ,    45 ,     m ,    1 ,     133 ,     136 ,    0 ,    33         ,
27 ,    85 ,     m ,    1 ,     253 ,     297 ,    0 ,    62         ,
27 ,    125 ,     m ,    1 ,     373 ,     443 ,    0 ,    93         ,
27 ,    165 ,     m ,    1 ,     493 ,     654 ,    0 ,    123         ,
27 ,    205 ,     m ,    1 ,     613 ,     837 ,    0 ,    156         ,
27 ,    245 ,     m ,    1 ,     733 ,     996 ,    0 ,    188         ,
27 ,    285 ,     m ,    1 ,     853 ,     1218 ,    0 ,    225         ,
27 ,    325 ,     m ,    1 ,     973 ,     1443 ,    0 ,    260         ,
27 ,    365 ,     m ,    1 ,     1093 ,     1653 ,    0 ,    296         ,
27 ,    405 ,     m ,    1 ,     1213 ,     1854 ,    0 ,    325         ,
27 ,    445 ,     m ,    1 ,     1333 ,     2040 ,    0 ,    362         ,
27 ,    485 ,     m ,    1 ,     1453 ,     2217 ,    0 ,    393         ,
27 ,    525 ,     m ,    1 ,     1573 ,     2412 ,    0 ,    437         ,
27 ,    565 ,     m ,    1 ,     1693 ,     2691 ,    0 ,    465         ,
27 ,    605 ,     m ,    1 ,     1813 ,     2946 ,    0 ,    506         ,
27 ,    645 ,     m ,    1 ,     1933 ,     3176 ,    0 ,    657         ,
27 ,    685 ,     m ,    1 ,     2053 ,     3426 ,    0 ,    581         ,
27 ,    725 ,     m ,    1 ,     2173 ,     3646 ,    0 ,    615         ,
27 ,    765 ,     m ,    1 ,     2293 ,     3832 ,    0 ,    644         ,
27 ,    805 ,     m ,    1 ,     2413 ,     4083 ,    0 ,    683         ,
27 ,    845 ,     m ,    1 ,     2533 ,     4306 ,    0 ,    722         ,
27 ,    885 ,     m ,    1 ,     2653 ,     4505 ,    0 ,    757         ,
27 ,    925 ,     m ,    1 ,     2773 ,     4709 ,    0 ,    794         ,
27 ,    965 ,     m ,    1 ,     2893 ,     4894 ,    0 ,    835         ,
27 ,    1005 ,     m ,    1 ,     3013 ,     5064 ,    0 ,    868         ,
27 ,    1045 ,     m ,    1 ,     3133 ,     5309 ,    0 ,    906         ,
27 ,    1085 ,     m ,    1 ,     3253 ,     5615 ,    0 ,    960         ,
27 ,    1125 ,     m ,    1 ,     3373 ,     5912 ,    0 ,    981         ,
27 ,    1165 ,     m ,    1 ,     3493 ,     6188 ,    0 ,    1026         ,
27 ,    1205 ,     m ,    1 ,     3613 ,     6467 ,    0 ,    1067         ,
27 ,    1245 ,     m ,    1 ,     3733 ,     6722 ,    0 ,    1104         ,
27 ,    1285 ,     m ,    1 ,     3853 ,     6957 ,    0 ,    1138         ,
27 ,    1325 ,     m ,    1 ,     3973 ,     7247 ,    0 ,    1180         ,
27 ,    1365 ,     m ,    1 ,     4093 ,     7507 ,    0 ,    1339         ,
27 ,    1405 ,     m ,    1 ,     4213 ,     7733 ,    0 ,    1246         ,
27 ,    1445 ,     m ,    1 ,     4333 ,     7987 ,    0 ,    1290         ,
27 ,    1485 ,     m ,    1 ,     4453 ,     8210 ,    0 ,    1333         ,
27 ,    1525 ,     m ,    1 ,     4573 ,     8409 ,    0 ,    1360         ,
27 ,    1565 ,     m ,    1 ,     4693 ,     8671 ,    0 ,    1543         ,
27 ,    1605 ,     m ,    1 ,     4813 ,     8936 ,    0 ,    1439         ,
27 ,    1645 ,     m ,    1 ,     4933 ,     9186 ,    0 ,    1477         ,
27 ,    1685 ,     m ,    1 ,     5053 ,     9427 ,    0 ,    1543         ,
27 ,    1725 ,     m ,    1 ,     5173 ,     9653 ,    0 ,    1716         ,
27 ,    1765 ,     m ,    1 ,     5293 ,     9870 ,    0 ,    1610         ,
27 ,    1805 ,     m ,    1 ,     5413 ,     10079 ,    0 ,    1636         ,
27 ,    1845 ,     m ,    1 ,     5533 ,     10318 ,    0 ,    1723         ,
27 ,    1885 ,     m ,    1 ,     5653 ,     10533 ,    0 ,    1773         ,
27 ,    1925 ,     m ,    1 ,     5773 ,     10723 ,    0 ,    1800         ,
27 ,    1965 ,     m ,    1 ,     5893 ,     10933 ,    0 ,    1985         ,
27 ,    2005 ,     m ,    1 ,     6013 ,     11113 ,    0 ,    1904         ,
27 ,    2045 ,     m ,    1 ,     6133 ,     11259 ,    0 ,    1789         ,
27 ,    2085 ,     m ,    1 ,     6253 ,     11618 ,    0 ,    1864         ,
27 ,    2125 ,     m ,    1 ,     6373 ,     11961 ,    0 ,    2043         ,
27 ,    2165 ,     m ,    1 ,     6493 ,     12280 ,    0 ,    2187         ,
27 ,    2205 ,     m ,    1 ,     6613 ,     12604 ,    0 ,    2039         ,
27 ,    2245 ,     m ,    1 ,     6733 ,     12909 ,    0 ,    2080         ,
27 ,    2285 ,     m ,    1 ,     6853 ,     13199 ,    0 ,    2625         ,
