SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q3 ,    0 ,     8 ,     14 ,    15 ,    10         ,
27 ,    45 ,     q3 ,    0 ,     82 ,     289 ,    228 ,    58         ,
27 ,    85 ,     q3 ,    0 ,     140 ,     627 ,    477 ,    113         ,
27 ,    125 ,     q3 ,    0 ,     220 ,     1087 ,    774 ,    181         ,
27 ,    165 ,     q3 ,    0 ,     284 ,     1466 ,    1095 ,    227         ,
27 ,    205 ,     q3 ,    0 ,     352 ,     1876 ,    1389 ,    299         ,
27 ,    245 ,     q3 ,    0 ,     414 ,     2281 ,    1707 ,    366         ,
27 ,    285 ,     q3 ,    0 ,     490 ,     2889 ,    1998 ,    437         ,
27 ,    325 ,     q3 ,    0 ,     562 ,     3287 ,    2295 ,    498         ,
27 ,    365 ,     q3 ,    0 ,     638 ,     3709 ,    2649 ,    557         ,
27 ,    405 ,     q3 ,    0 ,     702 ,     4186 ,    3006 ,    1076         ,
27 ,    445 ,     q3 ,    0 ,     778 ,     4728 ,    3324 ,    718         ,
27 ,    485 ,     q3 ,    0 ,     850 ,     5250 ,    3690 ,    921         ,
27 ,    525 ,     q3 ,    0 ,     888 ,     5458 ,    4056 ,    880         ,
27 ,    565 ,     q3 ,    0 ,     984 ,     6138 ,    4365 ,    944         ,
27 ,    605 ,     q3 ,    0 ,     1038 ,     6470 ,    4797 ,    1021         ,
27 ,    645 ,     q3 ,    0 ,     1146 ,     7859 ,    5025 ,    1129         ,
27 ,    685 ,     q3 ,    0 ,     1194 ,     7655 ,    5403 ,    1183         ,
27 ,    725 ,     q3 ,    0 ,     1248 ,     8232 ,    5787 ,    3625         ,
27 ,    765 ,     q3 ,    0 ,     1320 ,     8738 ,    6156 ,    1336         ,
27 ,    805 ,     q3 ,    0 ,     1426 ,     9250 ,    6726 ,    1420         ,
27 ,    845 ,     q3 ,    0 ,     1476 ,     9523 ,    6990 ,    1496         ,
27 ,    885 ,     q3 ,    0 ,     1562 ,     10515 ,    7236 ,    1773         ,
27 ,    925 ,     q3 ,    0 ,     1620 ,     10635 ,    7746 ,    1686         ,
27 ,    965 ,     q3 ,    0 ,     1654 ,     11762 ,    7968 ,    1751         ,
27 ,    1005 ,     q3 ,    0 ,     1732 ,     12142 ,    8322 ,    1859         ,
27 ,    1045 ,     q3 ,    0 ,     1806 ,     12594 ,    8814 ,    1974         ,
27 ,    1085 ,     q3 ,    0 ,     1876 ,     13443 ,    8991 ,    2069         ,
27 ,    1125 ,     q3 ,    0 ,     1942 ,     14276 ,    9393 ,    2074         ,
27 ,    1165 ,     q3 ,    0 ,     2040 ,     14061 ,    9792 ,    2131         ,
27 ,    1205 ,     q3 ,    0 ,     2084 ,     15175 ,    10137 ,    5386         ,
27 ,    1245 ,     q3 ,    0 ,     2164 ,     15398 ,    10686 ,    2498         ,
27 ,    1285 ,     q3 ,    0 ,     2268 ,     16260 ,    10980 ,    2619         ,
27 ,    1325 ,     q3 ,    0 ,     2332 ,     16715 ,    11412 ,    2882         ,
27 ,    1365 ,     q3 ,    0 ,     2386 ,     16948 ,    11811 ,    2840         ,
27 ,    1405 ,     q3 ,    0 ,     2456 ,     17437 ,    12201 ,    2899         ,
27 ,    1445 ,     q3 ,    0 ,     2526 ,     17540 ,    12636 ,    3163         ,
27 ,    1485 ,     q3 ,    0 ,     2586 ,     19238 ,    12930 ,    3128         ,
27 ,    1525 ,     q3 ,    0 ,     2674 ,     19088 ,    13377 ,    3330         ,
27 ,    1565 ,     q3 ,    0 ,     2772 ,     20844 ,    13713 ,    3373         ,
27 ,    1605 ,     q3 ,    0 ,     2796 ,     20904 ,    14016 ,    6042         ,
27 ,    1645 ,     q3 ,    0 ,     2858 ,     20984 ,    14577 ,    3480         ,
27 ,    1685 ,     q3 ,    0 ,     2978 ,     21708 ,    15054 ,    3605         ,
27 ,    1725 ,     q3 ,    0 ,     2996 ,     21647 ,    15333 ,    3663         ,
27 ,    1765 ,     q3 ,    0 ,     3062 ,     22176 ,    15870 ,    3731         ,
27 ,    1805 ,     q3 ,    0 ,     3176 ,     23608 ,    16215 ,    3850         ,
27 ,    1845 ,     q3 ,    0 ,     3182 ,     24185 ,    16461 ,    3490         ,
27 ,    1885 ,     q3 ,    0 ,     3264 ,     24318 ,    16947 ,    3542         ,
27 ,    1925 ,     q3 ,    0 ,     3356 ,     25913 ,    17133 ,    3943         ,
27 ,    1965 ,     q3 ,    0 ,     3436 ,     26664 ,    17583 ,    4310         ,
27 ,    2005 ,     q3 ,    0 ,     3482 ,     26888 ,    17988 ,    4293         ,
27 ,    2045 ,     q3 ,    0 ,     3584 ,     27340 ,    18570 ,    4350         ,
27 ,    2085 ,     q3 ,    0 ,     3664 ,     29850 ,    18441 ,    4856         ,
27 ,    2125 ,     q3 ,    0 ,     3712 ,     28184 ,    19365 ,    4446         ,
27 ,    2165 ,     q3 ,    0 ,     3812 ,     28589 ,    19809 ,    6766         ,
27 ,    2205 ,     q3 ,    0 ,     3808 ,     30524 ,    19851 ,    4821         ,
27 ,    2245 ,     q3 ,    0 ,     3932 ,     29369 ,    20448 ,    4725         ,
27 ,    2285 ,     q3 ,    0 ,     3942 ,     30862 ,    20778 ,    4829         ,
27 ,    2325 ,     q3 ,    0 ,     4134 ,     32776 ,    21120 ,    5187         ,
27 ,    2365 ,     q3 ,    0 ,     4106 ,     31796 ,    21723 ,    5001         ,
27 ,    2405 ,     q3 ,    0 ,     4240 ,     33744 ,    21936 ,    8006         ,
27 ,    2445 ,     q3 ,    0 ,     4240 ,     34219 ,    22140 ,    4997         ,
27 ,    2485 ,     q3 ,    0 ,     4414 ,     33184 ,    23205 ,    5134         ,
27 ,    2525 ,     q3 ,    0 ,     4402 ,     36236 ,    23097 ,    5261         ,
27 ,    2565 ,     q3 ,    0 ,     4484 ,     36602 ,    23679 ,    5361         ,
27 ,    2605 ,     q3 ,    0 ,     4512 ,     35331 ,    24231 ,    5521         ,
27 ,    2645 ,     q3 ,    0 ,     4602 ,     37940 ,    24357 ,    8297         ,
27 ,    2685 ,     q3 ,    0 ,     4718 ,     36277 ,    25017 ,    5636         ,
