Date and time: Tue Jun 18 16:21:25 2024

SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q3i ,    0 ,     4 ,     10 ,    14 ,    4         ,
27 ,    45 ,     q3i ,    0 ,     4 ,     351 ,    377 ,    31         ,
27 ,    85 ,     q3i ,    0 ,     7 ,     851 ,    884 ,    66         ,
27 ,    125 ,     q3i ,    0 ,     10 ,     1466 ,    1461 ,    111         ,
27 ,    165 ,     q3i ,    0 ,     13 ,     2131 ,    2121 ,    180         ,
27 ,    205 ,     q3i ,    0 ,     16 ,     2544 ,    2539 ,    195         ,
27 ,    245 ,     q3i ,    0 ,     25 ,     2912 ,    2840 ,    233         ,
27 ,    285 ,     q3i ,    0 ,     34 ,     3634 ,    3280 ,    278         ,
27 ,    325 ,     q3i ,    0 ,     34 ,     4234 ,    3977 ,    330         ,
27 ,    365 ,     q3i ,    0 ,     31 ,     4850 ,    4701 ,    378         ,
27 ,    405 ,     q3i ,    0 ,     43 ,     5096 ,    4833 ,    413         ,
27 ,    445 ,     q3i ,    0 ,     43 ,     6028 ,    5678 ,    469         ,
27 ,    485 ,     q3i ,    0 ,     46 ,     6943 ,    6498 ,    529         ,
27 ,    525 ,     q3i ,    0 ,     52 ,     6866 ,    6607 ,    562         ,
27 ,    565 ,     q3i ,    0 ,     49 ,     7772 ,    7301 ,    608         ,
27 ,    605 ,     q3i ,    0 ,     58 ,     8599 ,    8148 ,    687         ,
27 ,    645 ,     q3i ,    0 ,     75 ,     9472 ,    8070 ,    717         ,
27 ,    685 ,     q3i ,    0 ,     73 ,     9412 ,    8647 ,    753         ,
27 ,    725 ,     q3i ,    0 ,     67 ,     11186 ,    10372 ,    2749         ,
27 ,    765 ,     q3i ,    0 ,     73 ,     11593 ,    10659 ,    896         ,
27 ,    805 ,     q3i ,    0 ,     82 ,     11675 ,    10751 ,    1385         ,
27 ,    845 ,     q3i ,    0 ,     88 ,     12157 ,    11541 ,    984         ,
27 ,    885 ,     q3i ,    0 ,     88 ,     12515 ,    11282 ,    1000         ,
27 ,    925 ,     q3i ,    0 ,     94 ,     13630 ,    12732 ,    1239         ,
27 ,    965 ,     q3i ,    0 ,     109 ,     14526 ,    12772 ,    1159         ,
27 ,    1005 ,     q3i ,    0 ,     97 ,     15650 ,    14039 ,    1239         ,
27 ,    1045 ,     q3i ,    0 ,     106 ,     16187 ,    14573 ,    1296         ,
27 ,    1085 ,     q3i ,    0 ,     97 ,     17084 ,    15209 ,    1482         ,
27 ,    1125 ,     q3i ,    0 ,     115 ,     17954 ,    15454 ,    1408         ,
27 ,    1165 ,     q3i ,    0 ,     106 ,     18129 ,    16525 ,    1455         ,
27 ,    1205 ,     q3i ,    0 ,     103 ,     19671 ,    17499 ,    1536         ,
27 ,    1245 ,     q3i ,    0 ,     127 ,     19151 ,    17239 ,    1555         ,
27 ,    1285 ,     q3i ,    0 ,     145 ,     19994 ,    17501 ,    1612         ,
27 ,    1325 ,     q3i ,    0 ,     136 ,     20839 ,    18541 ,    2434         ,
27 ,    1365 ,     q3i ,    0 ,     160 ,     20654 ,    18279 ,    2724         ,
27 ,    1405 ,     q3i ,    0 ,     132 ,     22271 ,    20375 ,    1977         ,
27 ,    1445 ,     q3i ,    0 ,     144 ,     22104 ,    20340 ,    1888         ,
