Date and time: Tue Jun 18 16:07:20 2024

alg q

SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
TYPE0
27 ,    5 ,     q ,    0 ,     8 ,     16 ,    15 ,    7         ,
27 ,    45 ,     q ,    0 ,     78 ,     360 ,    204 ,    45         ,
27 ,    85 ,     q ,    0 ,     142 ,     714 ,    468 ,    85         ,
27 ,    125 ,     q ,    0 ,     218 ,     1139 ,    744 ,    134         ,
27 ,    165 ,     q ,    0 ,     278 ,     1471 ,    1053 ,    178         ,
27 ,    205 ,     q ,    0 ,     354 ,     2309 ,    1281 ,    348         ,
27 ,    245 ,     q ,    0 ,     416 ,     2663 ,    1605 ,    287         ,
27 ,    285 ,     q ,    0 ,     488 ,     2852 ,    1959 ,    328         ,
27 ,    325 ,     q ,    0 ,     576 ,     3345 ,    2301 ,    387         ,
27 ,    365 ,     q ,    0 ,     618 ,     3915 ,    2589 ,    437         ,
27 ,    405 ,     q ,    0 ,     688 ,     4631 ,    2970 ,    488         ,
27 ,    445 ,     q ,    0 ,     768 ,     4830 ,    3318 ,    543         ,
27 ,    485 ,     q ,    0 ,     850 ,     5571 ,    3606 ,    594         ,
27 ,    525 ,     q ,    0 ,     908 ,     5968 ,    3894 ,    606         ,
27 ,    565 ,     q ,    0 ,     952 ,     6422 ,    4284 ,    3051         ,
27 ,    605 ,     q ,    0 ,     1042 ,     6761 ,    4665 ,    708         ,
27 ,    645 ,     q ,    0 ,     1116 ,     8961 ,    4902 ,    7288         ,
27 ,    685 ,     q ,    0 ,     1168 ,     8122 ,    5289 ,    2880         ,
27 ,    725 ,     q ,    0 ,     1242 ,     9084 ,    5526 ,    874         ,
27 ,    765 ,     q ,    0 ,     1292 ,     9387 ,    5910 ,    920         ,
27 ,    805 ,     q ,    0 ,     1404 ,     10506 ,    6297 ,    994         ,
27 ,    845 ,     q ,    0 ,     1460 ,     10026 ,    6810 ,    1037         ,
27 ,    885 ,     q ,    0 ,     1534 ,     11414 ,    6999 ,    3031         ,
27 ,    925 ,     q ,    0 ,     1592 ,     11377 ,    7419 ,    2770         ,
27 ,    965 ,     q ,    0 ,     1670 ,     13024 ,    7830 ,    3252         ,
27 ,    1005 ,     q ,    0 ,     1740 ,     14544 ,    8013 ,    1267         ,
27 ,    1045 ,     q ,    0 ,     1768 ,     12678 ,    8565 ,    3309         ,
27 ,    1085 ,     q ,    0 ,     1838 ,     15164 ,    8700 ,    1345         ,
27 ,    1125 ,     q ,    0 ,     1920 ,     15571 ,    9024 ,    1404         ,
27 ,    1165 ,     q ,    0 ,     2022 ,     15188 ,    9591 ,    1446         ,
27 ,    1205 ,     q ,    0 ,     2072 ,     14767 ,    9912 ,    3712         ,
27 ,    1245 ,     q ,    0 ,     2164 ,     17631 ,    10089 ,    5496         ,
27 ,    1285 ,     q ,    0 ,     2208 ,     17447 ,    10530 ,    9099         ,
27 ,    1325 ,     q ,    0 ,     2298 ,     17872 ,    10998 ,    14520         ,
27 ,    1365 ,     q ,    0 ,     2348 ,     18792 ,    11412 ,    5798         ,
27 ,    1405 ,     q ,    0 ,     2416 ,     19149 ,    11841 ,    1806         ,
27 ,    1445 ,     q ,    0 ,     2482 ,     20585 ,    12258 ,    1863         ,
27 ,    1485 ,     q ,    0 ,     2608 ,     20311 ,    12567 ,    3618         ,
27 ,    1525 ,     q ,    0 ,     2608 ,     20551 ,    12930 ,    1961         ,
27 ,    1565 ,     q ,    0 ,     2704 ,     21956 ,    13266 ,    15623         ,
27 ,    1605 ,     q ,    0 ,     2764 ,     23311 ,    13737 ,    2201         ,
27 ,    1645 ,     q ,    0 ,     2838 ,     22752 ,    14241 ,    2149         ,
27 ,    1685 ,     q ,    0 ,     2928 ,     22103 ,    14691 ,    2183         ,
27 ,    1725 ,     q ,    0 ,     2972 ,     22842 ,    15054 ,    2276         ,
27 ,    1765 ,     q ,    0 ,     3032 ,     25866 ,    15102 ,    2366         ,
27 ,    1805 ,     q ,    0 ,     3158 ,     28731 ,    15195 ,    2417         ,
27 ,    1845 ,     q ,    0 ,     3206 ,     25581 ,    16113 ,    2428         ,
27 ,    1885 ,     q ,    0 ,     3240 ,     28322 ,    16245 ,    2521         ,
27 ,    1925 ,     q ,    0 ,     3344 ,     29148 ,    16329 ,    2544         ,
