Date and time: Tue Jun 18 16:21:25 2024

SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     qi ,    0 ,     3 ,     15 ,    14 ,    5         ,
27 ,    45 ,     qi ,    0 ,     4 ,     497 ,    499 ,    37         ,
27 ,    85 ,     qi ,    0 ,     10 ,     1035 ,    996 ,    76         ,
27 ,    125 ,     qi ,    0 ,     16 ,     1331 ,    1240 ,    106         ,
27 ,    165 ,     qi ,    0 ,     13 ,     1892 ,    1878 ,    150         ,
27 ,    205 ,     qi ,    0 ,     24 ,     2758 ,    2268 ,    199         ,
27 ,    245 ,     qi ,    0 ,     19 ,     3560 ,    3238 ,    257         ,
27 ,    285 ,     qi ,    0 ,     28 ,     3599 ,    3464 ,    288         ,
27 ,    325 ,     qi ,    0 ,     28 ,     4260 ,    4065 ,    331         ,
27 ,    365 ,     qi ,    0 ,     40 ,     4790 ,    4349 ,    379         ,
27 ,    405 ,     qi ,    0 ,     46 ,     5569 ,    4789 ,    430         ,
27 ,    445 ,     qi ,    0 ,     49 ,     6172 ,    5684 ,    488         ,
27 ,    485 ,     qi ,    0 ,     52 ,     7054 ,    6388 ,    539         ,
27 ,    525 ,     qi ,    0 ,     63 ,     7378 ,    6683 ,    581         ,
27 ,    565 ,     qi ,    0 ,     58 ,     7781 ,    7013 ,    618         ,
27 ,    605 ,     qi ,    0 ,     64 ,     8022 ,    7383 ,    772         ,
27 ,    645 ,     qi ,    0 ,     79 ,     10749 ,    8252 ,    758         ,
27 ,    685 ,     qi ,    0 ,     82 ,     9823 ,    8751 ,    807         ,
27 ,    725 ,     qi ,    0 ,     90 ,     11150 ,    9471 ,    840         ,
27 ,    765 ,     qi ,    0 ,     82 ,     11702 ,    10245 ,    903         ,
27 ,    805 ,     qi ,    0 ,     100 ,     13146 ,    10991 ,    985         ,
27 ,    845 ,     qi ,    0 ,     97 ,     11827 ,    10759 ,    983         ,
27 ,    885 ,     qi ,    0 ,     127 ,     13402 ,    11058 ,    1031         ,
27 ,    925 ,     qi ,    0 ,     91 ,     14290 ,    12789 ,    1120         ,
27 ,    965 ,     qi ,    0 ,     118 ,     15097 ,    12164 ,    1337         ,
27 ,    1005 ,     qi ,    0 ,     117 ,     16745 ,    12757 ,    1233         ,
27 ,    1045 ,     qi ,    0 ,     111 ,     15521 ,    14025 ,    1284         ,
27 ,    1085 ,     qi ,    0 ,     111 ,     18450 ,    14420 ,    1368         ,
27 ,    1125 ,     qi ,    0 ,     133 ,     17456 ,    13779 ,    1482         ,
27 ,    1165 ,     qi ,    0 ,     129 ,     18538 ,    15826 ,    1465         ,
27 ,    1205 ,     qi ,    0 ,     126 ,     18464 ,    16697 ,    1542         ,
27 ,    1245 ,     qi ,    0 ,     145 ,     20452 ,    16030 ,    1562         ,
27 ,    1285 ,     qi ,    0 ,     154 ,     21599 ,    17884 ,    1673         ,
27 ,    1325 ,     qi ,    0 ,     151 ,     20819 ,    17239 ,    1758         ,
27 ,    1365 ,     qi ,    0 ,     167 ,     22635 ,    18654 ,    1847         ,
27 ,    1405 ,     qi ,    0 ,     136 ,     23585 ,    19889 ,    1744         ,
27 ,    1445 ,     qi ,    0 ,     168 ,     25124 ,    20420 ,    1817         ,
27 ,    1485 ,     qi ,    0 ,     159 ,     24469 ,    20584 ,    1958         ,
27 ,    1525 ,     qi ,    0 ,     154 ,     24865 ,    21356 ,    2018         ,
27 ,    1565 ,     qi ,    0 ,     174 ,     26209 ,    21599 ,    1977         ,
27 ,    1605 ,     qi ,    0 ,     203 ,     26911 ,    21319 ,    2032         ,
27 ,    1645 ,     qi ,    0 ,     169 ,     27795 ,    23449 ,    2252         ,
27 ,    1685 ,     qi ,    0 ,     178 ,     26162 ,    23042 ,    2118         ,
27 ,    1725 ,     qi ,    0 ,     182 ,     27355 ,    23921 ,    3746         ,
27 ,    1765 ,     qi ,    0 ,     190 ,     31542 ,    25563 ,    2641         ,
27 ,    1805 ,     qi ,    0 ,     216 ,     33200 ,    24187 ,    2335         ,
27 ,    1845 ,     qi ,    0 ,     208 ,     30867 ,    26050 ,    2414         ,
27 ,    1885 ,     qi ,    0 ,     193 ,     34096 ,    26941 ,    2639         ,
27 ,    1925 ,     qi ,    0 ,     201 ,     34584 ,    27280 ,    2816         ,
27 ,    1965 ,     qi ,    0 ,     217 ,     33694 ,    27901 ,    2554         ,
27 ,    2005 ,     qi ,    0 ,     217 ,     33620 ,    27870 ,    2618         ,
27 ,    2045 ,     qi ,    0 ,     244 ,     35131 ,    29159 ,    2808         ,
27 ,    2085 ,     qi ,    0 ,     231 ,     35782 ,    29640 ,    2984         ,
27 ,    2125 ,     qi ,    0 ,     229 ,     38034 ,    30417 ,    2902         ,
27 ,    2165 ,     qi ,    0 ,     246 ,     36392 ,    31030 ,    4389         ,
27 ,    2205 ,     qi ,    0 ,     247 ,     40625 ,    31012 ,    3190         ,
27 ,    2245 ,     qi ,    0 ,     256 ,     40062 ,    32068 ,    2964         ,
27 ,    2285 ,     qi ,    0 ,     237 ,     39097 ,    33163 ,    3098         ,
27 ,    2325 ,     qi ,    0 ,     271 ,     40199 ,    33319 ,    3264         ,
27 ,    2365 ,     qi ,    0 ,     280 ,     42527 ,    33493 ,    3295         ,
27 ,    2405 ,     qi ,    0 ,     258 ,     43230 ,    35629 ,    3324         ,
27 ,    2445 ,     qi ,    0 ,     274 ,     43717 ,    35325 ,    3377         ,
27 ,    2485 ,     qi ,    0 ,     279 ,     43134 ,    35511 ,    3484         ,
27 ,    2525 ,     qi ,    0 ,     268 ,     44816 ,    37047 ,    5542         ,
