SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     s ,    0 ,     1 ,     10 ,    9 ,    4         ,
27 ,    45 ,     s ,    0 ,     1 ,     990 ,    120 ,    57         ,
27 ,    85 ,     s ,    0 ,     1 ,     3570 ,    237 ,    161         ,
27 ,    125 ,     s ,    0 ,     1 ,     7750 ,    357 ,    326         ,
27 ,    165 ,     s ,    0 ,     1 ,     13530 ,    486 ,    542         ,
27 ,    205 ,     s ,    0 ,     1 ,     20910 ,    597 ,    813         ,
27 ,    245 ,     s ,    0 ,     1 ,     29890 ,    702 ,    1139         ,
27 ,    285 ,     s ,    0 ,     1 ,     40470 ,    834 ,    1677         ,
27 ,    325 ,     s ,    0 ,     1 ,     52650 ,    960 ,    2136         ,
27 ,    365 ,     s ,    0 ,     1 ,     66430 ,    1062 ,    2436         ,
27 ,    405 ,     s ,    0 ,     1 ,     81810 ,    1194 ,    3115         ,
27 ,    445 ,     s ,    0 ,     1 ,     98790 ,    1308 ,    3757         ,
27 ,    485 ,     s ,    0 ,     1 ,     117370 ,    1440 ,    15364         ,
27 ,    525 ,     s ,    0 ,     1 ,     137550 ,    1554 ,    4921         ,
27 ,    565 ,     s ,    0 ,     1 ,     159330 ,    1659 ,    5498         ,
27 ,    605 ,     s ,    0 ,     1 ,     182710 ,    1794 ,    10892         ,
27 ,    645 ,     s ,    0 ,     1 ,     207690 ,    1920 ,    7468         ,
27 ,    685 ,     s ,    0 ,     1 ,     234270 ,    2031 ,    8723         ,
27 ,    725 ,     s ,    0 ,     1 ,     262450 ,    2160 ,    9337         ,
27 ,    765 ,     s ,    0 ,     1 ,     292230 ,    2277 ,    14974         ,
27 ,    805 ,     s ,    0 ,     1 ,     323610 ,    2403 ,    12536         ,
27 ,    845 ,     s ,    0 ,     1 ,     356590 ,    2520 ,    15301         ,
27 ,    885 ,     s ,    0 ,     1 ,     391170 ,    2634 ,    15456         ,
27 ,    925 ,     s ,    0 ,     1 ,     427350 ,    2763 ,    15119         ,
27 ,    965 ,     s ,    0 ,     1 ,     465130 ,    2865 ,    19925         ,
27 ,    1005 ,     s ,    0 ,     1 ,     504510 ,    3006 ,    18226         ,
27 ,    1045 ,     s ,    0 ,     1 ,     545490 ,    3114 ,    20818         ,
27 ,    1085 ,     s ,    0 ,     1 ,     588070 ,    3225 ,    22582         ,
